DATE,SMS36935610000000001
2006-01-01,3647.9
2006-02-01,3652.1
2006-03-01,3664.6
2006-04-01,3671.5
2006-05-01,3677.7
2006-06-01,3682.7
2006-07-01,3682.4
2006-08-01,3680.4
2006-09-01,3695.4
2006-10-01,3701.7
2006-11-01,3713.9
2006-12-01,3725.3
2007-01-01,3733.4
2007-02-01,3742.3
2007-03-01,3748.2
2007-04-01,3745.6
2007-05-01,3750.9
2007-06-01,3760.1
2007-07-01,3761.5
2007-08-01,3764.1
2007-09-01,3771.0
2007-10-01,3783.0
2007-11-01,3790.1
2007-12-01,3793.0
2008-01-01,3807.6
2008-02-01,3815.0
2008-03-01,3815.1
2008-04-01,3822.7
2008-05-01,3818.5
2008-06-01,3821.3
2008-07-01,3820.4
2008-08-01,3825.2
2008-09-01,3823.2
2008-10-01,3806.2
2008-11-01,3797.8
2008-12-01,3786.8
2009-01-01,3769.5
2009-02-01,3752.1
2009-03-01,3732.6
2009-04-01,3703.4
2009-05-01,3704.3
2009-06-01,3698.7
2009-07-01,3707.6
2009-08-01,3707.2
2009-09-01,3689.3
2009-10-01,3686.4
2009-11-01,3687.4
2009-12-01,3693.6
2010-01-01,3699.0
2010-02-01,3702.4
2010-03-01,3711.8
2010-04-01,3724.6
2010-05-01,3746.3
2010-06-01,3742.9
2010-07-01,3707.2
2010-08-01,3720.3
2010-09-01,3731.3
2010-10-01,3748.3
2010-11-01,3753.0
2010-12-01,3759.2
2011-01-01,3774.1
2011-02-01,3785.3
2011-03-01,3791.1
2011-04-01,3807.6
2011-05-01,3807.7
2011-06-01,3810.1
2011-07-01,3823.9
2011-08-01,3829.8
2011-09-01,3839.7
2011-10-01,3836.5
2011-11-01,3846.4
2011-12-01,3850.8
2012-01-01,3863.2
2012-02-01,3877.1
2012-03-01,3888.1
2012-04-01,3891.0
2012-05-01,3903.3
2012-06-01,3905.6
2012-07-01,3894.1
2012-08-01,3912.8
2012-09-01,3933.9
2012-10-01,3932.7
2012-11-01,3916.4
2012-12-01,3941.3
2013-01-01,3946.3
2013-02-01,3950.8
2013-03-01,3962.9
2013-04-01,3983.3
2013-05-01,3984.2
2013-06-01,3989.9
2013-07-01,4003.6
2013-08-01,4010.1
2013-09-01,4021.9
2013-10-01,4037.4
2013-11-01,4050.5
2013-12-01,4057.9
2014-01-01,4062.6
2014-02-01,4075.7
2014-03-01,4084.4
2014-04-01,4100.6
2014-05-01,4115.0
2014-06-01,4126.9
2014-07-01,4138.6
2014-08-01,4156.2
2014-09-01,4163.0
2014-10-01,4171.9
2014-11-01,4186.2
2014-12-01,4196.1
2015-01-01,4206.5
2015-02-01,4214.7
2015-03-01,4219.7
2015-04-01,4221.4
2015-05-01,4237.1
2015-06-01,4253.0
2015-07-01,4255.5
2015-08-01,4265.1
2015-09-01,4275.0
2015-10-01,4291.8
2015-11-01,4300.5
2015-12-01,4306.4
