Year,Month,TMAX,TMIN,SNOW
2006,1,47,34,0.06
2006,2,42,29,0.96
2006,3,50,35,0.04
2006,4,65,46,0
2006,5,71,54,0
2006,6,77,64,0
2006,7,85,70,0
2006,8,82,68,0
2006,9,73,60,0
2006,10,63,49,0
2006,11,57,46,0
2006,12,49,37,0
2007,1,43,31,0.08
2007,2,34,22,0.14
2007,3,50,33,0.19
2007,4,57,42,0
2007,5,75,55,0
2007,6,79,63,0
2007,7,82,67,0
2007,8,81,66,0
2007,9,78,62,0
2007,10,70,56,0
2007,11,51,39,0
2007,12,41,32,0.09
2008,1,42,30,0
2008,2,43,28,0.31
2008,3,50,35,0
2008,4,63,46,0
2008,5,68,51,0
2008,6,82,65,0
2008,7,86,70,0
2008,8,82,65,0
2008,9,75,61,0
2008,10,62,47,0
2008,11,51,40,0
2008,12,44,31,0.19
2009,1,33,22,0.29
2009,2,44,28,0.15
2009,3,49,35,0.27
2009,4,62,46,0
2009,5,70,54,0
2009,6,74,60,0
2009,7,80,64,0
2009,8,82,68,0
2009,9,73,59,0
2009,10,61,48,0
2009,11,56,45,0
2009,12,41,29,0.4
2010,1,38,26,0.07
2010,2,37,28,1.32
2010,3,55,41,0
2010,4,67,48,0
2010,5,74,56,0
2010,6,83,66,0
2010,7,90,72,0
2010,8,85,69,0
2010,9,78,63,0
2010,10,65,51,0
2010,11,53,42,0
2010,12,37,27,0.65
2011,1,34,24,1.16
2011,2,43,28,0.17
2011,3,49,34,0.03
2011,4,62,46,0
2011,5,72,56,0
2011,6,80,64,0
2011,7,88,71,0
2011,8,82,67,0
2011,9,76,63,0
2011,10,63,50,0.09
2011,11,58,45,0
2011,12,49,36,0
2012,1,44,30,0.14
2012,2,46,34,0.01
2012,3,59,42,0
2012,4,63,45,0
2012,5,72,58,0
2012,6,78,63,0
2012,7,87,70,0
2012,8,84,69,0
2012,9,75,61,0
2012,10,63,52,0
2012,11,49,38,0.16
2012,12,46,36,0.01
2013,1,40,29,0.05
2013,2,39,28,0.44
2013,3,46,34,0.24
2013,4,61,44,0
2013,5,71,54,0
2013,6,80,65,0
2013,7,86,73,0
2013,8,81,67,0
2013,9,76,59,0
2013,10,66,53,0
2013,11,52,38,0
2013,12,44,32,0.28
2014,1,35,21,0.64
2014,2,37,25,1.04
2014,3,45,29,0
2014,4,61,43,0
2014,5,72,55,0
2014,6,80,64,0
2014,7,83,68,0
2014,8,82,66,0
2014,9,77,62,0
2014,10,65,53,0
2014,11,51,38,0.01
2014,12,45,35,0.03
2015,1,36,23,0.55
2015,2,32,15,0.49
2015,3,45,30,0.6
2015,4,62,45,0
2015,5,78,58,0
2015,6,78,63,0
2015,7,85,71,0
2015,8,86,71,0
2015,9,82,66,0
2015,10,65,50,0
2015,11,59,46,0
2015,12,56,45,0
