,DAY,OFNS_DESC,COUNT
21,1, HARRASSMENT 2,5301
36,1, PETIT LARCENY,5164
971,20, PETIT LARCENY,5129
1114,23, PETIT LARCENY,5085
726,15, PETIT LARCENY,5023
550,12, DANGEROUS DRUGS,4986
201,5, DANGEROUS DRUGS,4934
499,11, DANGEROUS DRUGS,4929
397,9, DANGEROUS DRUGS,4926
872,18, PETIT LARCENY,4925
710,15, HARRASSMENT 2,4923
1066,22, PETIT LARCENY,4921
1160,24, PETIT LARCENY,4919
1207,25, PETIT LARCENY,4911
1021,21, PETIT LARCENY,4908
56,2, DANGEROUS DRUGS,4906
953,20, HARRASSMENT 2,4903
4,1, ASSAULT 3 & RELATED OFFENSES,4894
348,8, DANGEROUS DRUGS,4879
1346,28, PETIT LARCENY,4873
478,10, PETIT LARCENY,4872
448,10, DANGEROUS DRUGS,4864
1300,27, PETIT LARCENY,4856
824,17, PETIT LARCENY,4839
103,3, DANGEROUS DRUGS,4833
677,14, PETIT LARCENY,4828
600,13, DANGEROUS DRUGS,4822
940,20, DANGEROUS DRUGS,4815
579,12, PETIT LARCENY,4807
920,19, PETIT LARCENY,4784
628,13, PETIT LARCENY,4782
376,8, PETIT LARCENY,4771
298,7, DANGEROUS DRUGS,4757
328,7, PETIT LARCENY,4755
8,1, CRIMINAL MISCHIEF & RELATED OF,4749
777,16, PETIT LARCENY,4748
1253,26, PETIT LARCENY,4743
248,6, DANGEROUS DRUGS,4724
562,12, HARRASSMENT 2,4719
460,10, HARRASSMENT 2,4715
797,17, DANGEROUS DRUGS,4711
130,3, PETIT LARCENY,4709
162,4, HARRASSMENT 2,4707
840,18, ASSAULT 3 & RELATED OFFENSES,4705
277,6, PETIT LARCENY,4702
68,2, HARRASSMENT 2,4701
151,4, DANGEROUS DRUGS,4700
529,11, PETIT LARCENY,4697
661,14, HARRASSMENT 2,4697
1193,25, HARRASSMENT 2,4693
410,9, HARRASSMENT 2,4680
180,4, PETIT LARCENY,4674
808,17, HARRASSMENT 2,4673
760,16, HARRASSMENT 2,4672
427,9, PETIT LARCENY,4668
212,5, HARRASSMENT 2,4664
611,13, HARRASSMENT 2,4662
260,6, HARRASSMENT 2,4659
699,15, DANGEROUS DRUGS,4659
934,20, ASSAULT 3 & RELATED OFFENSES,4652
1005,21, HARRASSMENT 2,4649
227,5, PETIT LARCENY,4638
310,7, HARRASSMENT 2,4636
114,3, HARRASSMENT 2,4628
83,2, PETIT LARCENY,4622
544,12, ASSAULT 3 & RELATED OFFENSES,4620
360,8, HARRASSMENT 2,4620
1053,22, HARRASSMENT 2,4619
1146,24, HARRASSMENT 2,4617
10,1, DANGEROUS DRUGS,4616
1266,27, ASSAULT 3 & RELATED OFFENSES,4615
846,18, DANGEROUS DRUGS,4614
