,DAY,OFNS_DESC,COUNT
42,1, PETIT LARCENY,8740
9,1, CRIMINAL MISCHIEF & RELATED OF,8476
999,20, PETIT LARCENY,8445
750,15, PETIT LARCENY,8381
1150,23, PETIT LARCENY,8353
498,10, PETIT LARCENY,8241
898,18, PETIT LARCENY,8221
1098,22, PETIT LARCENY,8218
1201,24, PETIT LARCENY,8211
1048,21, PETIT LARCENY,8185
246,5, PETIT LARCENY,8176
948,19, PETIT LARCENY,8143
1349,27, PETIT LARCENY,8126
1400,28, PETIT LARCENY,8125
548,11, PETIT LARCENY,8095
699,14, PETIT LARCENY,8094
849,17, PETIT LARCENY,8089
799,16, PETIT LARCENY,8071
600,12, PETIT LARCENY,8067
649,13, PETIT LARCENY,8051
296,6, PETIT LARCENY,8036
1299,26, PETIT LARCENY,8002
144,3, PETIT LARCENY,7985
1250,25, PETIT LARCENY,7939
447,9, PETIT LARCENY,7921
93,2, PETIT LARCENY,7909
347,7, PETIT LARCENY,7902
396,8, PETIT LARCENY,7873
23,1, HARRASSMENT 2,7795
194,4, PETIT LARCENY,7772
1447,29, PETIT LARCENY,7687
1495,30, PETIT LARCENY,7573
731,15, HARRASSMENT 2,6851
980,20, HARRASSMENT 2,6812
127,3, HARRASSMENT 2,6785
225,5, HARRASSMENT 2,6778
478,10, HARRASSMENT 2,6756
76,2, HARRASSMENT 2,6749
581,12, HARRASSMENT 2,6738
1031,21, HARRASSMENT 2,6604
378,8, HARRASSMENT 2,6600
329,7, HARRASSMENT 2,6597
782,16, HARRASSMENT 2,6585
5,1, ASSAULT 3 & RELATED OFFENSES,6584
429,9, HARRASSMENT 2,6558
531,11, HARRASSMENT 2,6555
681,14, HARRASSMENT 2,6541
177,4, HARRASSMENT 2,6531
831,17, HARRASSMENT 2,6485
1381,28, HARRASSMENT 2,6465
1232,25, HARRASSMENT 2,6458
881,18, HARRASSMENT 2,6453
277,6, HARRASSMENT 2,6424
1132,23, HARRASSMENT 2,6423
1080,22, HARRASSMENT 2,6407
1329,27, HARRASSMENT 2,6398
1182,24, HARRASSMENT 2,6390
931,19, HARRASSMENT 2,6377
633,13, HARRASSMENT 2,6361
1281,26, HARRASSMENT 2,6355
208,5, ASSAULT 3 & RELATED OFFENSES,6165
158,4, ASSAULT 3 & RELATED OFFENSES,6160
962,20, ASSAULT 3 & RELATED OFFENSES,6110
1311,27, ASSAULT 3 & RELATED OFFENSES,6108
1012,21, ASSAULT 3 & RELATED OFFENSES,6106
1216,25, ASSAULT 3 & RELATED OFFENSES,6088
1363,28, ASSAULT 3 & RELATED OFFENSES,6059
21,1, GRAND LARCENY,6005
461,10, ASSAULT 3 & RELATED OFFENSES,5987
1430,29, HARRASSMENT 2,5984
966,20, CRIMINAL MISCHIEF & RELATED OF,5971
512,11, ASSAULT 3 & RELATED OFFENSES,5968
913,19, ASSAULT 3 & RELATED OFFENSES,5959
411,9, ASSAULT 3 & RELATED OFFENSES,5956
615,13, ASSAULT 3 & RELATED OFFENSES,5940
1062,22, ASSAULT 3 & RELATED OFFENSES,5931
562,12, ASSAULT 3 & RELATED OFFENSES,5928
1264,26, ASSAULT 3 & RELATED OFFENSES,5926
57,2, ASSAULT 3 & RELATED OFFENSES,5912
1113,23, ASSAULT 3 & RELATED OFFENSES,5910
310,7, ASSAULT 3 & RELATED OFFENSES,5905
1479,30, HARRASSMENT 2,5893
814,17, ASSAULT 3 & RELATED OFFENSES,5886
1165,24, ASSAULT 3 & RELATED OFFENSES,5879
763,16, ASSAULT 3 & RELATED OFFENSES,5877
361,8, ASSAULT 3 & RELATED OFFENSES,5870
862,18, ASSAULT 3 & RELATED OFFENSES,5870
663,14, ASSAULT 3 & RELATED OFFENSES,5865
713,15, ASSAULT 3 & RELATED OFFENSES,5861
717,15, CRIMINAL MISCHIEF & RELATED OF,5831
108,3, ASSAULT 3 & RELATED OFFENSES,5824
259,6, ASSAULT 3 & RELATED OFFENSES,5816
465,10, CRIMINAL MISCHIEF & RELATED OF,5756
212,5, CRIMINAL MISCHIEF & RELATED OF,5601
364,8, CRIMINAL MISCHIEF & RELATED OF,5600
1220,25, CRIMINAL MISCHIEF & RELATED OF,5594
818,17, CRIMINAL MISCHIEF & RELATED OF,5550
767,16, CRIMINAL MISCHIEF & RELATED OF,5550
566,12, CRIMINAL MISCHIEF & RELATED OF,5544
263,6, CRIMINAL MISCHIEF & RELATED OF,5542
61,2, CRIMINAL MISCHIEF & RELATED OF,5526
1016,21, CRIMINAL MISCHIEF & RELATED OF,5518
1066,22, CRIMINAL MISCHIEF & RELATED OF,5503
1315,27, CRIMINAL MISCHIEF & RELATED OF,5461
415,9, CRIMINAL MISCHIEF & RELATED OF,5442
1413,29, ASSAULT 3 & RELATED OFFENSES,5441
112,3, CRIMINAL MISCHIEF & RELATED OF,5436
516,11, CRIMINAL MISCHIEF & RELATED OF,5432
667,14, CRIMINAL MISCHIEF & RELATED OF,5412
1169,24, CRIMINAL MISCHIEF & RELATED OF,5406
1461,30, ASSAULT 3 & RELATED OFFENSES,5388
1117,23, CRIMINAL MISCHIEF & RELATED OF,5386
1367,28, CRIMINAL MISCHIEF & RELATED OF,5385
917,19, CRIMINAL MISCHIEF & RELATED OF,5371
619,13, CRIMINAL MISCHIEF & RELATED OF,5363
162,4, CRIMINAL MISCHIEF & RELATED OF,5355
866,18, CRIMINAL MISCHIEF & RELATED OF,5346
314,7, CRIMINAL MISCHIEF & RELATED OF,5338
1268,26, CRIMINAL MISCHIEF & RELATED OF,5202
1417,29, CRIMINAL MISCHIEF & RELATED OF,5036
1465,30, CRIMINAL MISCHIEF & RELATED OF,5016
33,1, OFF. AGNST PUB ORD SENSBLTY &,4756
1542,31, PETIT LARCENY,4543
729,15, GRAND LARCENY,4249
978,20, GRAND LARCENY,4228
579,12, GRAND LARCENY,4081
476,10, GRAND LARCENY,4080
829,17, GRAND LARCENY,4067
114,3, DANGEROUS DRUGS,3991
327,7, GRAND LARCENY,3973
223,5, GRAND LARCENY,3958
1379,28, GRAND LARCENY,3940
631,13, GRAND LARCENY,3938
679,14, GRAND LARCENY,3937
1327,27, GRAND LARCENY,3935
529,11, GRAND LARCENY,3929
74,2, GRAND LARCENY,3929
1130,23, GRAND LARCENY,3922
467,10, DANGEROUS DRUGS,3914
125,3, GRAND LARCENY,3911
63,2, DANGEROUS DRUGS,3905
780,16, GRAND LARCENY,3903
1078,22, GRAND LARCENY,3902
929,19, GRAND LARCENY,3899
1029,21, GRAND LARCENY,3897
1230,25, GRAND LARCENY,3890
1180,24, GRAND LARCENY,3878
427,9, GRAND LARCENY,3869
175,4, GRAND LARCENY,3852
518,11, DANGEROUS DRUGS,3843
376,8, GRAND LARCENY,3843
879,18, GRAND LARCENY,3836
568,12, DANGEROUS DRUGS,3833
366,8, DANGEROUS DRUGS,3823
275,6, GRAND LARCENY,3819
968,20, DANGEROUS DRUGS,3793
1279,26, GRAND LARCENY,3781
1477,30, GRAND LARCENY,3764
417,9, DANGEROUS DRUGS,3755
214,5, DANGEROUS DRUGS,3746
1526,31, HARRASSMENT 2,3729
1018,21, DANGEROUS DRUGS,3727
11,1, DANGEROUS DRUGS,3714
265,6, DANGEROUS DRUGS,3704
