,DAY,OFNS_DESC,COUNT
984,20, PETIT LARCENY,9715
736,15, PETIT LARCENY,9615
1035,21, PETIT LARCENY,9484
889,18, PETIT LARCENY,9362
1089,22, PETIT LARCENY,9358
836,17, PETIT LARCENY,9330
485,10, PETIT LARCENY,9305
687,14, PETIT LARCENY,9301
585,12, PETIT LARCENY,9286
787,16, PETIT LARCENY,9251
1141,23, PETIT LARCENY,9251
41,1, PETIT LARCENY,9242
1192,24, PETIT LARCENY,9217
937,19, PETIT LARCENY,9165
1387,28, PETIT LARCENY,9124
1288,26, PETIT LARCENY,9121
1336,27, PETIT LARCENY,9112
337,7, PETIT LARCENY,9055
535,11, PETIT LARCENY,9021
386,8, PETIT LARCENY,9000
436,9, PETIT LARCENY,8990
284,6, PETIT LARCENY,8933
1241,25, PETIT LARCENY,8921
634,13, PETIT LARCENY,8918
91,2, PETIT LARCENY,8897
236,5, PETIT LARCENY,8874
140,3, PETIT LARCENY,8752
191,4, PETIT LARCENY,8685
1437,29, PETIT LARCENY,8646
1487,30, PETIT LARCENY,8426
21,1, GRAND LARCENY,7676
715,15, GRAND LARCENY,6301
965,20, GRAND LARCENY,6149
667,14, GRAND LARCENY,6033
466,10, GRAND LARCENY,6026
1120,23, GRAND LARCENY,5935
1365,28, GRAND LARCENY,5899
917,19, GRAND LARCENY,5859
818,17, GRAND LARCENY,5854
1015,21, GRAND LARCENY,5850
219,5, GRAND LARCENY,5850
416,9, GRAND LARCENY,5846
265,6, GRAND LARCENY,5833
869,18, GRAND LARCENY,5824
766,16, GRAND LARCENY,5811
315,7, GRAND LARCENY,5811
1066,22, GRAND LARCENY,5798
614,13, GRAND LARCENY,5792
71,2, GRAND LARCENY,5752
564,12, GRAND LARCENY,5742
369,8, GRAND LARCENY,5722
1318,27, GRAND LARCENY,5704
121,3, GRAND LARCENY,5641
516,11, GRAND LARCENY,5631
1169,24, GRAND LARCENY,5626
1269,26, GRAND LARCENY,5578
1223,25, GRAND LARCENY,5558
172,4, GRAND LARCENY,5553
1416,29, GRAND LARCENY,5477
1466,30, GRAND LARCENY,5361
23,1, HARRASSMENT 2,5269
1536,31, PETIT LARCENY,5090
9,1, CRIMINAL MISCHIEF & RELATED OF,4984
717,15, HARRASSMENT 2,4725
468,10, HARRASSMENT 2,4585
967,20, HARRASSMENT 2,4505
221,5, HARRASSMENT 2,4498
566,12, HARRASSMENT 2,4386
871,18, HARRASSMENT 2,4382
418,9, HARRASSMENT 2,4375
1017,21, HARRASSMENT 2,4362
616,13, HARRASSMENT 2,4345
174,4, HARRASSMENT 2,4339
123,3, HARRASSMENT 2,4323
73,2, HARRASSMENT 2,4307
371,8, HARRASSMENT 2,4306
1068,22, HARRASSMENT 2,4303
267,6, HARRASSMENT 2,4300
1122,23, HARRASSMENT 2,4293
518,11, HARRASSMENT 2,4285
820,17, HARRASSMENT 2,4282
317,7, HARRASSMENT 2,4271
919,19, HARRASSMENT 2,4268
669,14, HARRASSMENT 2,4256
1271,26, HARRASSMENT 2,4228
1320,27, HARRASSMENT 2,4217
768,16, HARRASSMENT 2,4211
5,1, ASSAULT 3 & RELATED OFFENSES,4193
1225,25, HARRASSMENT 2,4174
1171,24, HARRASSMENT 2,4125
1367,28, HARRASSMENT 2,4122
1468,30, HARRASSMENT 2,3995
1418,29, HARRASSMENT 2,3905
650,14, ASSAULT 3 & RELATED OFFENSES,3728
802,17, ASSAULT 3 & RELATED OFFENSES,3660
1050,22, ASSAULT 3 & RELATED OFFENSES,3658
