,DAY,OFNS_DESC,COUNT
48,1, PETIT LARCENY,30640
1140,20, PETIT LARCENY,30279
853,15, PETIT LARCENY,30204
1194,21, PETIT LARCENY,29552
1309,23, PETIT LARCENY,29507
1025,18, PETIT LARCENY,29497
1251,22, PETIT LARCENY,29435
564,10, PETIT LARCENY,29399
1368,24, PETIT LARCENY,29084
967,17, PETIT LARCENY,29067
1596,28, PETIT LARCENY,29011
682,12, PETIT LARCENY,28977
795,14, PETIT LARCENY,28976
911,16, PETIT LARCENY,28884
1538,27, PETIT LARCENY,28833
1083,19, PETIT LARCENY,28749
624,11, PETIT LARCENY,28584
739,13, PETIT LARCENY,28578
1478,26, PETIT LARCENY,28574
393,7, PETIT LARCENY,28535
279,5, PETIT LARCENY,28448
334,6, PETIT LARCENY,28366
507,9, PETIT LARCENY,28365
103,2, PETIT LARCENY,28305
449,8, PETIT LARCENY,28279
1423,25, PETIT LARCENY,28262
10,1, CRIMINAL MISCHIEF & RELATED OF,28101
161,3, PETIT LARCENY,28031
219,4, PETIT LARCENY,27976
1656,29, PETIT LARCENY,27235
1714,30, PETIT LARCENY,26799
25,1, HARRASSMENT 2,25665
830,15, HARRASSMENT 2,22814
1118,20, HARRASSMENT 2,22544
542,10, HARRASSMENT 2,22442
255,5, HARRASSMENT 2,22008
83,2, HARRASSMENT 2,21977
659,12, HARRASSMENT 2,21865
139,3, HARRASSMENT 2,21763
485,9, HARRASSMENT 2,21729
198,4, HARRASSMENT 2,21683
371,7, HARRASSMENT 2,21656
429,8, HARRASSMENT 2,21652
774,14, HARRASSMENT 2,21610
1175,21, HARRASSMENT 2,21566
946,17, HARRASSMENT 2,21557
1004,18, HARRASSMENT 2,21553
600,11, HARRASSMENT 2,21407
889,16, HARRASSMENT 2,21384
717,13, HARRASSMENT 2,21383
314,6, HARRASSMENT 2,21354
1229,22, HARRASSMENT 2,21306
1403,25, HARRASSMENT 2,21280
1288,23, HARRASSMENT 2,21230
23,1, GRAND LARCENY,21093
1572,28, HARRASSMENT 2,21091
1345,24, HARRASSMENT 2,21077
1458,26, HARRASSMENT 2,21058
1060,19, HARRASSMENT 2,21015
1513,27, HARRASSMENT 2,20995
6,1, ASSAULT 3 & RELATED OFFENSES,20740
1632,29, HARRASSMENT 2,19627
1692,30, HARRASSMENT 2,19491
1099,20, ASSAULT 3 & RELATED OFFENSES,18965
1384,25, ASSAULT 3 & RELATED OFFENSES,18923
178,4, ASSAULT 3 & RELATED OFFENSES,18862
236,5, ASSAULT 3 & RELATED OFFENSES,18793
1210,22, ASSAULT 3 & RELATED OFFENSES,18727
984,18, ASSAULT 3 & RELATED OFFENSES,18704
640,12, ASSAULT 3 & RELATED OFFENSES,18658
1494,27, ASSAULT 3 & RELATED OFFENSES,18654
1156,21, ASSAULT 3 & RELATED OFFENSES,18634
812,15, ASSAULT 3 & RELATED OFFENSES,18595
927,17, ASSAULT 3 & RELATED OFFENSES,18567
1554,28, ASSAULT 3 & RELATED OFFENSES,18564
816,15, CRIMINAL MISCHIEF & RELATED OF,18536
581,11, ASSAULT 3 & RELATED OFFENSES,18490
1103,20, CRIMINAL MISCHIEF & RELATED OF,18487
755,14, ASSAULT 3 & RELATED OFFENSES,18462
465,9, ASSAULT 3 & RELATED OFFENSES,18431
699,13, ASSAULT 3 & RELATED OFFENSES,18407
1268,23, ASSAULT 3 & RELATED OFFENSES,18374
1439,26, ASSAULT 3 & RELATED OFFENSES,18365
523,10, ASSAULT 3 & RELATED OFFENSES,18359
1327,24, ASSAULT 3 & RELATED OFFENSES,18348
1041,19, ASSAULT 3 & RELATED OFFENSES,18346
351,7, ASSAULT 3 & RELATED OFFENSES,18343
870,16, ASSAULT 3 & RELATED OFFENSES,18242
527,10, CRIMINAL MISCHIEF & RELATED OF,18164
409,8, ASSAULT 3 & RELATED OFFENSES,18147
296,6, ASSAULT 3 & RELATED OFFENSES,18086
120,3, ASSAULT 3 & RELATED OFFENSES,17986
64,2, ASSAULT 3 & RELATED OFFENSES,17947
240,5, CRIMINAL MISCHIEF & RELATED OF,17717
874,16, CRIMINAL MISCHIEF & RELATED OF,17683
1388,25, CRIMINAL MISCHIEF & RELATED OF,17673
1214,22, CRIMINAL MISCHIEF & RELATED OF,17640
644,12, CRIMINAL MISCHIEF & RELATED OF,17580
759,14, CRIMINAL MISCHIEF & RELATED OF,17561
1160,21, CRIMINAL MISCHIEF & RELATED OF,17547
931,17, CRIMINAL MISCHIEF & RELATED OF,17536
413,8, CRIMINAL MISCHIEF & RELATED OF,17422
988,18, CRIMINAL MISCHIEF & RELATED OF,17418
68,2, CRIMINAL MISCHIEF & RELATED OF,17416
1331,24, CRIMINAL MISCHIEF & RELATED OF,17383
469,9, CRIMINAL MISCHIEF & RELATED OF,17372
585,11, CRIMINAL MISCHIEF & RELATED OF,17338
1558,28, CRIMINAL MISCHIEF & RELATED OF,17338
703,13, CRIMINAL MISCHIEF & RELATED OF,17260
1498,27, CRIMINAL MISCHIEF & RELATED OF,17197
300,6, CRIMINAL MISCHIEF & RELATED OF,17191
1045,19, CRIMINAL MISCHIEF & RELATED OF,17132
182,4, CRIMINAL MISCHIEF & RELATED OF,17107
1613,29, ASSAULT 3 & RELATED OFFENSES,17085
1272,23, CRIMINAL MISCHIEF & RELATED OF,17047
355,7, CRIMINAL MISCHIEF & RELATED OF,17043
1443,26, CRIMINAL MISCHIEF & RELATED OF,17016
124,3, CRIMINAL MISCHIEF & RELATED OF,17003
1673,30, ASSAULT 3 & RELATED OFFENSES,16965
39,1, OFF. AGNST PUB ORD SENSBLTY &,16201
828,15, GRAND LARCENY,16120
1768,31, PETIT LARCENY,16015
1677,30, CRIMINAL MISCHIEF & RELATED OF,15965
1617,29, CRIMINAL MISCHIEF & RELATED OF,15937
1116,20, GRAND LARCENY,15615
540,10, GRAND LARCENY,15290
772,14, GRAND LARCENY,15054
944,17, GRAND LARCENY,14975
1286,23, GRAND LARCENY,14870
253,5, GRAND LARCENY,14855
1570,28, GRAND LARCENY,14838
657,12, GRAND LARCENY,14833
1002,18, GRAND LARCENY,14813
1227,22, GRAND LARCENY,14737
369,7, GRAND LARCENY,14735
887,16, GRAND LARCENY,14734
483,9, GRAND LARCENY,14731
81,2, GRAND LARCENY,14731
715,13, GRAND LARCENY,14707
1058,19, GRAND LARCENY,14674
1173,21, GRAND LARCENY,14636
312,6, GRAND LARCENY,14601
137,3, GRAND LARCENY,14594
1511,27, GRAND LARCENY,14577
598,11, GRAND LARCENY,14535
427,8, GRAND LARCENY,14457
1343,24, GRAND LARCENY,14388
196,4, GRAND LARCENY,14339
1401,25, GRAND LARCENY,14137
1456,26, GRAND LARCENY,14128
1690,30, GRAND LARCENY,13912
1630,29, GRAND LARCENY,13754
646,12, DANGEROUS DRUGS,13018
587,11, DANGEROUS DRUGS,12917
529,10, DANGEROUS DRUGS,12840
126,3, DANGEROUS DRUGS,12787
70,2, DANGEROUS DRUGS,12754
471,9, DANGEROUS DRUGS,12744
415,8, DANGEROUS DRUGS,12731
1105,20, DANGEROUS DRUGS,12715
242,5, DANGEROUS DRUGS,12641
705,13, DANGEROUS DRUGS,12578
302,6, DANGEROUS DRUGS,12517
818,15, DANGEROUS DRUGS,12347
357,7, DANGEROUS DRUGS,12331
184,4, DANGEROUS DRUGS,12318
1748,31, HARRASSMENT 2,12245
876,16, DANGEROUS DRUGS,12232
933,17, DANGEROUS DRUGS,12153
12,1, DANGEROUS DRUGS,12108
761,14, DANGEROUS DRUGS,12084
990,18, DANGEROUS DRUGS,11974
1162,21, DANGEROUS DRUGS,11926
1047,19, DANGEROUS DRUGS,11762
1216,22, DANGEROUS DRUGS,11539
1274,23, DANGEROUS DRUGS,11465
844,15, OFF. AGNST PUB ORD SENSBLTY &,11203
1500,27, DANGEROUS DRUGS,11156
1445,26, DANGEROUS DRUGS,10794
1333,24, DANGEROUS DRUGS,10783
1730,31, ASSAULT 3 & RELATED OFFENSES,10766
1131,20, OFF. AGNST PUB ORD SENSBLTY &,10740
1390,25, DANGEROUS DRUGS,10669
1560,28, DANGEROUS DRUGS,10663
1734,31, CRIMINAL MISCHIEF & RELATED OF,10551
555,10, OFF. AGNST PUB ORD SENSBLTY &,10467
269,5, OFF. AGNST PUB ORD SENSBLTY &,10054
94,2, OFF. AGNST PUB ORD SENSBLTY &,9868
1619,29, DANGEROUS DRUGS,9855
673,12, OFF. AGNST PUB ORD SENSBLTY &,9677
1414,25, OFF. AGNST PUB ORD SENSBLTY &,9660
384,7, OFF. AGNST PUB ORD SENSBLTY &,9656
902,16, OFF. AGNST PUB ORD SENSBLTY &,9654
786,14, OFF. AGNST PUB ORD SENSBLTY &,9643
325,6, OFF. AGNST PUB ORD SENSBLTY &,9634
1016,18, OFF. AGNST PUB ORD SENSBLTY &,9623
152,3, OFF. AGNST PUB ORD SENSBLTY &,9617
496,9, OFF. AGNST PUB ORD SENSBLTY &,9614
1586,28, OFF. AGNST PUB ORD SENSBLTY &,9597
