,DAY,OFNS_DESC,COUNT
9,1, CRIMINAL MISCHIEF & RELATED OF,7842
42,1, PETIT LARCENY,5928
720,15, PETIT LARCENY,5825
1052,22, PETIT LARCENY,5661
1004,21, PETIT LARCENY,5641
957,20, PETIT LARCENY,5639
860,18, PETIT LARCENY,5626
88,2, PETIT LARCENY,5613
475,10, PETIT LARCENY,5576
1340,28, PETIT LARCENY,5575
1096,23, PETIT LARCENY,5558
185,4, PETIT LARCENY,5557
619,13, PETIT LARCENY,5548
770,16, PETIT LARCENY,5546
573,12, PETIT LARCENY,5541
427,9, PETIT LARCENY,5515
1294,27, PETIT LARCENY,5514
524,11, PETIT LARCENY,5505
332,7, PETIT LARCENY,5502
814,17, PETIT LARCENY,5489
670,14, PETIT LARCENY,5485
235,5, PETIT LARCENY,5464
1145,24, PETIT LARCENY,5460
23,1, HARRASSMENT 2,5454
910,19, PETIT LARCENY,5436
1242,26, PETIT LARCENY,5423
283,6, PETIT LARCENY,5394
380,8, PETIT LARCENY,5386
136,3, PETIT LARCENY,5279
1194,25, PETIT LARCENY,5232
1435,30, PETIT LARCENY,5102
1388,29, PETIT LARCENY,5034
458,10, HARRASSMENT 2,4683
940,20, HARRASSMENT 2,4679
703,15, HARRASSMENT 2,4649
73,2, HARRASSMENT 2,4612
363,8, HARRASSMENT 2,4602
653,14, HARRASSMENT 2,4572
844,18, HARRASSMENT 2,4556
411,9, HARRASSMENT 2,4555
799,17, HARRASSMENT 2,4531
169,4, HARRASSMENT 2,4514
314,7, HARRASSMENT 2,4506
218,5, HARRASSMENT 2,4491
603,13, HARRASSMENT 2,4472
556,12, HARRASSMENT 2,4470
505,11, HARRASSMENT 2,4465
268,6, HARRASSMENT 2,4458
119,3, HARRASSMENT 2,4452
1033,22, HARRASSMENT 2,4450
987,21, HARRASSMENT 2,4410
1176,25, HARRASSMENT 2,4409
1128,24, HARRASSMENT 2,4405
1323,28, HARRASSMENT 2,4398
752,16, HARRASSMENT 2,4388
1226,26, HARRASSMENT 2,4360
1082,23, HARRASSMENT 2,4351
1274,27, HARRASSMENT 2,4315
890,19, HARRASSMENT 2,4310
690,15, CRIMINAL MISCHIEF & RELATED OF,4232
5,1, ASSAULT 3 & RELATED OFFENSES,4202
443,10, CRIMINAL MISCHIEF & RELATED OF,4177
204,5, CRIMINAL MISCHIEF & RELATED OF,4170
60,2, CRIMINAL MISCHIEF & RELATED OF,4165
1021,22, CRIMINAL MISCHIEF & RELATED OF,4165
784,17, CRIMINAL MISCHIEF & RELATED OF,4110
926,20, CRIMINAL MISCHIEF & RELATED OF,4107
542,12, CRIMINAL MISCHIEF & RELATED OF,4090
1369,29, HARRASSMENT 2,4054
397,9, CRIMINAL MISCHIEF & RELATED OF,4052
1419,30, HARRASSMENT 2,4038
974,21, CRIMINAL MISCHIEF & RELATED OF,4023
1311,28, CRIMINAL MISCHIEF & RELATED OF,4002
492,11, CRIMINAL MISCHIEF & RELATED OF,3999
738,16, CRIMINAL MISCHIEF & RELATED OF,3985
1069,23, CRIMINAL MISCHIEF & RELATED OF,3962
877,19, CRIMINAL MISCHIEF & RELATED OF,3958
105,3, CRIMINAL MISCHIEF & RELATED OF,3946
350,8, CRIMINAL MISCHIEF & RELATED OF,3946
1212,26, CRIMINAL MISCHIEF & RELATED OF,3945
21,1, GRAND LARCENY,3940
301,7, CRIMINAL MISCHIEF & RELATED OF,3939
832,18, CRIMINAL MISCHIEF & RELATED OF,3937
1163,25, CRIMINAL MISCHIEF & RELATED OF,3904
1115,24, CRIMINAL MISCHIEF & RELATED OF,3902
155,4, CRIMINAL MISCHIEF & RELATED OF,3900
255,6, CRIMINAL MISCHIEF & RELATED OF,3877
590,13, CRIMINAL MISCHIEF & RELATED OF,3873
922,20, ASSAULT 3 & RELATED OFFENSES,3822
686,15, ASSAULT 3 & RELATED OFFENSES,3809
638,14, CRIMINAL MISCHIEF & RELATED OF,3806
151,4, ASSAULT 3 & RELATED OFFENSES,3799
1260,27, CRIMINAL MISCHIEF & RELATED OF,3776
1159,25, ASSAULT 3 & RELATED OFFENSES,3774
1307,28, ASSAULT 3 & RELATED OFFENSES,3769
200,5, ASSAULT 3 & RELATED OFFENSES,3758
1065,23, ASSAULT 3 & RELATED OFFENSES,3749
251,6, ASSAULT 3 & RELATED OFFENSES,3736
1208,26, ASSAULT 3 & RELATED OFFENSES,3734
538,12, ASSAULT 3 & RELATED OFFENSES,3718
1017,22, ASSAULT 3 & RELATED OFFENSES,3688
873,19, ASSAULT 3 & RELATED OFFENSES,3683
393,9, ASSAULT 3 & RELATED OFFENSES,3674
1256,27, ASSAULT 3 & RELATED OFFENSES,3672
828,18, ASSAULT 3 & RELATED OFFENSES,3659
440,10, ASSAULT 3 & RELATED OFFENSES,3658
1111,24, ASSAULT 3 & RELATED OFFENSES,3654
297,7, ASSAULT 3 & RELATED OFFENSES,3649
586,13, ASSAULT 3 & RELATED OFFENSES,3640
781,17, ASSAULT 3 & RELATED OFFENSES,3637
1406,30, CRIMINAL MISCHIEF & RELATED OF,3627
634,14, ASSAULT 3 & RELATED OFFENSES,3624
970,21, ASSAULT 3 & RELATED OFFENSES,3622
56,2, ASSAULT 3 & RELATED OFFENSES,3618
102,3, ASSAULT 3 & RELATED OFFENSES,3615
1357,29, CRIMINAL MISCHIEF & RELATED OF,3608
734,16, ASSAULT 3 & RELATED OFFENSES,3603
346,8, ASSAULT 3 & RELATED OFFENSES,3591
488,11, ASSAULT 3 & RELATED OFFENSES,3549
33,1, OFF. AGNST PUB ORD SENSBLTY &,3527
1353,29, ASSAULT 3 & RELATED OFFENSES,3518
1402,30, ASSAULT 3 & RELATED OFFENSES,3427
701,15, GRAND LARCENY,3056
1477,31, PETIT LARCENY,3035
938,20, GRAND LARCENY,2883
456,10, GRAND LARCENY,2851
601,13, GRAND LARCENY,2825
842,18, GRAND LARCENY,2798
71,2, GRAND LARCENY,2792
888,19, GRAND LARCENY,2759
651,14, GRAND LARCENY,2754
1031,22, GRAND LARCENY,2739
117,3, GRAND LARCENY,2736
1080,23, GRAND LARCENY,2728
797,17, GRAND LARCENY,2726
312,7, GRAND LARCENY,2720
554,12, GRAND LARCENY,2718
167,4, GRAND LARCENY,2718
750,16, GRAND LARCENY,2710
503,11, GRAND LARCENY,2706
409,9, GRAND LARCENY,2695
1321,28, GRAND LARCENY,2692
1272,27, GRAND LARCENY,2677
216,5, GRAND LARCENY,2676
266,6, GRAND LARCENY,2675
361,8, GRAND LARCENY,2670
1224,26, GRAND LARCENY,2654
985,21, GRAND LARCENY,2654
1126,24, GRAND LARCENY,2620
1463,31, HARRASSMENT 2,2584
1417,30, GRAND LARCENY,2572
1174,25, GRAND LARCENY,2570
1367,29, GRAND LARCENY,2502
1450,31, CRIMINAL MISCHIEF & RELATED OF,2470
711,15, OFF. AGNST PUB ORD SENSBLTY &,2362
466,10, OFF. AGNST PUB ORD SENSBLTY &,2255
1447,31, ASSAULT 3 & RELATED OFFENSES,2207
948,20, OFF. AGNST PUB ORD SENSBLTY &,2159
226,5, OFF. AGNST PUB ORD SENSBLTY &,2129
661,14, OFF. AGNST PUB ORD SENSBLTY &,2025
79,2, OFF. AGNST PUB ORD SENSBLTY &,2025
1185,25, OFF. AGNST PUB ORD SENSBLTY &,2009
1286,27, OFF. AGNST PUB ORD SENSBLTY &,1983
565,12, OFF. AGNST PUB ORD SENSBLTY &,1978
851,18, OFF. AGNST PUB ORD SENSBLTY &,1971
323,7, OFF. AGNST PUB ORD SENSBLTY &,1971
1331,28, OFF. AGNST PUB ORD SENSBLTY &,1965
805,17, OFF. AGNST PUB ORD SENSBLTY &,1957
1043,22, OFF. AGNST PUB ORD SENSBLTY &,1956
761,16, OFF. AGNST PUB ORD SENSBLTY &,1955
