,DAY,OFNS_DESC,COUNT
7,1, CRIMINAL MISCHIEF & RELATED OF,2050
17,1, HARRASSMENT 2,1846
349,10, HARRASSMENT 2,1703
534,15, HARRASSMENT 2,1666
242,7, HARRASSMENT 2,1646
713,20, HARRASSMENT 2,1645
55,2, HARRASSMENT 2,1608
129,4, HARRASSMENT 2,1592
606,17, HARRASSMENT 2,1586
168,5, HARRASSMENT 2,1577
94,3, HARRASSMENT 2,1575
641,18, HARRASSMENT 2,1571
31,1, PETIT LARCENY,1566
822,23, HARRASSMENT 2,1562
313,9, HARRASSMENT 2,1561
1003,28, HARRASSMENT 2,1557
418,12, HARRASSMENT 2,1552
966,27, HARRASSMENT 2,1550
676,19, HARRASSMENT 2,1547
893,25, HARRASSMENT 2,1546
496,14, HARRASSMENT 2,1544
456,13, HARRASSMENT 2,1543
749,21, HARRASSMENT 2,1541
856,24, HARRASSMENT 2,1540
383,11, HARRASSMENT 2,1536
570,16, HARRASSMENT 2,1528
784,22, HARRASSMENT 2,1527
277,8, HARRASSMENT 2,1524
929,26, HARRASSMENT 2,1517
204,6, HARRASSMENT 2,1513
1075,30, HARRASSMENT 2,1445
1039,29, HARRASSMENT 2,1415
360,10, PETIT LARCENY,1405
653,18, PETIT LARCENY,1363
547,15, PETIT LARCENY,1360
726,20, PETIT LARCENY,1351
702,20, CRIMINAL MISCHIEF & RELATED OF,1339
762,21, PETIT LARCENY,1334
254,7, PETIT LARCENY,1321
618,17, PETIT LARCENY,1320
1015,28, PETIT LARCENY,1314
108,3, PETIT LARCENY,1306
219,6, PETIT LARCENY,1301
180,5, PETIT LARCENY,1296
881,25, CRIMINAL MISCHIEF & RELATED OF,1293
144,4, PETIT LARCENY,1288
943,26, PETIT LARCENY,1285
471,13, PETIT LARCENY,1279
868,24, PETIT LARCENY,1277
797,22, PETIT LARCENY,1277
432,12, PETIT LARCENY,1276
325,9, PETIT LARCENY,1271
1052,29, PETIT LARCENY,1270
509,14, PETIT LARCENY,1268
583,16, PETIT LARCENY,1268
396,11, PETIT LARCENY,1266
68,2, PETIT LARCENY,1264
833,23, PETIT LARCENY,1260
907,25, PETIT LARCENY,1259
289,8, PETIT LARCENY,1249
524,15, CRIMINAL MISCHIEF & RELATED OF,1245
120,4, CRIMINAL MISCHIEF & RELATED OF,1230
267,8, CRIMINAL MISCHIEF & RELATED OF,1228
978,27, PETIT LARCENY,1225
337,10, CRIMINAL MISCHIEF & RELATED OF,1224
158,5, CRIMINAL MISCHIEF & RELATED OF,1221
690,19, PETIT LARCENY,1221
1088,30, PETIT LARCENY,1220
485,14, CRIMINAL MISCHIEF & RELATED OF,1216
194,6, CRIMINAL MISCHIEF & RELATED OF,1215
740,21, CRIMINAL MISCHIEF & RELATED OF,1210
302,9, CRIMINAL MISCHIEF & RELATED OF,1205
956,27, CRIMINAL MISCHIEF & RELATED OF,1193
630,18, CRIMINAL MISCHIEF & RELATED OF,1192
46,2, CRIMINAL MISCHIEF & RELATED OF,1187
845,24, CRIMINAL MISCHIEF & RELATED OF,1183
446,13, CRIMINAL MISCHIEF & RELATED OF,1180
992,28, CRIMINAL MISCHIEF & RELATED OF,1172
409,12, CRIMINAL MISCHIEF & RELATED OF,1164
372,11, CRIMINAL MISCHIEF & RELATED OF,1162
774,22, CRIMINAL MISCHIEF & RELATED OF,1160
666,19, CRIMINAL MISCHIEF & RELATED OF,1139
595,17, CRIMINAL MISCHIEF & RELATED OF,1138
82,3, CRIMINAL MISCHIEF & RELATED OF,1134
559,16, CRIMINAL MISCHIEF & RELATED OF,1130
812,23, CRIMINAL MISCHIEF & RELATED OF,1126
23,1, OFF. AGNST PUB ORD SENSBLTY &,1123
231,7, CRIMINAL MISCHIEF & RELATED OF,1121
920,26, CRIMINAL MISCHIEF & RELATED OF,1108
1065,30, CRIMINAL MISCHIEF & RELATED OF,1064
1028,29, CRIMINAL MISCHIEF & RELATED OF,1056
1110,31, HARRASSMENT 2,901
592,17, ASSAULT 3 & RELATED OFFENSES,870
3,1, ASSAULT 3 & RELATED OFFENSES,867
953,27, ASSAULT 3 & RELATED OFFENSES,865
368,11, ASSAULT 3 & RELATED OFFENSES,859
627,18, ASSAULT 3 & RELATED OFFENSES,852
772,22, ASSAULT 3 & RELATED OFFENSES,845
117,4, ASSAULT 3 & RELATED OFFENSES,842
155,5, ASSAULT 3 & RELATED OFFENSES,839
842,24, ASSAULT 3 & RELATED OFFENSES,831
699,20, ASSAULT 3 & RELATED OFFENSES,828
877,25, ASSAULT 3 & RELATED OFFENSES,826
482,14, ASSAULT 3 & RELATED OFFENSES,826
521,15, ASSAULT 3 & RELATED OFFENSES,823
736,21, ASSAULT 3 & RELATED OFFENSES,822
406,12, ASSAULT 3 & RELATED OFFENSES,819
299,9, ASSAULT 3 & RELATED OFFENSES,812
809,23, ASSAULT 3 & RELATED OFFENSES,810
442,13, ASSAULT 3 & RELATED OFFENSES,801
989,28, ASSAULT 3 & RELATED OFFENSES,798
557,16, ASSAULT 3 & RELATED OFFENSES,797
228,7, ASSAULT 3 & RELATED OFFENSES,797
190,6, ASSAULT 3 & RELATED OFFENSES,796
334,10, ASSAULT 3 & RELATED OFFENSES,795
1062,30, ASSAULT 3 & RELATED OFFENSES,793
42,2, ASSAULT 3 & RELATED OFFENSES,786
917,26, ASSAULT 3 & RELATED OFFENSES,762
264,8, ASSAULT 3 & RELATED OFFENSES,761
79,3, ASSAULT 3 & RELATED OFFENSES,747
539,15, OFF. AGNST PUB ORD SENSBLTY &,745
1025,29, ASSAULT 3 & RELATED OFFENSES,730
1101,31, CRIMINAL MISCHIEF & RELATED OF,730
246,7, OFF. AGNST PUB ORD SENSBLTY &,725
575,16, OFF. AGNST PUB ORD SENSBLTY &,717
60,2, OFF. AGNST PUB ORD SENSBLTY &,715
662,19, ASSAULT 3 & RELATED OFFENSES,707
718,20, OFF. AGNST PUB ORD SENSBLTY &,686
99,3, OFF. AGNST PUB ORD SENSBLTY &,678
1007,28, OFF. AGNST PUB ORD SENSBLTY &,667
1123,31, PETIT LARCENY,665
899,25, OFF. AGNST PUB ORD SENSBLTY &,662
462,13, OFF. AGNST PUB ORD SENSBLTY &,662
173,5, OFF. AGNST PUB ORD SENSBLTY &,659
611,17, OFF. AGNST PUB ORD SENSBLTY &,658
646,18, OFF. AGNST PUB ORD SENSBLTY &,653
682,19, OFF. AGNST PUB ORD SENSBLTY &,652
136,4, OFF. AGNST PUB ORD SENSBLTY &,648
388,11, OFF. AGNST PUB ORD SENSBLTY &,648
210,6, OFF. AGNST PUB ORD SENSBLTY &,647
15,1, GRAND LARCENY,637
353,10, OFF. AGNST PUB ORD SENSBLTY &,636
423,12, OFF. AGNST PUB ORD SENSBLTY &,631
971,27, OFF. AGNST PUB ORD SENSBLTY &,630
789,22, OFF. AGNST PUB ORD SENSBLTY &,627
754,21, OFF. AGNST PUB ORD SENSBLTY &,626
318,9, OFF. AGNST PUB ORD SENSBLTY &,623
282,8, OFF. AGNST PUB ORD SENSBLTY &,622
861,24, OFF. AGNST PUB ORD SENSBLTY &,616
502,14, OFF. AGNST PUB ORD SENSBLTY &,612
935,26, OFF. AGNST PUB ORD SENSBLTY &,603
1044,29, OFF. AGNST PUB ORD SENSBLTY &,603
826,23, OFF. AGNST PUB ORD SENSBLTY &,585
1081,30, OFF. AGNST PUB ORD SENSBLTY &,580
1098,31, ASSAULT 3 & RELATED OFFENSES,467
711,20, GRAND LARCENY,451
639,18, GRAND LARCENY,438
532,15, GRAND LARCENY,432
568,16, GRAND LARCENY,427
494,14, GRAND LARCENY,420
233,7, DANGEROUS DRUGS,419
160,5, DANGEROUS DRUGS,415
597,17, DANGEROUS DRUGS,411
275,8, GRAND LARCENY,408
347,10, GRAND LARCENY,408
704,20, DANGEROUS DRUGS,408
411,12, DANGEROUS DRUGS,407
742,21, DANGEROUS DRUGS,405
122,4, DANGEROUS DRUGS,404
416,12, GRAND LARCENY,404
196,6, DANGEROUS DRUGS,404
92,3, GRAND LARCENY,403
48,2, DANGEROUS DRUGS,403
84,3, DANGEROUS DRUGS,402
487,14, DANGEROUS DRUGS,401
526,15, DANGEROUS DRUGS,399
632,18, DANGEROUS DRUGS,398
561,16, DANGEROUS DRUGS,397
127,4, GRAND LARCENY,396
448,13, DANGEROUS DRUGS,396
776,22, DANGEROUS DRUGS,395
311,9, GRAND LARCENY,395
339,10, DANGEROUS DRUGS,394
782,22, GRAND LARCENY,394
202,6, GRAND LARCENY,393
854,24, GRAND LARCENY,391
269,8, DANGEROUS DRUGS,391
381,11, GRAND LARCENY,391
1073,30, GRAND LARCENY,390
747,21, GRAND LARCENY,390
304,9, DANGEROUS DRUGS,389
374,11, DANGEROUS DRUGS,386
1001,28, GRAND LARCENY,384
964,27, GRAND LARCENY,383
166,5, GRAND LARCENY,381
9,1, DANGEROUS DRUGS,379
240,7, GRAND LARCENY,379
674,19, GRAND LARCENY,378
814,23, DANGEROUS DRUGS,374
53,2, GRAND LARCENY,372
668,19, DANGEROUS DRUGS,369
927,26, GRAND LARCENY,368
820,23, GRAND LARCENY,366
604,17, GRAND LARCENY,364
883,25, DANGEROUS DRUGS,363
1115,31, OFF. AGNST PUB ORD SENSBLTY &,358
958,27, DANGEROUS DRUGS,355
1037,29, GRAND LARCENY,354
454,13, GRAND LARCENY,349
847,24, DANGEROUS DRUGS,348
891,25, GRAND LARCENY,345
994,28, DANGEROUS DRUGS,345
922,26, DANGEROUS DRUGS,339
1067,30, DANGEROUS DRUGS,334
1030,29, DANGEROUS DRUGS,312
211,6, OFFENSES AGAINST PUBLIC ADMINI,278
35,1, THEFT-FRAUD,276
576,16, OFFENSES AGAINST PUBLIC ADMINI,270
991,28, BURGLARY,267
247,7, OFFENSES AGAINST PUBLIC ADMINI,266
811,23, BURGLARY,264
844,24, BURGLARY,263
683,19, OFFENSES AGAINST PUBLIC ADMINI,262
1027,29, BURGLARY,261
5,1, BURGLARY,260
444,13, BURGLARY,259
719,20, OFFENSES AGAINST PUBLIC ADMINI,258
