,OFNS_DESC,HADEVELOPT,COUNT
289,CRIMINAL TRESPASS, JEFFERSON,1
931,OFF. AGNST PUB ORD SENSBLTY &, MARCY AVENUE-GREENE AVENUE SITE A,1
934,OFF. AGNST PUB ORD SENSBLTY &, METRO NORTH REHAB,1
944,OFF. AGNST PUB ORD SENSBLTY &, TOMPKINS,1
952,OFF. AGNST PUB ORD SENSBLTY &, WASHINGTON HEIGHTS REHAB PHASE III,1
953,OFF. AGNST PUB ORD SENSBLTY &, WEST BRIGHTON I,1
957,OFFENSES AGAINST PUBLIC ADMINI, 45 ALLEN STREET,1
334,DANGEROUS DRUGS, DE HOSTOS APARTMENTS,1
971,OFFENSES AGAINST PUBLIC ADMINI, FORT WASHINGTON AVENUE REHAB,1
986,OFFENSES AGAINST PUBLIC ADMINI, LOWER EAST SIDE II,1
