,OFNS_DESC,HADEVELOPT,COUNT
316,PETIT LARCENY OF MOTOR VEHICLE, ASTORIA,1
293,OTHER OFFENSES RELATED TO THEF, WOODSIDE,1
53,CHILD ABANDONMENT/NON SUPPORT, QUEENSBRIDGE SOUTH,1
202,INTOXICATED & IMPAIRED DRIVING, BLAND,1
294,OTHER STATE LAWS, ASTORIA,1
295,OTHER STATE LAWS, REDFERN,1
296,OTHER STATE LAWS NON PENAL LA, ASTORIA,1
297,OTHER STATE LAWS NON PENAL LA, BEACH 41ST STREET-BEACH CHANNEL DRIVE,1
298,OTHER STATE LAWS NON PENAL LA, HAMMEL,1
201,INTOXICATED & IMPAIRED DRIVING, BEACH 41ST STREET-BEACH CHANNEL DRIVE,1
