ADMINISTRATIVE CODE, BAYSIDE-OCEAN BAY APTS,2
ADMINISTRATIVE CODE, BEACH 41ST STREET-BEACH CHANNEL DRIVE,1
ADMINISTRATIVE CODE, BLAND,1
ADMINISTRATIVE CODE, CARLETON MANOR,1
ADMINISTRATIVE CODE, HAMMEL,2
ADMINISTRATIVE CODE, POMONOK,4
ADMINISTRATIVE CODE, QUEENSBRIDGE NORTH,1
ADMINISTRATIVE CODE, QUEENSBRIDGE SOUTH,2
ADMINISTRATIVE CODE, REDFERN,5
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, ASTORIA,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, QUEENSBRIDGE NORTH,1
ARSON, ASTORIA,10
ARSON, BAISLEY PARK,7
ARSON, BAYSIDE-OCEAN BAY APTS,12
ARSON, BEACH 41ST STREET-BEACH CHANNEL DRIVE,6
ARSON, BLAND,8
ARSON, HAMMEL,5
ARSON, LATIMER GARDENS,2
ARSON, OCEANSIDE-OCEAN BAY APTS,1
ARSON, POMONOK,26
ARSON, QUEENSBRIDGE NORTH,6
ARSON, QUEENSBRIDGE SOUTH,2
ARSON, REDFERN,10
ARSON, WOODSIDE,2
ASSAULT 3 & RELATED OFFENSES, ASTORIA,331
ASSAULT 3 & RELATED OFFENSES, BAISLEY PARK,64
ASSAULT 3 & RELATED OFFENSES, BAYSIDE-OCEAN BAY APTS,235
ASSAULT 3 & RELATED OFFENSES, BEACH 41ST STREET-BEACH CHANNEL DRIVE,81
ASSAULT 3 & RELATED OFFENSES, BLAND,104
ASSAULT 3 & RELATED OFFENSES, CARLETON MANOR,84
ASSAULT 3 & RELATED OFFENSES, HAMMEL,197
ASSAULT 3 & RELATED OFFENSES, LATIMER GARDENS,56
ASSAULT 3 & RELATED OFFENSES, OCEANSIDE-OCEAN BAY APTS,23
ASSAULT 3 & RELATED OFFENSES, POMONOK,497
ASSAULT 3 & RELATED OFFENSES, QUEENSBRIDGE NORTH,142
ASSAULT 3 & RELATED OFFENSES, QUEENSBRIDGE SOUTH,175
ASSAULT 3 & RELATED OFFENSES, REDFERN,246
ASSAULT 3 & RELATED OFFENSES, WOODSIDE,178
"BURGLARS TOOLS", BAYSIDE-OCEAN BAY APTS,1
BURGLARY, ASTORIA,13
BURGLARY, BAISLEY PARK,3
BURGLARY, BAYSIDE-OCEAN BAY APTS,28
BURGLARY, BEACH 41ST STREET-BEACH CHANNEL DRIVE,6
BURGLARY, BLAND,2
BURGLARY, CARLETON MANOR,8
BURGLARY, HAMMEL,10
BURGLARY, LATIMER GARDENS,4
BURGLARY, POMONOK,34
BURGLARY, QUEENSBRIDGE NORTH,11
BURGLARY, QUEENSBRIDGE SOUTH,6
BURGLARY, REDFERN,13
BURGLARY, WOODSIDE,7
CHILD ABANDONMENT/NON SUPPORT, ASTORIA,2
CHILD ABANDONMENT/NON SUPPORT, QUEENSBRIDGE SOUTH,1
CRIMINAL MISCHIEF & RELATED OF, ASTORIA,170
CRIMINAL MISCHIEF & RELATED OF, BAISLEY PARK,56
CRIMINAL MISCHIEF & RELATED OF, BAYSIDE-OCEAN BAY APTS,152
CRIMINAL MISCHIEF & RELATED OF, BEACH 41ST STREET-BEACH CHANNEL DRIVE,74
CRIMINAL MISCHIEF & RELATED OF, BLAND,48
CRIMINAL MISCHIEF & RELATED OF, CARLETON MANOR,25
CRIMINAL MISCHIEF & RELATED OF, HAMMEL,107
CRIMINAL MISCHIEF & RELATED OF, LATIMER GARDENS,17
CRIMINAL MISCHIEF & RELATED OF, OCEANSIDE-OCEAN BAY APTS,6
CRIMINAL MISCHIEF & RELATED OF, POMONOK,489
CRIMINAL MISCHIEF & RELATED OF, QUEENSBRIDGE NORTH,63
CRIMINAL MISCHIEF & RELATED OF, QUEENSBRIDGE SOUTH,67
CRIMINAL MISCHIEF & RELATED OF, REDFERN,114
CRIMINAL MISCHIEF & RELATED OF, WOODSIDE,70
CRIMINAL TRESPASS, ASTORIA,5
CRIMINAL TRESPASS, BAISLEY PARK,6
CRIMINAL TRESPASS, BAYSIDE-OCEAN BAY APTS,9
CRIMINAL TRESPASS, BEACH 41ST STREET-BEACH CHANNEL DRIVE,1
CRIMINAL TRESPASS, BLAND,2
CRIMINAL TRESPASS, CARLETON MANOR,9
CRIMINAL TRESPASS, HAMMEL,71
CRIMINAL TRESPASS, OCEANSIDE-OCEAN BAY APTS,1
CRIMINAL TRESPASS, POMONOK,19
CRIMINAL TRESPASS, QUEENSBRIDGE NORTH,8
CRIMINAL TRESPASS, QUEENSBRIDGE SOUTH,2
CRIMINAL TRESPASS, REDFERN,7
CRIMINAL TRESPASS, WOODSIDE,4
DANGEROUS DRUGS, ASTORIA,52
DANGEROUS DRUGS, BAISLEY PARK,10
DANGEROUS DRUGS, BAYSIDE-OCEAN BAY APTS,32
DANGEROUS DRUGS, BEACH 41ST STREET-BEACH CHANNEL DRIVE,11
DANGEROUS DRUGS, BLAND,9
DANGEROUS DRUGS, CARLETON MANOR,20
DANGEROUS DRUGS, HAMMEL,119
DANGEROUS DRUGS, LATIMER GARDENS,6
DANGEROUS DRUGS, OCEANSIDE-OCEAN BAY APTS,4
DANGEROUS DRUGS, POMONOK,80
DANGEROUS DRUGS, QUEENSBRIDGE NORTH,36
DANGEROUS DRUGS, QUEENSBRIDGE SOUTH,27
DANGEROUS DRUGS, REDFERN,61
DANGEROUS DRUGS, WOODSIDE,32
DANGEROUS WEAPONS, ASTORIA,68
DANGEROUS WEAPONS, BAISLEY PARK,14
DANGEROUS WEAPONS, BAYSIDE-OCEAN BAY APTS,75
DANGEROUS WEAPONS, BEACH 41ST STREET-BEACH CHANNEL DRIVE,34
DANGEROUS WEAPONS, BLAND,15
DANGEROUS WEAPONS, CARLETON MANOR,13
DANGEROUS WEAPONS, HAMMEL,38
DANGEROUS WEAPONS, LATIMER GARDENS,3
DANGEROUS WEAPONS, OCEANSIDE-OCEAN BAY APTS,3
DANGEROUS WEAPONS, POMONOK,120
DANGEROUS WEAPONS, QUEENSBRIDGE NORTH,24
DANGEROUS WEAPONS, QUEENSBRIDGE SOUTH,32
DANGEROUS WEAPONS, REDFERN,93
DANGEROUS WEAPONS, WOODSIDE,27
DISORDERLY CONDUCT, BAYSIDE-OCEAN BAY APTS,1
DISORDERLY CONDUCT, REDFERN,2
ENDAN WELFARE INCOMP, BAYSIDE-OCEAN BAY APTS,1
FELONY ASSAULT, ASTORIA,97
FELONY ASSAULT, BAISLEY PARK,28
FELONY ASSAULT, BAYSIDE-OCEAN BAY APTS,104
FELONY ASSAULT, BEACH 41ST STREET-BEACH CHANNEL DRIVE,28
FELONY ASSAULT, BLAND,34
FELONY ASSAULT, CARLETON MANOR,25
FELONY ASSAULT, HAMMEL,93
FELONY ASSAULT, LATIMER GARDENS,14
FELONY ASSAULT, OCEANSIDE-OCEAN BAY APTS,8
FELONY ASSAULT, POMONOK,149
FELONY ASSAULT, QUEENSBRIDGE NORTH,45
FELONY ASSAULT, QUEENSBRIDGE SOUTH,50
FELONY ASSAULT, REDFERN,104
FELONY ASSAULT, WOODSIDE,48
FORGERY, ASTORIA,4
FORGERY, BAISLEY PARK,2
FORGERY, BAYSIDE-OCEAN BAY APTS,7
FORGERY, BEACH 41ST STREET-BEACH CHANNEL DRIVE,2
FORGERY, CARLETON MANOR,4
FORGERY, HAMMEL,2
FORGERY, OCEANSIDE-OCEAN BAY APTS,1
FORGERY, POMONOK,8
FORGERY, QUEENSBRIDGE NORTH,3
FORGERY, REDFERN,5
FORGERY, WOODSIDE,2
FRAUDS, ASTORIA,12
FRAUDS, BAISLEY PARK,2
FRAUDS, BAYSIDE-OCEAN BAY APTS,6
FRAUDS, BEACH 41ST STREET-BEACH CHANNEL DRIVE,3
FRAUDS, BLAND,2
FRAUDS, CARLETON MANOR,1
FRAUDS, HAMMEL,9
FRAUDS, LATIMER GARDENS,3
FRAUDS, POMONOK,9
FRAUDS, QUEENSBRIDGE NORTH,9
FRAUDS, QUEENSBRIDGE SOUTH,6
FRAUDS, REDFERN,12
FRAUDS, WOODSIDE,3
GAMBLING, ASTORIA,2
GAMBLING, HAMMEL,1
GAMBLING, WOODSIDE,1
GRAND LARCENY, ASTORIA,35
GRAND LARCENY, BAISLEY PARK,3
GRAND LARCENY, BAYSIDE-OCEAN BAY APTS,31
GRAND LARCENY, BEACH 41ST STREET-BEACH CHANNEL DRIVE,12
GRAND LARCENY, BLAND,15
GRAND LARCENY, CARLETON MANOR,3
GRAND LARCENY, HAMMEL,32
GRAND LARCENY, LATIMER GARDENS,11
GRAND LARCENY, OCEANSIDE-OCEAN BAY APTS,2
GRAND LARCENY, POMONOK,80
GRAND LARCENY, QUEENSBRIDGE NORTH,20
GRAND LARCENY, QUEENSBRIDGE SOUTH,22
GRAND LARCENY, REDFERN,30
GRAND LARCENY, WOODSIDE,17
GRAND LARCENY OF MOTOR VEHICLE, ASTORIA,8
GRAND LARCENY OF MOTOR VEHICLE, BAISLEY PARK,3
GRAND LARCENY OF MOTOR VEHICLE, BAYSIDE-OCEAN BAY APTS,12
GRAND LARCENY OF MOTOR VEHICLE, BEACH 41ST STREET-BEACH CHANNEL DRIVE,3
GRAND LARCENY OF MOTOR VEHICLE, BLAND,5
GRAND LARCENY OF MOTOR VEHICLE, CARLETON MANOR,2
GRAND LARCENY OF MOTOR VEHICLE, FOREST HILLS COOP 108TH STREET-62ND DRIVE,1
GRAND LARCENY OF MOTOR VEHICLE, HAMMEL,2
GRAND LARCENY OF MOTOR VEHICLE, LATIMER GARDENS,1
GRAND LARCENY OF MOTOR VEHICLE, "MARINERS HARBOR",1
GRAND LARCENY OF MOTOR VEHICLE, OCEANSIDE-OCEAN BAY APTS,1
