303 VERNON AVENUE,693
33-35 SARATOGA AVENUE,388
572 WARREN STREET,387
ALBANY,2105
ALBANY II,1097
ARMSTRONG I,1403
ARMSTRONG II,1178
ATLANTIC TERMINAL SITE 4B,669
BARUCH,9
BAY VIEW,2043
BEDFORD-STUYVESANT REHAB,206
BELMONT-SUTTER AREA,233
BERRY,6
BERRY STREET-SOUTH 9TH STREET,161
BORINQUEN PLAZA I,1607
BORINQUEN PLAZA II,1358
BOULEVARD,3000
BREUKELEN,695
BREVOORT,2071
BROWN,13
BROWNSVILLE,3750
BUSHWICK,3219
BUSHWICK II GROUPS A & C,575
BUSHWICK II GROUPS B & D,609
BUSHWICK II CDA GROUP E,339
CAMPOS PLAZA I,1
CAREY GARDENS,12
CASSIDY-LAFAYETTE,4
CONEY ISLAND,742
CONEY ISLAND I SITE 1B,903
COOPER PARK,1599
CROWN HEIGHTS,219
CYPRESS HILLS,3209
DOUGLASS,1
EAST NEW YORK CITY LINE,227
FARRAGUT,3852
FENIMORE-LEFFERTS,121
FIORENTINO PLAZA,806
GARVEY GROUP A,1043
GLENMORE PLAZA,19
GLENWOOD,1658
GOWANUS,2276
GRAVESEND,267
HABER,5
HOPE GARDENS,486
HOWARD,1796
HOWARD AVENUE,435
HOWARD AVENUE-PARK PLACE,424
HUGHES APARTMENTS,1837
HYLAN,482
INDEPENDENCE,851
INGERSOLL,3168
KINGSBOROUGH 77,45
LA GUARDIA,23
LAFAYETTE,1664
LENOX ROAD-ROCKAWAY PARKWAY,147
LINDEN,3954
LONG ISLAND BAPTIST HOUSES,1016
LOW HOUSES,1862
MARCY,4414
MARCY AVENUE-GREENE AVENUE SITE A,106
MARCY AVENUE-GREENE AVENUE SITE B,128
MARKHAM GARDENS,49
MARLBORO,1507
MITCHEL,7
NA,1495873
NOSTRAND,2238
ODWYER GARDENS,57
OCEAN HILL APARTMENTS,255
OCEAN HILL-BROWNSVILLE,488
PALMETTO GARDENS,34
PARK ROCK REHAB,359
PENNSYLVANIA AVENUE-WORTMAN AVENUE,990
PINK,3859
PROSPECT PLAZA,25
RALPH AVENUE REHAB,326
RED HOOK EAST,2434
RED HOOK WEST,3196
REID APARTMENTS,86
RIIS II,1
ROOSEVELT I,793
ROOSEVELT II,841
RUTGERS,19
RUTLAND TOWERS,117
SARATOGA SQUARE,140
SHEEPSHEAD BAY,2375
SMITH,144
STAPLETON,7
STERLING PLACE REHAB SAINT JOHNS-STERLING,326
STERLING PLACE REHAB STERLING-BUFFALO,458
STUYVESANT GARDENS I,1052
SUMNER,2478
SUTTER AVENUE-UNION STREET,251
TAPSCOTT STREET REHAB,421
TAYLOR STREET-WYTHE AVENUE,527
TILDEN,3126
TOMPKINS,3207
UNION AVENUE-EAST 166TH STREET,10
UNITY PLAZA SITES 17 24 25A,704
UNITY PLAZA SITES 4-27,1479
VAN DYKE I,4800
VAN DYKE II,68
VANDALIA AVENUE,100
VLADECK,41
WEEKSVILLE GARDENS,995
WEST BRIGHTON I,19
WEST BRIGHTON II,17
WHITMAN,3184
WILLIAMS PLAZA,677
WILLIAMSBURG,2766
WOODSON,239
WYCKOFF GARDENS,855
