131 SAINT NICHOLAS AVENUE,269
344 EAST 28TH STREET,1
45 ALLEN STREET,115
830 AMSTERDAM AVENUE,449
AMSTERDAM,1139
ARMSTRONG I,74
ARMSTRONG II,430
AUDUBON,383
BARUCH,3394
BARUCH HOUSES ADDITION,137
BETHUNE GARDENS,89
BORINQUEN PLAZA I,50
CAMPOS PLAZA I,310
CARVER,538
CLINTON,2272
DE HOSTOS APARTMENTS,12
DOUGLASS,3966
DOUGLASS ADDITION,516
DYCKMAN,657
FIRST HOUSES,37
FORT WASHINGTON AVENUE REHAB,121
FULTON,1
GOMPERS,1203
GRAMPION,189
GRANT,4034
HARLEM RIVER,288
HERNANDEZ,241
JEFFERSON,1
JOHNSON,2658
KING TOWERS,858
LA GUARDIA,2114
LA GUARDIA ADDITION,42
LAVANBURG HOMES,312
LEHMAN,825
LEXINGTON,293
LINCOLN,4195
LOWER EAST SIDE I INFILL,252
LOWER EAST SIDE II,22
LOWER EAST SIDE REHAB GROUP 5,111
MANHATTANVILLE,2830
MANHATTANVILLE REHAB GROUP 2,21
MARCY,58
MARCY AVENUE-GREENE AVENUE SITE A,27
MARCY AVENUE-GREENE AVENUE SITE B,3
MARKHAM GARDENS,332
MARSHALL PLAZA,67
METRO NORTH REHAB,2
MILBANK-FRAWLEY,189
NA,1225261
RANGEL,2173
RIIS,1395
RIIS II,832
ROBINSON,9
RUTGERS,1115
SAMUEL CITY,140
SEWARD PARK EXTENSION,1017
SMITH,2866
STAPLETON,1
SUMNER,9
TAFT,1697
TAFT REHABS REHAB PROGRAM,11
TOMPKINS,15
TWO BRIDGES URA SITE 7,274
UPACA SITE 5,137
UPACA SITE 6,130
VLADECK,1711
VLADECK II,300
WAGNER,1533
WALD,2096
WASHINGTON HEIGHTS REHAB GROUPS 1&2,6
WASHINGTON HEIGHTS REHAB PHASE III,21
WEST BRIGHTON I,4
WEST BRIGHTON II,9
WSUR SITE B 74 WEST 92ND STREET,11
WSUR SITE C 589 AMSTERDAM AVENUE,637
