1010 EAST 178TH STREET,1
1162-1176 WASHINGTON AVENUE,342
131 SAINT NICHOLAS AVENUE,269
1471 WATSON AVENUE,245
303 VERNON AVENUE,693
33-35 SARATOGA AVENUE,388
344 EAST 28TH STREET,1
45 ALLEN STREET,115
572 WARREN STREET,387
830 AMSTERDAM AVENUE,449
ADAMS,2052
ALBANY,2105
ALBANY II,1097
AMSTERDAM,1143
ARMSTRONG I,1477
ARMSTRONG II,1609
ASTORIA,1622
ATLANTIC TERMINAL SITE 4B,669
AUDUBON,383
BAILEY AVENUE-WEST 193RD STREET,508
BAISLEY PARK,355
BARUCH,3403
BARUCH HOUSES ADDITION,137
BAY VIEW,2043
BAYCHESTER,28
BAYSIDE-OCEAN BAY APTS,1383
BEACH 41ST STREET-BEACH CHANNEL DRIVE,529
BEDFORD-STUYVESANT REHAB,206
BELMONT-SUTTER AREA,233
BERRY,872
BERRY STREET-SOUTH 9TH STREET,161
BETANCES I,670
BETANCES III,56
BETANCES VI,19
BETHUNE GARDENS,89
BLAND,651
BORINQUEN PLAZA I,1657
BORINQUEN PLAZA II,1358
BOSTON ROAD PLAZA,94
BOSTON SECOR,1307
BOULEVARD,3000
BOYNTON AVENUE REHAB,275
BREUKELEN,696
BREVOORT,2071
BRONX RIVER,2071
BRONX RIVER ADDITION,106
BRONXCHESTER,1
BRONXDALE,3769
BROWN,13
BROWNSVILLE,3750
BRYANT AVENUE-EAST 174TH STREET,96
BUSHWICK,3219
BUSHWICK II GROUPS A & C,575
BUSHWICK II GROUPS B & D,609
BUSHWICK II CDA GROUP E,341
BUTLER,4224
CAMPOS PLAZA I,311
CAREY GARDENS,12
CARLETON MANOR,384
CARVER,538
CASSIDY-LAFAYETTE,143
CASTLE HILL,5952
CLAREMONT PARKWAY-FRANKLIN AVENUE,197
CLAREMONT REHAB GROUP 2,508
CLAREMONT REHAB GROUP 3,236
CLAREMONT REHAB GROUP 4,378
CLAREMONT REHAB GROUP 5,408
CLASON POINT GARDENS,1022
CLINTON,2273
COLLEGE AVENUE-EAST 165TH STREET,127
CONEY ISLAND,742
CONEY ISLAND I SITE 1B,903
COOPER PARK,1599
CROWN HEIGHTS,219
CYPRESS HILLS,3209
DAVIDSON,752
DE HOSTOS APARTMENTS,12
DOUGLASS,3967
DOUGLASS ADDITION,516
DYCKMAN,657
EAGLE AVENUE-EAST 163RD STREET,267
EAST 165TH STREET-BRYANT AVENUE,111
EAST 173RD STREET-VYSE AVENUE,570
EAST 180TH STREET-MONTEREY AVENUE,291
EAST NEW YORK CITY LINE,227
EASTCHESTER GARDENS,1724
EDENWALD,776
FARRAGUT,3852
FENIMORE-LEFFERTS,121
FIORENTINO PLAZA,806
FIRST HOUSES,37
FOREST,1152
FOREST HILLS COOP 108TH STREET-62ND DRIVE,1
FORT INDEPENDENCE STREET-HEATH AVENUE,899
FORT WASHINGTON AVENUE REHAB,121
FRANKLIN AVENUE I CONVENTIONAL,82
FRANKLIN AVENUE I MHOP,28
FRANKLIN AVENUE II CONVENTIONAL,76
FRANKLIN AVENUE II MHOP,3
FRANKLIN AVENUE III CONVENTIONAL,22
FRANKLIN AVENUE III MHOP,1
FULTON,1
GARVEY GROUP A,1043
GLEBE AVENUE-WESTCHESTER AVENUE,102
GLENMORE PLAZA,19
GLENWOOD,1658
GOMPERS,1203
GOWANUS,2276
GRAMPION,189
