102, HOMICIDE-NEGLIGENT-VEHICLE,13
103, HOMICIDE-NEGLIGENT UNCLASSIFIE,5
105, ROBBERY,40259
106, FELONY ASSAULT,36000
107, BURGLARY,37123
109, GRAND LARCENY,179124
110, GRAND LARCENY OF MOTOR VEHICLE,10923
111, POSSESSION OF STOLEN PROPERTY,3070
112, THEFT-FRAUD,16916
113, FORGERY,16592
114, ARSON,2177
115, PROSTITUTION & RELATED OFFENSES,17
116, SEX CRIMES,1
117, DANGEROUS DRUGS,16010
118, DANGEROUS WEAPONS,11015
119, INTOXICATED/IMPAIRED DRIVING,3
120, CHILD ABANDONMENT/NON SUPPORT,68
120, ENDAN WELFARE INCOMP,8
121, CRIMINAL MISCHIEF & RELATED OF,14170
122, GAMBLING,37
124, KIDNAPPING & RELATED OFFENSES,420
124, KIDNAPPING AND RELATED OFFENSES,2
125, NYS LAWS-UNCLASSIFIED FELONY,1024
126, MISCELLANEOUS PENAL LAW,20279
230, JOSTLING,222
231, "BURGLARS TOOLS",975
232, POSSESSION OF STOLEN PROPERTY,6016
233, SEX CRIMES,5
234, PROSTITUTION & RELATED OFFENSES,31
235, DANGEROUS DRUGS,66815
236, DANGEROUS WEAPONS,14598
237, ESCAPE 3,42
238, FRAUDULENT ACCOSTING,2353
340, FRAUDS,9721
341, PETIT LARCENY,278447
342, PETIT LARCENY OF MOTOR VEHICLE,202
343, OTHER OFFENSES RELATED TO THEF,3174
343, THEFT OF SERVICES,2225
344, ASSAULT 3 & RELATED OFFENSES,107623
345, ENDAN WELFARE INCOMP,22
345, OFFENSES RELATED TO CHILDREN,105
346, ALCOHOLIC BEVERAGE CONTROL LAW,168
347, INTOXICATED & IMPAIRED DRIVING,16316
348, VEHICLE AND TRAFFIC LAWS,13088
349, DISRUPTION OF A RELIGIOUS SERV,13
350, GAMBLING,813
351, CRIMINAL MISCHIEF & RELATED OF,83937
352, CRIMINAL TRESPASS,23895
353, UNAUTHORIZED USE OF A VEHICLE,1850
354, ANTICIPATORY OFFENSES,31
355, OFFENSES AGAINST THE PERSON,3165
356, PROSTITUTION & RELATED OFFENSES,111
357, FORTUNE TELLING,8
358, OFFENSES INVOLVING FRAUD,11230
359, OFFENSES AGAINST PUBLIC ADMINI,26001
360, LOITERING FOR DRUG PURPOSES,5
361, OFF. AGNST PUB ORD SENSBLTY &,61993
362, OFFENSES AGAINST MARRIAGE UNCL,2
363, OFFENSES AGAINST PUBLIC SAFETY,215
364, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,53
364, OTHER STATE LAWS NON PENAL LA,1548
364, OTHER STATE LAWS NON PENAL LAW,2
365, ADMINISTRATIVE CODE,1113
366, NEW YORK CITY HEALTH CODE,24
455, UNLAWFUL POSS. WEAP. ON SCHOOL,14
460, LOITERING/DEVIATE SEX,1
571, LOITERING/GAMBLING CARDS  DIC,78
572, DISORDERLY CONDUCT,235
577, UNDER THE INFLUENCE OF DRUGS,1
578, HARRASSMENT 2,132364
672, LOITERING,6
675, ADMINISTRATIVE CODE,541
676, NEW YORK CITY HEALTH CODE,18
677, NYS LAWS-UNCLASSIFIED VIOLATION,4
677, OTHER STATE LAWS,87
678, MISCELLANEOUS PENAL LAW,2772
685, ADMINISTRATIVE CODES,3
