,MONTH,OFNS_DESC,COUNT
74,Aug,FORTUNE TELLING,3
566,Oct,LOITERING,2
448,May,FORTUNE TELLING,2
289,Jul,FORTUNE TELLING,1
565,Oct,KIDNAPPING AND RELATED OFFENSES,1
513,Nov,LOITERING,1
426,Mar,UNDER THE INFLUENCE OF DRUGS,1
301,Jul,LOITERING,1
300,Jul,KIDNAPPING AND RELATED OFFENSES,1
19,Apr,FORTUNE TELLING,1
44,Apr,OTHER STATE LAWS NON PENAL LAW,1
247,Jan,LOITERING,1
236,Jan,FORTUNE TELLING,1
191,Feb,LOITERING,1
138,Dec,LOITERING/DEVIATE SEX,1
100,Aug,OTHER STATE LAWS NON PENAL LAW,1
91,Aug,OFFENSES AGAINST MARRIAGE UNCL,1
254,Jan,OFFENSES AGAINST MARRIAGE UNCL,1
