,MONTH,OFNS_DESC,COUNT
19,Apr,FORTUNE TELLING,1
712,Sep,LOITERING,1
359,Jul,OTHER TRAFFIC INFRACTION,1
369,Jul,UNDER THE INFLUENCE OF DRUGS,1
392,Jun,FORTUNE TELLING,1
404,Jun,KIDNAPPING,1
406,Jun,LOITERING,1
423,Jun,OTHER TRAFFIC INFRACTION,1
466,Mar,KIDNAPPING,1
483,Mar,OTHER STATE LAWS NON PENAL LAW,1
341,Jul,KIDNAPPING AND RELATED OFFENSES,1
493,Mar,UNDER THE INFLUENCE OF DRUGS,1
544,May,OTHER STATE LAWS NON PENAL LAW,1
545,May,OTHER TRAFFIC INFRACTION,1
588,Nov,KIDNAPPING,1
590,Nov,LOITERING,1
606,Nov,OTHER TRAFFIC INFRACTION,1
649,Oct,KIDNAPPING AND RELATED OFFENSES,1
677,Sep,ABORTION,1
698,Sep,FORTUNE TELLING,1
710,Sep,KIDNAPPING,1
529,May,LOITERING/DEVIATE SEX,1
327,Jul,FORTUNE TELLING,1
358,Jul,OTHER STATE LAWS NON PENAL LAW,1
154,Dec,LOITERING,1
111,Aug,OTHER TRAFFIC INFRACTION,1
59,Apr,UNDER THE INFLUENCE OF DRUGS,1
156,Dec,LOITERING/DEVIATE SEX,1
171,Dec,OTHER STATE LAWS NON PENAL LAW,1
172,Dec,OTHER TRAFFIC INFRACTION,1
49,Apr,OTHER TRAFFIC INFRACTION,1
110,Aug,OTHER STATE LAWS NON PENAL LAW,1
48,Apr,OTHER STATE LAWS NON PENAL LAW,1
217,Feb,LOITERING,1
243,Jan,ABORTION,1
33,Apr,LOITERING/DEVIATE SEX,1
276,Jan,KIDNAPPING,1
278,Jan,LOITERING,1
32,Apr,LOITERING,1
286,Jan,OFFENSES AGAINST MARRIAGE UNCL,1
184,Feb,ABORTION,1
62,Aug,ABORTION,1
647,Oct,KIDNAPPING,2
591,Nov,LOITERING/DEVIATE SEX,2
339,Jul,KIDNAPPING,2
101,Aug,OFFENSES AGAINST MARRIAGE UNCL,2
516,May,FORTUNE TELLING,2
422,Jun,OTHER STATE LAWS NON PENAL LAW,2
407,Jun,LOITERING/DEVIATE SEX,2
264,Jan,FORTUNE TELLING,2
713,Sep,LOITERING/DEVIATE SEX,2
295,Jan,OTHER TRAFFIC INFRACTION,3
650,Oct,LOITERING,3
83,Aug,FORTUNE TELLING,3
342,Jul,LOITERING,4
469,Mar,LOITERING/DEVIATE SEX,7
