,MONTH,OFNS_DESC,COUNT
408,Mar,LOITERING/DEVIATE SEX,7
296,Jul,KIDNAPPING,2
355,Jun,LOITERING/DEVIATE SEX,2
55,Aug,ABORTION,1
622,Sep,KIDNAPPING,1
611,Sep,FORTUNE TELLING,1
568,Oct,LOITERING,1
462,May,LOITERING/DEVIATE SEX,1
321,Jul,UNDER THE INFLUENCE OF DRUGS,1
312,Jul,OTHER TRAFFIC INFRACTION,1
31,Apr,LOITERING/DEVIATE SEX,1
257,Jan,OTHER TRAFFIC INFRACTION,1
243,Jan,KIDNAPPING,1
231,Jan,FORTUNE TELLING,1
211,Jan,ABORTION,1
159,Feb,ABORTION,1
148,Dec,OTHER TRAFFIC INFRACTION,1
147,Dec,OTHER STATE LAWS NON PENAL LAW,1
96,Aug,OTHER TRAFFIC INFRACTION,1
624,Sep,LOITERING/DEVIATE SEX,1
