Apr, ADMINISTRATIVE CODE,165
Apr, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,1
Apr, ALCOHOLIC BEVERAGE CONTROL LAW,34
Apr, ANTICIPATORY OFFENSES,1
Apr, ARSON,332
Apr, ASSAULT 3 & RELATED OFFENSES,11428
Apr, "BURGLARS TOOLS",19
Apr, BURGLARY,2484
Apr, CHILD ABANDONMENT/NON SUPPORT,14
Apr, CRIMINAL MISCHIEF & RELATED OF,9690
Apr, CRIMINAL TRESPASS,2038
Apr, DANGEROUS DRUGS,11795
Apr, DANGEROUS WEAPONS,3498
Apr, DISORDERLY CONDUCT,27
Apr, DISRUPTION OF A RELIGIOUS SERV,2
Apr, ENDAN WELFARE INCOMP,3
Apr, ESCAPE 3,9
Apr, FELONY ASSAULT,4226
Apr, FORGERY,754
Apr, FRAUDS,459
Apr, FRAUDULENT ACCOSTING,16
Apr, GAMBLING,52
Apr, GRAND LARCENY,4556
Apr, GRAND LARCENY OF MOTOR VEHICLE,1648
Apr, HARRASSMENT 2,11810
Apr, HOMICIDE-NEGLIGENT-VEHICLE,1
Apr, HOMICIDE-NEGLIGENTUNCLASSIFIE,2
Apr, INTOXICATED & IMPAIRED DRIVING,1022
Apr, INTOXICATED/IMPAIRED DRIVING,2
Apr, JOSTLING,3
Apr, KIDNAPPING & RELATED OFFENSES,51
Apr, LOITERING/GAMBLING CARDS DIC,1
Apr, MISCELLANEOUS PENAL LAW,1813
Apr, NYS LAWS-UNCLASSIFIED FELONY,101
Apr, NYS LAWS-UNCLASSIFIED VIOLATION,1
Apr, OFF. AGNST PUB ORD SENSBLTY &,5722
Apr, OFFENSES AGAINST PUBLIC ADMINI,2747
Apr, OFFENSES AGAINST PUBLIC SAFETY,7
Apr, OFFENSES AGAINST THE PERSON,329
Apr, OFFENSES INVOLVING FRAUD,331
Apr, OFFENSES RELATED TO CHILDREN,29
Apr, OTHER OFFENSES RELATED TO THEF,170
Apr, OTHER STATE LAWS,1
Apr, OTHER STATE LAWS NON PENAL LA,260
Apr, PETIT LARCENY,11602
Apr, PETIT LARCENY OF MOTOR VEHICLE,7
Apr, POSSESSION OF STOLEN PROPERTY,491
Apr, PROSTITUTION & RELATED OFFENSES,17
Apr, ROBBERY,3407
