Apr, ADMINISTRATIVE CODE,947
Apr, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,15
Apr, ALCOHOLIC BEVERAGE CONTROL LAW,71
Apr, ANTICIPATORY OFFENSES,7
Apr, ARSON,1139
Apr, ASSAULT 3 & RELATED OFFENSES,46708
Apr, "BURGLARS TOOLS",206
Apr, BURGLARY,14609
Apr, CHILD ABANDONMENT/NON SUPPORT,30
Apr, CRIMINAL MISCHIEF & RELATED OF,46467
Apr, CRIMINAL TRESPASS,6173
Apr, DANGEROUS DRUGS,31565
Apr, DANGEROUS WEAPONS,11315
Apr, DISORDERLY CONDUCT,75
Apr, DISRUPTION OF A RELIGIOUS SERV,11
Apr, ENDAN WELFARE INCOMP,15
Apr, ESCAPE 3,19
Apr, FELONY ASSAULT,16096
Apr, FORGERY,4814
Apr, FORTUNE TELLING,1
Apr, FRAUDS,2985
Apr, FRAUDULENT ACCOSTING,245
Apr, GAMBLING,169
Apr, GRAND LARCENY,35112
Apr, GRAND LARCENY OF MOTOR VEHICLE,8036
Apr, HARRASSMENT 2,53874
Apr, HOMICIDE-NEGLIGENT-VEHICLE,8
Apr, HOMICIDE-NEGLIGENTUNCLASSIFIE,4
Apr, INTOXICATED & IMPAIRED DRIVING,6481
Apr, INTOXICATED/IMPAIRED DRIVING,6
Apr, JOSTLING,22
Apr, KIDNAPPING & RELATED OFFENSES,219
Apr, LOITERING,1
Apr, LOITERING/DEVIATE SEX,1
Apr, LOITERING/GAMBLING CARDS DIC,21
Apr, MISCELLANEOUS PENAL LAW,11022
Apr, NEW YORK CITY HEALTH CODE,3
Apr, NYS LAWS-UNCLASSIFIED FELONY,349
Apr, NYS LAWS-UNCLASSIFIED VIOLATION,3
Apr, OFF. AGNST PUB ORD SENSBLTY &,26140
Apr, OFFENSES AGAINST PUBLIC ADMINI,9304
Apr, OFFENSES AGAINST PUBLIC SAFETY,30
Apr, OFFENSES AGAINST THE PERSON,1121
Apr, OFFENSES INVOLVING FRAUD,1709
Apr, OFFENSES RELATED TO CHILDREN,99
Apr, OTHER OFFENSES RELATED TO THEF,959
Apr, OTHER STATE LAWS,18
Apr, OTHER STATE LAWS NON PENAL LA,497
Apr, OTHER STATE LAWS NON PENAL LAW,1
Apr, OTHER TRAFFIC INFRACTION,1
Apr, PETIT LARCENY,69706
Apr, PETIT LARCENY OF MOTOR VEHICLE,83
Apr, POSSESSION OF STOLEN PROPERTY,2590
Apr, PROSTITUTION & RELATED OFFENSES,61
Apr, ROBBERY,14887
Apr, SEX CRIMES,5
Apr, THEFT OF SERVICES,297
Apr, THEFT-FRAUD,5211
Apr, UNAUTHORIZED USE OF A VEHICLE,1200
Apr, UNDER THE INFLUENCE OF DRUGS,1
Apr, UNLAWFUL POSS. WEAP. ON SCHOOL,8
Apr, VEHICLE AND TRAFFIC LAWS,4758
Aug, ABORTION,1
Aug, ADMINISTRATIVE CODE,1164
Aug, ADMINISTRATIVE CODES,1
Aug, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,25
Aug, ALCOHOLIC BEVERAGE CONTROL LAW,56
Aug, ANTICIPATORY OFFENSES,8
Aug, ARSON,1112
Aug, ASSAULT 3 & RELATED OFFENSES,50293
Aug, "BURGLARS TOOLS",261
Aug, BURGLARY,18633
Aug, CHILD ABANDONMENT/NON SUPPORT,33
Aug, CRIMINAL MISCHIEF & RELATED OF,48581
Aug, CRIMINAL TRESPASS,4609
Aug, DANGEROUS DRUGS,32221
Aug, DANGEROUS WEAPONS,11349
Aug, DISORDERLY CONDUCT,65
Aug, DISRUPTION OF A RELIGIOUS SERV,1
Aug, ENDAN WELFARE INCOMP,17
Aug, ESCAPE 3,22
Aug, FELONY ASSAULT,18931
Aug, FORGERY,4330
Aug, FORTUNE TELLING,3
Aug, FRAUDS,2797
Aug, FRAUDULENT ACCOSTING,245
Aug, GAMBLING,323
Aug, GRAND LARCENY,41092
Aug, GRAND LARCENY OF MOTOR VEHICLE,10019
Aug, HARRASSMENT 2,57856
Aug, HOMICIDE-NEGLIGENT-VEHICLE,5
Aug, INTOXICATED & IMPAIRED DRIVING,5995
Aug, INTOXICATED/IMPAIRED DRIVING,2
Aug, JOSTLING,18
Aug, KIDNAPPING & RELATED OFFENSES,242
Aug, LOITERING/GAMBLING CARDS DIC,43
Aug, MISCELLANEOUS PENAL LAW,11581
Aug, NEW YORK CITY HEALTH CODE,8
Aug, NYS LAWS-UNCLASSIFIED FELONY,350
Aug, NYS LAWS-UNCLASSIFIED VIOLATION,3
Aug, OFF. AGNST PUB ORD SENSBLTY &,25738
Aug, OFFENSES AGAINST MARRIAGE UNCL,2
Aug, OFFENSES AGAINST PUBLIC ADMINI,9409
Aug, OFFENSES AGAINST PUBLIC SAFETY,25
Aug, OFFENSES AGAINST THE PERSON,1291
Aug, OFFENSES INVOLVING FRAUD,1544
Aug, OFFENSES RELATED TO CHILDREN,117
Aug, OTHER OFFENSES RELATED TO THEF,976
Aug, OTHER STATE LAWS,22
Aug, OTHER STATE LAWS NON PENAL LA,472
Aug, OTHER STATE LAWS NON PENAL LAW,1
Aug, OTHER TRAFFIC INFRACTION,1
Aug, PETIT LARCENY,81623
Aug, PETIT LARCENY OF MOTOR VEHICLE,106
Aug, POSSESSION OF STOLEN PROPERTY,2664
Aug, PROSTITUTION & RELATED OFFENSES,105
Aug, ROBBERY,18585
Aug, SEX CRIMES,11
Aug, THEFT OF SERVICES,257
Aug, THEFT-FRAUD,4469
Aug, UNAUTHORIZED USE OF A VEHICLE,1483
Aug, UNLAWFUL POSS. WEAP. ON SCHOOL,1
Aug, VEHICLE AND TRAFFIC LAWS,4992
Dec, ADMINISTRATIVE CODE,909
Dec, ADMINISTRATIVE CODES,1
Dec, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,25
Dec, ALCOHOLIC BEVERAGE CONTROL LAW,59
Dec, ANTICIPATORY OFFENSES,12
Dec, ARSON,1226
Dec, ASSAULT 3 & RELATED OFFENSES,42300
Dec, "BURGLARS TOOLS",186
Dec, BURGLARY,18064
Dec, CHILD ABANDONMENT/NON SUPPORT,31
Dec, CRIMINAL MISCHIEF & RELATED OF,40404
Dec, CRIMINAL TRESPASS,5290
Dec, DANGEROUS DRUGS,23993
Dec, DANGEROUS WEAPONS,8648
Dec, DISORDERLY CONDUCT,50
Dec, DISRUPTION OF A RELIGIOUS SERV,2
Dec, ENDAN WELFARE INCOMP,16
Dec, ESCAPE 3,7
Dec, FELONY ASSAULT,15191
Dec, FORGERY,3922
Dec, FRAUDS,2432
Dec, FRAUDULENT ACCOSTING,225
Dec, GAMBLING,86
Dec, GRAND LARCENY,40660
Dec, GRAND LARCENY OF MOTOR VEHICLE,8583
Dec, HARRASSMENT 2,49379
Dec, HOMICIDE-NEGLIGENT-VEHICLE,6
Dec, HOMICIDE-NEGLIGENTUNCLASSIFIE,3
Dec, INTOXICATED & IMPAIRED DRIVING,5585
Dec, JOSTLING,19
Dec, KIDNAPPING & RELATED OFFENSES,166
Dec, LOITERING,1
Dec, LOITERING FOR DRUG PURPOSES,5
Dec, LOITERING/DEVIATE SEX,1
Dec, LOITERING/GAMBLING CARDS DIC,14
Dec, MISCELLANEOUS PENAL LAW,9384
Dec, NEW YORK CITY HEALTH CODE,5
Dec, NYS LAWS-UNCLASSIFIED FELONY,258
Dec, NYS LAWS-UNCLASSIFIED VIOLATION,1
Dec, OFF. AGNST PUB ORD SENSBLTY &,22481
Dec, OFFENSES AGAINST PUBLIC ADMINI,7623
Dec, OFFENSES AGAINST PUBLIC SAFETY,34
Dec, OFFENSES AGAINST THE PERSON,794
Dec, OFFENSES INVOLVING FRAUD,1432
Dec, OFFENSES RELATED TO CHILDREN,71
Dec, OTHER OFFENSES RELATED TO THEF,944
Dec, OTHER STATE LAWS,8
Dec, OTHER STATE LAWS NON PENAL LA,360
Dec, OTHER STATE LAWS NON PENAL LAW,1
Dec, OTHER TRAFFIC INFRACTION,1
Dec, PETIT LARCENY,71612
Dec, PETIT LARCENY OF MOTOR VEHICLE,47
Dec, POSSESSION OF STOLEN PROPERTY,2390
Dec, PROSTITUTION & RELATED OFFENSES,36
Dec, ROBBERY,18873
Dec, SEX CRIMES,8
Dec, THEFT OF SERVICES,209
Dec, THEFT-FRAUD,4469
Dec, UNAUTHORIZED USE OF A VEHICLE,1150
Dec, UNLAWFUL POSS. WEAP. ON SCHOOL,7
Dec, VEHICLE AND TRAFFIC LAWS,4795
Feb, ABORTION,1
Feb, ADMINISTRATIVE CODE,906
Feb, ADMINISTRATIVE CODES,1
Feb, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,6
Feb, ALCOHOLIC BEVERAGE CONTROL LAW,75
Feb, ANTICIPATORY OFFENSES,8
Feb, ARSON,1201
Feb, ASSAULT 3 & RELATED OFFENSES,39838
Feb, "BURGLARS TOOLS",188
Feb, BURGLARY,13839
Feb, CHILD ABANDONMENT/NON SUPPORT,24
Feb, CRIMINAL MISCHIEF & RELATED OF,37715
Feb, CRIMINAL TRESPASS,7360
Feb, DANGEROUS DRUGS,30199
Feb, DANGEROUS WEAPONS,10481
Feb, DISORDERLY CONDUCT,72
Feb, DISRUPTION OF A RELIGIOUS SERV,2
Feb, ENDAN WELFARE INCOMP,14
Feb, ESCAPE 3,12
Feb, FELONY ASSAULT,12898
Feb, FORGERY,4645
Feb, FRAUDS,2868
Feb, FRAUDULENT ACCOSTING,217
Feb, GAMBLING,111
Feb, GRAND LARCENY,30441
Feb, GRAND LARCENY OF MOTOR VEHICLE,6787
Feb, HARRASSMENT 2,45838
Feb, HOMICIDE-NEGLIGENT-VEHICLE,10
Feb, HOMICIDE-NEGLIGENTUNCLASSIFIE,3
Feb, INTOXICATED & IMPAIRED DRIVING,6198
Feb, INTOXICATED/IMPAIRED DRIVING,6
Feb, JOSTLING,24
Feb, KIDNAPPING & RELATED OFFENSES,181
Feb, LOITERING,1
Feb, LOITERING/GAMBLING CARDS DIC,6
Feb, MISCELLANEOUS PENAL LAW,9304
Feb, NEW YORK CITY HEALTH CODE,8
Feb, NYS LAWS-UNCLASSIFIED FELONY,372
Feb, NYS LAWS-UNCLASSIFIED VIOLATION,2
Feb, OFF. AGNST PUB ORD SENSBLTY &,23562
Feb, OFFENSES AGAINST PUBLIC ADMINI,7656
Feb, OFFENSES AGAINST PUBLIC SAFETY,17
Feb, OFFENSES AGAINST THE PERSON,771
Feb, OFFENSES INVOLVING FRAUD,1472
Feb, OFFENSES RELATED TO CHILDREN,117
Feb, OTHER OFFENSES RELATED TO THEF,889
Feb, OTHER STATE LAWS,15
Feb, OTHER STATE LAWS NON PENAL LA,451
Feb, PETIT LARCENY,58160
Feb, PETIT LARCENY OF MOTOR VEHICLE,39
Feb, POSSESSION OF STOLEN PROPERTY,2258
Feb, PROSTITUTION & RELATED OFFENSES,58
Feb, ROBBERY,13408
Feb, SEX CRIMES,4
Feb, THEFT OF SERVICES,264
Feb, THEFT-FRAUD,5264
Feb, UNAUTHORIZED USE OF A VEHICLE,1090
Feb, UNLAWFUL POSS. WEAP. ON SCHOOL,2
Feb, VEHICLE AND TRAFFIC LAWS,4402
Jan, ABORTION,1
Jan, ADMINISTRATIVE CODE,1014
Jan, ADMINISTRATIVE CODES,2
Jan, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,14
Jan, ALCOHOLIC BEVERAGE CONTROL LAW,62
Jan, ANTICIPATORY OFFENSES,7
Jan, ARSON,1453
Jan, ASSAULT 3 & RELATED OFFENSES,43053
Jan, "BURGLARS TOOLS",203
Jan, BURGLARY,16637
Jan, CHILD ABANDONMENT/NON SUPPORT,23
Jan, CRIMINAL MISCHIEF & RELATED OF,44986
Jan, CRIMINAL TRESPASS,7703
Jan, DANGEROUS DRUGS,31458
Jan, DANGEROUS WEAPONS,11851
Jan, DISORDERLY CONDUCT,64
Jan, DISRUPTION OF A RELIGIOUS SERV,1
Jan, ENDAN WELFARE INCOMP,15
Jan, ESCAPE 3,6
Jan, FELONY ASSAULT,14902
Jan, FORGERY,4730
Jan, FORTUNE TELLING,2
Jan, FRAUDS,3158
Jan, FRAUDULENT ACCOSTING,231
Jan, GAMBLING,83
Jan, GRAND LARCENY,35514
Jan, GRAND LARCENY OF MOTOR VEHICLE,8442
Jan, HARRASSMENT 2,51509
Jan, HOMICIDE-NEGLIGENT-VEHICLE,5
Jan, HOMICIDE-NEGLIGENTUNCLASSIFIE,2
Jan, INTOXICATED & IMPAIRED DRIVING,6033
Jan, INTOXICATED/IMPAIRED DRIVING,3
Jan, JOSTLING,28
Jan, KIDNAPPING,1
Jan, KIDNAPPING & RELATED OFFENSES,188
Jan, LOITERING,1
Jan, LOITERING FOR DRUG PURPOSES,8
Jan, LOITERING/GAMBLING CARDS DIC,9
Jan, MISCELLANEOUS PENAL LAW,10321
Jan, NEW YORK CITY HEALTH CODE,8
Jan, NYS LAWS-UNCLASSIFIED FELONY,372
Jan, NYS LAWS-UNCLASSIFIED VIOLATION,4
Jan, OFF. AGNST PUB ORD SENSBLTY &,26103
Jan, OFFENSES AGAINST MARRIAGE UNCL,1
Jan, OFFENSES AGAINST PUBLIC ADMINI,8008
Jan, OFFENSES AGAINST PUBLIC SAFETY,28
Jan, OFFENSES AGAINST THE PERSON,893
Jan, OFFENSES INVOLVING FRAUD,1521
Jan, OFFENSES RELATED TO CHILDREN,178
Jan, OTHER OFFENSES RELATED TO THEF,859
Jan, OTHER STATE LAWS,19
Jan, OTHER STATE LAWS NON PENAL LA,465
Jan, OTHER TRAFFIC INFRACTION,3
Jan, PETIT LARCENY,68301
Jan, PETIT LARCENY OF MOTOR VEHICLE,66
Jan, POSSESSION OF STOLEN PROPERTY,2584
Jan, PROSTITUTION & RELATED OFFENSES,51
Jan, ROBBERY,17898
Jan, SEX CRIMES,6
Jan, THEFT OF SERVICES,305
Jan, THEFT-FRAUD,5685
Jan, UNAUTHORIZED USE OF A VEHICLE,1144
Jan, UNLAWFUL POSS. WEAP. ON SCHOOL,5
Jan, VEHICLE AND TRAFFIC LAWS,4493
Jul, ADMINISTRATIVE CODE,1105
Jul, ADMINISTRATIVE CODES,1
Jul, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,22
Jul, ALCOHOLIC BEVERAGE CONTROL LAW,76
Jul, ANTICIPATORY OFFENSES,9
Jul, ARSON,1152
Jul, ASSAULT 3 & RELATED OFFENSES,52385
Jul, "BURGLARS TOOLS",234
Jul, BURGLARY,18062
Jul, CHILD ABANDONMENT/NON SUPPORT,35
Jul, CRIMINAL MISCHIEF & RELATED OF,48911
Jul, CRIMINAL TRESPASS,4424
Jul, DANGEROUS DRUGS,29814
Jul, DANGEROUS WEAPONS,10891
Jul, DISORDERLY CONDUCT,63
Jul, DISRUPTION OF A RELIGIOUS SERV,5
Jul, ENDAN WELFARE INCOMP,10
Jul, ESCAPE 3,14
Jul, FELONY ASSAULT,19726
Jul, FORGERY,4245
Jul, FORTUNE TELLING,1
Jul, FRAUDS,2812
Jul, FRAUDULENT ACCOSTING,242
Jul, GAMBLING,256
Jul, GRAND LARCENY,40363
Jul, GRAND LARCENY OF MOTOR VEHICLE,9708
Jul, HARRASSMENT 2,59819
Jul, HOMICIDE-NEGLIGENT-VEHICLE,3
Jul, HOMICIDE-NEGLIGENTUNCLASSIFIE,3
Jul, INTOXICATED & IMPAIRED DRIVING,5710
Jul, INTOXICATED/IMPAIRED DRIVING,1
Jul, JOSTLING,31
Jul, KIDNAPPING,2
Jul, KIDNAPPING & RELATED OFFENSES,217
Jul, KIDNAPPING AND RELATED OFFENSES,1
Jul, LOITERING,4
Jul, LOITERING FOR DRUG PURPOSES,4
Jul, LOITERING/GAMBLING CARDS DIC,22
Jul, MISCELLANEOUS PENAL LAW,12114
Jul, NEW YORK CITY HEALTH CODE,11
Jul, NYS LAWS-UNCLASSIFIED FELONY,318
