Apr, ADMINISTRATIVE CODE,44
Apr, ALCOHOLIC BEVERAGE CONTROL LAW,2
Apr, ARSON,70
Apr, ASSAULT 3 & RELATED OFFENSES,2144
Apr, "BURGLARS TOOLS",4
Apr, BURGLARY,509
Apr, CRIMINAL MISCHIEF & RELATED OF,3001
Apr, CRIMINAL TRESPASS,134
Apr, DANGEROUS DRUGS,1095
Apr, DANGEROUS WEAPONS,428
Apr, DISORDERLY CONDUCT,1
Apr, FELONY ASSAULT,463
Apr, FORGERY,125
Apr, FRAUDS,275
Apr, FRAUDULENT ACCOSTING,1
Apr, GAMBLING,1
Apr, GRAND LARCENY,943
Apr, GRAND LARCENY OF MOTOR VEHICLE,264
Apr, HARRASSMENT 2,3927
Apr, HOMICIDE-NEGLIGENT-VEHICLE,2
Apr, INTOXICATED & IMPAIRED DRIVING,432
Apr, KIDNAPPING & RELATED OFFENSES,9
Apr, MISCELLANEOUS PENAL LAW,434
Apr, NYS LAWS-UNCLASSIFIED FELONY,14
Apr, OFF. AGNST PUB ORD SENSBLTY &,1738
Apr, OFFENSES AGAINST PUBLIC ADMINI,637
Apr, OFFENSES AGAINST PUBLIC SAFETY,5
Apr, OFFENSES AGAINST THE PERSON,47
Apr, OFFENSES INVOLVING FRAUD,25
Apr, OFFENSES RELATED TO CHILDREN,3
Apr, OTHER OFFENSES RELATED TO THEF,38
Apr, OTHER STATE LAWS,2
Apr, OTHER STATE LAWS NON PENAL LA,14
Apr, PETIT LARCENY,3093
Apr, PETIT LARCENY OF MOTOR VEHICLE,2
Apr, POSSESSION OF STOLEN PROPERTY,94
Apr, PROSTITUTION & RELATED OFFENSES,2
Apr, ROBBERY,341
Apr, THEFT-FRAUD,315
Apr, UNAUTHORIZED USE OF A VEHICLE,95
Apr, UNDER THE INFLUENCE OF DRUGS,1
Apr, VEHICLE AND TRAFFIC LAWS,134
Aug, ADMINISTRATIVE CODE,40
Aug, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2
Aug, ALCOHOLIC BEVERAGE CONTROL LAW,3
Aug, ARSON,70
Aug, ASSAULT 3 & RELATED OFFENSES,2209
Aug, "BURGLARS TOOLS",5
Aug, BURGLARY,723
Aug, CRIMINAL MISCHIEF & RELATED OF,3453
Aug, CRIMINAL TRESPASS,131
Aug, DANGEROUS DRUGS,916
