,MONTH,OFNS_DESC,COUNT
95,8,PETIT LARCENY,13597
567,10,PETIT LARCENY,13551
299,7,PETIT LARCENY,13284
620,9,PETIT LARCENY,13022
355,6,PETIT LARCENY,13007
440,5,HARRASSMENT 2,13000
458,5,PETIT LARCENY,12954
421,5,ASSAULT 3 & RELATED OFFENSES,12932
601,9,HARRASSMENT 2,12805
261,7,ASSAULT 3 & RELATED OFFENSES,12738
279,7,HARRASSMENT 2,12673
333,6,HARRASSMENT 2,12631
549,10,HARRASSMENT 2,12531
314,6,ASSAULT 3 & RELATED OFFENSES,12459
65,8,DANGEROUS DRUGS,12366
59,8,ASSAULT 3 & RELATED OFFENSES,12251
377,3,DANGEROUS DRUGS,12199
537,10,DANGEROUS DRUGS,12123
589,9,DANGEROUS DRUGS,12105
515,11,PETIT LARCENY,12104
77,8,HARRASSMENT 2,12090
427,5,DANGEROUS DRUGS,11950
215,1,DANGEROUS DRUGS,11943
145,12,PETIT LARCENY,11839
24,4,HARRASSMENT 2,11810
11,4,DANGEROUS DRUGS,11795
389,3,HARRASSMENT 2,11646
583,9,ASSAULT 3 & RELATED OFFENSES,11635
44,4,PETIT LARCENY,11602
371,3,ASSAULT 3 & RELATED OFFENSES,11584
245,1,PETIT LARCENY,11518
5,4,ASSAULT 3 & RELATED OFFENSES,11428
531,10,ASSAULT 3 & RELATED OFFENSES,11420
267,7,DANGEROUS DRUGS,11313
167,2,DANGEROUS DRUGS,11305
405,3,PETIT LARCENY,11242
226,1,HARRASSMENT 2,11219
320,6,DANGEROUS DRUGS,11095
492,11,HARRASSMENT 2,11091
127,12,HARRASSMENT 2,10751
474,11,ASSAULT 3 & RELATED OFFENSES,10618
209,1,ASSAULT 3 & RELATED OFFENSES,10455
480,11,DANGEROUS DRUGS,10327
110,12,ASSAULT 3 & RELATED OFFENSES,10176
425,5,CRIMINAL MISCHIEF & RELATED OF,10056
265,7,CRIMINAL MISCHIEF & RELATED OF,9935
63,8,CRIMINAL MISCHIEF & RELATED OF,9867
318,6,CRIMINAL MISCHIEF & RELATED OF,9855
161,2,ASSAULT 3 & RELATED OFFENSES,9852
179,2,HARRASSMENT 2,9822
9,4,CRIMINAL MISCHIEF & RELATED OF,9690
375,3,CRIMINAL MISCHIEF & RELATED OF,9617
195,2,PETIT LARCENY,9391
535,10,CRIMINAL MISCHIEF & RELATED OF,9375
587,9,CRIMINAL MISCHIEF & RELATED OF,9197
213,1,CRIMINAL MISCHIEF & RELATED OF,9142
116,12,DANGEROUS DRUGS,8988
478,11,CRIMINAL MISCHIEF & RELATED OF,8707
114,12,CRIMINAL MISCHIEF & RELATED OF,8374
165,2,CRIMINAL MISCHIEF & RELATED OF,7607
396,3,OFF. AGNST PUB ORD SENSBLTY &,5973
237,1,OFF. AGNST PUB ORD SENSBLTY &,5724
35,4,OFF. AGNST PUB ORD SENSBLTY &,5722
449,5,OFF. AGNST PUB ORD SENSBLTY &,5699
290,7,OFF. AGNST PUB ORD SENSBLTY &,5650
86,8,OFF. AGNST PUB ORD SENSBLTY &,5638
611,9,OFF. AGNST PUB ORD SENSBLTY &,5634
75,8,GRAND LARCENY,5625
345,6,OFF. AGNST PUB ORD SENSBLTY &,5607
558,10,OFF. AGNST PUB ORD SENSBLTY &,5493
277,7,GRAND LARCENY,5380
599,9,GRAND LARCENY,5373
272,7,FELONY ASSAULT,5265
547,10,GRAND LARCENY,5239
505,11,OFF. AGNST PUB ORD SENSBLTY &,5138
331,6,GRAND LARCENY,5073
186,2,OFF. AGNST PUB ORD SENSBLTY &,5060
125,12,GRAND LARCENY,5038
438,5,GRAND LARCENY,4980
70,8,FELONY ASSAULT,4971
136,12,OFF. AGNST PUB ORD SENSBLTY &,4937
490,11,GRAND LARCENY,4926
433,5,FELONY ASSAULT,4892
325,6,FELONY ASSAULT,4883
571,10,ROBBERY,4743
594,9,FELONY ASSAULT,4557
22,4,GRAND LARCENY,4556
542,10,FELONY ASSAULT,4448
149,12,ROBBERY,4417
624,9,ROBBERY,4395
387,3,GRAND LARCENY,4391
99,8,ROBBERY,4356
519,11,ROBBERY,4242
485,11,FELONY ASSAULT,4236
17,4,FELONY ASSAULT,4226
224,1,GRAND LARCENY,4216
382,3,FELONY ASSAULT,4173
303,7,ROBBERY,4113
249,1,ROBBERY,4068
120,12,FELONY ASSAULT,3982
462,5,ROBBERY,3958
359,6,ROBBERY,3832
219,1,FELONY ASSAULT,3816
177,2,GRAND LARCENY,3618
409,3,ROBBERY,3418
48,4,ROBBERY,3407
172,2,FELONY ASSAULT,3371
585,9,BURGLARY,3339
61,8,BURGLARY,3338
533,10,BURGLARY,3330
263,7,BURGLARY,3223
112,12,BURGLARY,3215
476,11,BURGLARY,3057
423,5,BURGLARY,3028
199,2,ROBBERY,3011
316,6,BURGLARY,2999
211,1,BURGLARY,2948
373,3,BURGLARY,2519
7,4,BURGLARY,2484
163,2,BURGLARY,2193
