,MONTH,OFNS_DESC,COUNT
312,Jul,PETIT LARCENY,23355
97,Aug,PETIT LARCENY,23165
583,Oct,PETIT LARCENY,22041
367,Jun,PETIT LARCENY,21918
476,May,PETIT LARCENY,21648
637,Sep,PETIT LARCENY,21616
528,Nov,PETIT LARCENY,20148
150,Dec,PETIT LARCENY,20089
45,Apr,PETIT LARCENY,19357
258,Jan,PETIT LARCENY,19042
423,Mar,PETIT LARCENY,19000
291,Jul,HARRASSMENT 2,18478
345,Jun,HARRASSMENT 2,18143
456,May,HARRASSMENT 2,17977
79,Aug,HARRASSMENT 2,17915
618,Sep,HARRASSMENT 2,17745
563,Oct,HARRASSMENT 2,17364
438,May,ASSAULT 3 & RELATED OFFENSES,17180
272,Jul,ASSAULT 3 & RELATED OFFENSES,17063
326,Jun,ASSAULT 3 & RELATED OFFENSES,16735
402,Mar,HARRASSMENT 2,16456
61,Aug,ASSAULT 3 & RELATED OFFENSES,16320
24,Apr,HARRASSMENT 2,16188
204,Feb,PETIT LARCENY,15795
237,Jan,HARRASSMENT 2,15672
508,Nov,HARRASSMENT 2,15632
276,Jul,CRIMINAL MISCHIEF & RELATED OF,15470
383,Mar,ASSAULT 3 & RELATED OFFENSES,15395
599,Sep,ASSAULT 3 & RELATED OFFENSES,15342
65,Aug,CRIMINAL MISCHIEF & RELATED OF,15090
5,Apr,ASSAULT 3 & RELATED OFFENSES,15082
548,Oct,CRIMINAL MISCHIEF & RELATED OF,15075
544,Oct,ASSAULT 3 & RELATED OFFENSES,14952
330,Jun,CRIMINAL MISCHIEF & RELATED OF,14932
130,Dec,HARRASSMENT 2,14868
442,May,CRIMINAL MISCHIEF & RELATED OF,14836
9,Apr,CRIMINAL MISCHIEF & RELATED OF,14420
387,Mar,CRIMINAL MISCHIEF & RELATED OF,14159
223,Jan,CRIMINAL MISCHIEF & RELATED OF,14025
185,Feb,HARRASSMENT 2,13999
219,Jan,ASSAULT 3 & RELATED OFFENSES,13992
603,Sep,CRIMINAL MISCHIEF & RELATED OF,13882
490,Nov,ASSAULT 3 & RELATED OFFENSES,13574
494,Nov,CRIMINAL MISCHIEF & RELATED OF,13532
111,Dec,ASSAULT 3 & RELATED OFFENSES,13414
115,Dec,CRIMINAL MISCHIEF & RELATED OF,13015
166,Feb,ASSAULT 3 & RELATED OFFENSES,12684
170,Feb,CRIMINAL MISCHIEF & RELATED OF,11886
561,Oct,GRAND LARCENY,11190
289,Jul,GRAND LARCENY,11150
77,Aug,GRAND LARCENY,11127
616,Sep,GRAND LARCENY,10898
343,Jun,GRAND LARCENY,10731
506,Nov,GRAND LARCENY,10405
454,May,GRAND LARCENY,10402
128,Dec,GRAND LARCENY,10237
389,Mar,DANGEROUS DRUGS,9907
67,Aug,DANGEROUS DRUGS,9828
444,May,DANGEROUS DRUGS,9789
550,Oct,DANGEROUS DRUGS,9714
11,Apr,DANGEROUS DRUGS,9674
22,Apr,GRAND LARCENY,9483
225,Jan,DANGEROUS DRUGS,9471
235,Jan,GRAND LARCENY,9425
400,Mar,GRAND LARCENY,9245
172,Feb,DANGEROUS DRUGS,9181
605,Sep,DANGEROUS DRUGS,9138
278,Jul,DANGEROUS DRUGS,8950
332,Jun,DANGEROUS DRUGS,8732
413,Mar,OFF. AGNST PUB ORD SENSBLTY &,8085
496,Nov,DANGEROUS DRUGS,7992
35,Apr,OFF. AGNST PUB ORD SENSBLTY &,7956
183,Feb,GRAND LARCENY,7939
466,May,OFF. AGNST PUB ORD SENSBLTY &,7901
248,Jan,OFF. AGNST PUB ORD SENSBLTY &,7891
88,Aug,OFF. AGNST PUB ORD SENSBLTY &,7811
302,Jul,OFF. AGNST PUB ORD SENSBLTY &,7776
628,Sep,OFF. AGNST PUB ORD SENSBLTY &,7462
357,Jun,OFF. AGNST PUB ORD SENSBLTY &,7454
574,Oct,OFF. AGNST PUB ORD SENSBLTY &,7300
195,Feb,OFF. AGNST PUB ORD SENSBLTY &,7103
117,Dec,DANGEROUS DRUGS,7073
587,Oct,ROBBERY,7061
519,Nov,OFF. AGNST PUB ORD SENSBLTY &,6897
141,Dec,OFF. AGNST PUB ORD SENSBLTY &,6845
284,Jul,FELONY ASSAULT,6832
316,Jul,ROBBERY,6582
641,Sep,ROBBERY,6568
63,Aug,BURGLARY,6554
101,Aug,ROBBERY,6535
72,Aug,FELONY ASSAULT,6515
546,Oct,BURGLARY,6507
154,Dec,ROBBERY,6495
338,Jun,FELONY ASSAULT,6421
449,May,FELONY ASSAULT,6315
262,Jan,ROBBERY,6315
532,Nov,ROBBERY,6282
274,Jul,BURGLARY,6276
113,Dec,BURGLARY,6230
480,May,ROBBERY,6162
601,Sep,BURGLARY,6146
492,Nov,BURGLARY,6089
611,Sep,FELONY ASSAULT,6036
371,Jun,ROBBERY,5994
556,Oct,FELONY ASSAULT,5733
440,May,BURGLARY,5721
328,Jun,BURGLARY,5681
221,Jan,BURGLARY,5663
17,Apr,FELONY ASSAULT,5467
395,Mar,FELONY ASSAULT,5282
427,Mar,ROBBERY,5280
49,Apr,ROBBERY,5207
501,Nov,FELONY ASSAULT,5120
123,Dec,FELONY ASSAULT,5076
385,Mar,BURGLARY,5028
7,Apr,BURGLARY,5002
230,Jan,FELONY ASSAULT,4974
168,Feb,BURGLARY,4614
208,Feb,ROBBERY,4552
178,Feb,FELONY ASSAULT,4291
