,MONTH,OFNS_DESC,COUNT
101,8,PETIT LARCENY,25942
315,7,PETIT LARCENY,25554
633,9,PETIT LARCENY,24703
366,6,PETIT LARCENY,24459
580,10,PETIT LARCENY,24221
473,5,PETIT LARCENY,24186
153,12,PETIT LARCENY,22367
527,11,PETIT LARCENY,22319
45,4,PETIT LARCENY,22083
417,3,PETIT LARCENY,21925
263,1,PETIT LARCENY,21691
206,2,PETIT LARCENY,18997
131,12,GRAND LARCENY,16842
559,10,GRAND LARCENY,16329
78,8,GRAND LARCENY,15756
505,11,GRAND LARCENY,15547
293,7,GRAND LARCENY,15453
612,9,GRAND LARCENY,15227
346,6,GRAND LARCENY,14982
452,5,GRAND LARCENY,14895
240,1,GRAND LARCENY,14335
396,3,GRAND LARCENY,13893
23,4,GRAND LARCENY,13629
184,2,GRAND LARCENY,12236
454,5,HARRASSMENT 2,11974
348,6,HARRASSMENT 2,11910
614,9,HARRASSMENT 2,11657
561,10,HARRASSMENT 2,11505
295,7,HARRASSMENT 2,11460
80,8,HARRASSMENT 2,11411
398,3,HARRASSMENT 2,11138
25,4,HARRASSMENT 2,10894
507,11,HARRASSMENT 2,10615
242,1,HARRASSMENT 2,10433
133,12,HARRASSMENT 2,10074
435,5,ASSAULT 3 & RELATED OFFENSES,9979
329,6,ASSAULT 3 & RELATED OFFENSES,9858
277,7,ASSAULT 3 & RELATED OFFENSES,9722
60,8,ASSAULT 3 & RELATED OFFENSES,9382
186,2,HARRASSMENT 2,9293
379,3,ASSAULT 3 & RELATED OFFENSES,9226
595,9,ASSAULT 3 & RELATED OFFENSES,9104
64,8,CRIMINAL MISCHIEF & RELATED OF,8884
542,10,ASSAULT 3 & RELATED OFFENSES,8846
333,6,CRIMINAL MISCHIEF & RELATED OF,8835
5,4,ASSAULT 3 & RELATED OFFENSES,8795
439,5,CRIMINAL MISCHIEF & RELATED OF,8737
281,7,CRIMINAL MISCHIEF & RELATED OF,8714
546,10,CRIMINAL MISCHIEF & RELATED OF,8698
9,4,CRIMINAL MISCHIEF & RELATED OF,8557
489,11,ASSAULT 3 & RELATED OFFENSES,8489
383,3,CRIMINAL MISCHIEF & RELATED OF,8329
115,12,ASSAULT 3 & RELATED OFFENSES,8311
222,1,ASSAULT 3 & RELATED OFFENSES,8273
226,1,CRIMINAL MISCHIEF & RELATED OF,8207
599,9,CRIMINAL MISCHIEF & RELATED OF,8076
168,2,ASSAULT 3 & RELATED OFFENSES,7638
385,3,DANGEROUS DRUGS,7623
548,10,DANGEROUS DRUGS,7435
493,11,CRIMINAL MISCHIEF & RELATED OF,7204
66,8,DANGEROUS DRUGS,7191
11,4,DANGEROUS DRUGS,7107
441,5,DANGEROUS DRUGS,7053
119,12,CRIMINAL MISCHIEF & RELATED OF,7044
228,1,DANGEROUS DRUGS,6988
601,9,DANGEROUS DRUGS,6958
283,7,DANGEROUS DRUGS,6919
174,2,DANGEROUS DRUGS,6846
172,2,CRIMINAL MISCHIEF & RELATED OF,6822
335,6,DANGEROUS DRUGS,6617
495,11,DANGEROUS DRUGS,6416
121,12,DANGEROUS DRUGS,5672
408,3,OFF. AGNST PUB ORD SENSBLTY &,5592
464,5,OFF. AGNST PUB ORD SENSBLTY &,5515
35,4,OFF. AGNST PUB ORD SENSBLTY &,5443
253,1,OFF. AGNST PUB ORD SENSBLTY &,5400
624,9,OFF. AGNST PUB ORD SENSBLTY &,5290
90,8,OFF. AGNST PUB ORD SENSBLTY &,5252
357,6,OFF. AGNST PUB ORD SENSBLTY &,5216
306,7,OFF. AGNST PUB ORD SENSBLTY &,5177
571,10,OFF. AGNST PUB ORD SENSBLTY &,5011
518,11,OFF. AGNST PUB ORD SENSBLTY &,4796
197,2,OFF. AGNST PUB ORD SENSBLTY &,4788
144,12,OFF. AGNST PUB ORD SENSBLTY &,4513
584,10,ROBBERY,3748
319,7,ROBBERY,3725
157,12,ROBBERY,3680
105,8,ROBBERY,3606
637,9,ROBBERY,3579
531,11,ROBBERY,3522
267,1,ROBBERY,3470
279,7,BURGLARY,3417
62,8,BURGLARY,3405
341,6,FELONY ASSAULT,3401
544,10,BURGLARY,3396
72,8,FELONY ASSAULT,3390
287,7,FELONY ASSAULT,3372
446,5,FELONY ASSAULT,3279
117,12,BURGLARY,3273
370,6,ROBBERY,3268
597,9,BURGLARY,3260
477,5,ROBBERY,3245
224,1,BURGLARY,3105
554,10,FELONY ASSAULT,3096
437,5,BURGLARY,3067
331,6,BURGLARY,3065
607,9,FELONY ASSAULT,3060
491,11,BURGLARY,3023
421,3,ROBBERY,2942
17,4,FELONY ASSAULT,2884
391,3,FELONY ASSAULT,2850
49,4,ROBBERY,2843
234,1,FELONY ASSAULT,2813
500,11,FELONY ASSAULT,2812
7,4,BURGLARY,2798
126,12,FELONY ASSAULT,2761
381,3,BURGLARY,2707
210,2,ROBBERY,2631
170,2,BURGLARY,2607
179,2,FELONY ASSAULT,2282
