,MONTH,OFNS_DESC,COUNT
112,Aug,PETIT LARCENY,81623
360,Jul,PETIT LARCENY,81179
666,Oct,PETIT LARCENY,78268
728,Sep,PETIT LARCENY,77206
424,Jun,PETIT LARCENY,77129
546,May,PETIT LARCENY,76905
607,Nov,PETIT LARCENY,71707
173,Dec,PETIT LARCENY,71612
50,Apr,PETIT LARCENY,69706
484,Mar,PETIT LARCENY,68650
296,Jan,PETIT LARCENY,68301
333,Jul,HARRASSMENT 2,59819
398,Jun,HARRASSMENT 2,59760
522,May,HARRASSMENT 2,59696
704,Sep,HARRASSMENT 2,58863
232,Feb,PETIT LARCENY,58160
89,Aug,HARRASSMENT 2,57856
643,Oct,HARRASSMENT 2,57540
460,Mar,HARRASSMENT 2,54238
25,Apr,HARRASSMENT 2,53874
502,May,ASSAULT 3 & RELATED OFFENSES,52959
313,Jul,ASSAULT 3 & RELATED OFFENSES,52385
582,Nov,HARRASSMENT 2,51655
378,Jun,ASSAULT 3 & RELATED OFFENSES,51513
270,Jan,HARRASSMENT 2,51509
69,Aug,ASSAULT 3 & RELATED OFFENSES,50293
148,Dec,HARRASSMENT 2,49379
317,Jul,CRIMINAL MISCHIEF & RELATED OF,48911
73,Aug,CRIMINAL MISCHIEF & RELATED OF,48581
382,Jun,CRIMINAL MISCHIEF & RELATED OF,47846
506,May,CRIMINAL MISCHIEF & RELATED OF,47796
684,Sep,ASSAULT 3 & RELATED OFFENSES,47782
441,Mar,ASSAULT 3 & RELATED OFFENSES,47598
628,Oct,CRIMINAL MISCHIEF & RELATED OF,47119
624,Oct,ASSAULT 3 & RELATED OFFENSES,46819
5,Apr,ASSAULT 3 & RELATED OFFENSES,46708
9,Apr,CRIMINAL MISCHIEF & RELATED OF,46467
445,Mar,CRIMINAL MISCHIEF & RELATED OF,45850
210,Feb,HARRASSMENT 2,45838
254,Jan,CRIMINAL MISCHIEF & RELATED OF,44986
688,Sep,CRIMINAL MISCHIEF & RELATED OF,44550
563,Nov,ASSAULT 3 & RELATED OFFENSES,43287
250,Jan,ASSAULT 3 & RELATED OFFENSES,43053
129,Dec,ASSAULT 3 & RELATED OFFENSES,42300
567,Nov,CRIMINAL MISCHIEF & RELATED OF,42136
641,Oct,GRAND LARCENY,41696
87,Aug,GRAND LARCENY,41092
146,Dec,GRAND LARCENY,40660
133,Dec,CRIMINAL MISCHIEF & RELATED OF,40404
331,Jul,GRAND LARCENY,40363
702,Sep,GRAND LARCENY,40085
191,Feb,ASSAULT 3 & RELATED OFFENSES,39838
580,Nov,GRAND LARCENY,39112
396,Jun,GRAND LARCENY,38946
520,May,GRAND LARCENY,38300
195,Feb,CRIMINAL MISCHIEF & RELATED OF,37715
268,Jan,GRAND LARCENY,35514
23,Apr,GRAND LARCENY,35112
458,Mar,GRAND LARCENY,35005
447,Mar,DANGEROUS DRUGS,32812
630,Oct,DANGEROUS DRUGS,32292
75,Aug,DANGEROUS DRUGS,32221
508,May,DANGEROUS DRUGS,31733
11,Apr,DANGEROUS DRUGS,31565
256,Jan,DANGEROUS DRUGS,31458
690,Sep,DANGEROUS DRUGS,30969
208,Feb,GRAND LARCENY,30441
197,Feb,DANGEROUS DRUGS,30199
319,Jul,DANGEROUS DRUGS,29814
384,Jun,DANGEROUS DRUGS,29079
569,Nov,DANGEROUS DRUGS,27294
474,Mar,OFF. AGNST PUB ORD SENSBLTY &,26914
39,Apr,OFF. AGNST PUB ORD SENSBLTY &,26140
535,May,OFF. AGNST PUB ORD SENSBLTY &,26118
285,Jan,OFF. AGNST PUB ORD SENSBLTY &,26103
100,Aug,OFF. AGNST PUB ORD SENSBLTY &,25738
349,Jul,OFF. AGNST PUB ORD SENSBLTY &,25487
413,Jun,OFF. AGNST PUB ORD SENSBLTY &,25416
719,Sep,OFF. AGNST PUB ORD SENSBLTY &,25238
657,Oct,OFF. AGNST PUB ORD SENSBLTY &,24667
135,Dec,DANGEROUS DRUGS,23993
223,Feb,OFF. AGNST PUB ORD SENSBLTY &,23562
597,Nov,OFF. AGNST PUB ORD SENSBLTY &,23034
162,Dec,OFF. AGNST PUB ORD SENSBLTY &,22481
670,Oct,ROBBERY,20009
325,Jul,FELONY ASSAULT,19726
81,Aug,FELONY ASSAULT,18931
177,Dec,ROBBERY,18873
390,Jun,FELONY ASSAULT,18791
626,Oct,BURGLARY,18712
732,Sep,ROBBERY,18704
71,Aug,BURGLARY,18633
514,May,FELONY ASSAULT,18625
116,Aug,ROBBERY,18585
364,Jul,ROBBERY,18387
611,Nov,ROBBERY,18283
131,Dec,BURGLARY,18064
315,Jul,BURGLARY,18062
300,Jan,ROBBERY,17898
686,Sep,BURGLARY,17660
696,Sep,FELONY ASSAULT,17483
565,Nov,BURGLARY,17415
550,May,ROBBERY,17175
636,Oct,FELONY ASSAULT,16977
428,Jun,ROBBERY,16941
504,May,BURGLARY,16644
252,Jan,BURGLARY,16637
380,Jun,BURGLARY,16523
17,Apr,FELONY ASSAULT,16096
453,Mar,FELONY ASSAULT,15781
575,Nov,FELONY ASSAULT,15593
141,Dec,FELONY ASSAULT,15191
488,Mar,ROBBERY,15163
262,Jan,FELONY ASSAULT,14902
54,Apr,ROBBERY,14887
443,Mar,BURGLARY,14846
7,Apr,BURGLARY,14609
193,Feb,BURGLARY,13839
236,Feb,ROBBERY,13408
203,Feb,FELONY ASSAULT,12898
