,MONTH,OFNS_DESC,COUNT
313,Jul,PETIT LARCENY,15442
97,Aug,PETIT LARCENY,15170
582,Oct,PETIT LARCENY,14957
475,May,PETIT LARCENY,14739
638,Sep,PETIT LARCENY,14395
369,Jun,PETIT LARCENY,14292
149,Dec,PETIT LARCENY,13820
528,Nov,PETIT LARCENY,13778
45,Apr,PETIT LARCENY,13571
422,Mar,PETIT LARCENY,13381
258,Jan,PETIT LARCENY,13106
293,Jul,HARRASSMENT 2,12758
349,Jun,HARRASSMENT 2,12531
456,May,HARRASSMENT 2,12333
78,Aug,HARRASSMENT 2,12299
617,Sep,HARRASSMENT 2,12253
563,Oct,HARRASSMENT 2,11850
201,Feb,PETIT LARCENY,11438
278,Jul,CRIMINAL MISCHIEF & RELATED OF,11387
64,Aug,CRIMINAL MISCHIEF & RELATED OF,11287
401,Mar,HARRASSMENT 2,11140
24,Apr,HARRASSMENT 2,11055
441,May,CRIMINAL MISCHIEF & RELATED OF,11055
334,Jun,CRIMINAL MISCHIEF & RELATED OF,10956
9,Apr,CRIMINAL MISCHIEF & RELATED OF,10799
222,Jan,CRIMINAL MISCHIEF & RELATED OF,10709
509,Nov,HARRASSMENT 2,10675
548,Oct,CRIMINAL MISCHIEF & RELATED OF,10666
274,Jul,ASSAULT 3 & RELATED OFFENSES,10656
237,Jan,HARRASSMENT 2,10640
437,May,ASSAULT 3 & RELATED OFFENSES,10475
387,Mar,CRIMINAL MISCHIEF & RELATED OF,10448
602,Sep,CRIMINAL MISCHIEF & RELATED OF,10244
330,Jun,ASSAULT 3 & RELATED OFFENSES,10230
131,Dec,HARRASSMENT 2,10181
60,Aug,ASSAULT 3 & RELATED OFFENSES,10131
494,Nov,CRIMINAL MISCHIEF & RELATED OF,9776
598,Sep,ASSAULT 3 & RELATED OFFENSES,9576
544,Oct,ASSAULT 3 & RELATED OFFENSES,9493
183,Feb,HARRASSMENT 2,9478
117,Dec,CRIMINAL MISCHIEF & RELATED OF,9428
383,Mar,ASSAULT 3 & RELATED OFFENSES,9267
5,Apr,ASSAULT 3 & RELATED OFFENSES,9259
490,Nov,ASSAULT 3 & RELATED OFFENSES,8751
169,Feb,CRIMINAL MISCHIEF & RELATED OF,8740
113,Dec,ASSAULT 3 & RELATED OFFENSES,8545
218,Jan,ASSAULT 3 & RELATED OFFENSES,8523
165,Feb,ASSAULT 3 & RELATED OFFENSES,7952
561,Oct,GRAND LARCENY,7797
129,Dec,GRAND LARCENY,7479
615,Sep,GRAND LARCENY,7473
76,Aug,GRAND LARCENY,7452
291,Jul,GRAND LARCENY,7271
507,Nov,GRAND LARCENY,7187
347,Jun,GRAND LARCENY,7106
454,May,GRAND LARCENY,6992
235,Jan,GRAND LARCENY,6702
399,Mar,GRAND LARCENY,6543
22,Apr,GRAND LARCENY,6501
181,Feb,GRAND LARCENY,5840
413,Mar,OFF. AGNST PUB ORD SENSBLTY &,5435
248,Jan,OFF. AGNST PUB ORD SENSBLTY &,5336
360,Jun,OFF. AGNST PUB ORD SENSBLTY &,5331
87,Aug,OFF. AGNST PUB ORD SENSBLTY &,5297
36,Apr,OFF. AGNST PUB ORD SENSBLTY &,5281
466,May,OFF. AGNST PUB ORD SENSBLTY &,5247
303,Jul,OFF. AGNST PUB ORD SENSBLTY &,5209
573,Oct,OFF. AGNST PUB ORD SENSBLTY &,5152
629,Sep,OFF. AGNST PUB ORD SENSBLTY &,5130
192,Feb,OFF. AGNST PUB ORD SENSBLTY &,5039
546,Oct,BURGLARY,4721
115,Dec,BURGLARY,4713
519,Nov,OFF. AGNST PUB ORD SENSBLTY &,4706
138,Dec,OFF. AGNST PUB ORD SENSBLTY &,4689
62,Aug,BURGLARY,4613
492,Nov,BURGLARY,4551
276,Jul,BURGLARY,4537
220,Jan,BURGLARY,4390
600,Sep,BURGLARY,4296
439,May,BURGLARY,4244
332,Jun,BURGLARY,4200
385,Mar,BURGLARY,4044
586,Oct,ROBBERY,4001
167,Feb,BURGLARY,3899
153,Dec,ROBBERY,3846
7,Apr,BURGLARY,3816
532,Nov,ROBBERY,3770
642,Sep,ROBBERY,3752
286,Jul,FELONY ASSAULT,3722
101,Aug,ROBBERY,3642
262,Jan,ROBBERY,3630
449,May,FELONY ASSAULT,3571
317,Jul,ROBBERY,3566
342,Jun,FELONY ASSAULT,3562
71,Aug,FELONY ASSAULT,3535
373,Jun,ROBBERY,3467
479,May,ROBBERY,3449
609,Sep,FELONY ASSAULT,3338
426,Mar,ROBBERY,3171
556,Oct,FELONY ASSAULT,3149
49,Apr,ROBBERY,3089
17,Apr,FELONY ASSAULT,3056
394,Mar,FELONY ASSAULT,2983
502,Nov,FELONY ASSAULT,2953
205,Feb,ROBBERY,2941
124,Dec,FELONY ASSAULT,2891
229,Jan,FELONY ASSAULT,2818
176,Feb,FELONY ASSAULT,2517
550,Oct,DANGEROUS DRUGS,2000
224,Jan,DANGEROUS DRUGS,1995
389,Mar,DANGEROUS DRUGS,1968
443,May,DANGEROUS DRUGS,1922
66,Aug,DANGEROUS DRUGS,1920
11,Apr,DANGEROUS DRUGS,1894
171,Feb,DANGEROUS DRUGS,1855
280,Jul,DANGEROUS DRUGS,1725
604,Sep,DANGEROUS DRUGS,1708
496,Nov,DANGEROUS DRUGS,1706
336,Jun,DANGEROUS DRUGS,1694
119,Dec,DANGEROUS DRUGS,1545
