,MONTH,OFNS_DESC,COUNT
259,Jun,HARRASSMENT 2,4545
219,Jul,HARRASSMENT 2,4450
342,May,HARRASSMENT 2,4412
461,Sep,HARRASSMENT 2,4403
418,Oct,HARRASSMENT 2,4290
59,Aug,HARRASSMENT 2,4141
18,Apr,HARRASSMENT 2,3927
300,Mar,HARRASSMENT 2,3858
74,Aug,PETIT LARCENY,3749
381,Nov,HARRASSMENT 2,3642
180,Jan,HARRASSMENT 2,3545
233,Jul,PETIT LARCENY,3544
98,Dec,HARRASSMENT 2,3505
432,Oct,PETIT LARCENY,3498
111,Dec,PETIT LARCENY,3497
476,Sep,PETIT LARCENY,3470
49,Aug,CRIMINAL MISCHIEF & RELATED OF,3453
272,Jun,PETIT LARCENY,3453
207,Jul,CRIMINAL MISCHIEF & RELATED OF,3405
355,May,PETIT LARCENY,3378
395,Nov,PETIT LARCENY,3358
409,Oct,CRIMINAL MISCHIEF & RELATED OF,3305
288,Mar,CRIMINAL MISCHIEF & RELATED OF,3297
248,Jun,CRIMINAL MISCHIEF & RELATED OF,3268
139,Feb,HARRASSMENT 2,3246
448,Sep,CRIMINAL MISCHIEF & RELATED OF,3151
330,May,CRIMINAL MISCHIEF & RELATED OF,3112
316,Mar,PETIT LARCENY,3102
33,Apr,PETIT LARCENY,3093
6,Apr,CRIMINAL MISCHIEF & RELATED OF,3001
192,Jan,PETIT LARCENY,2944
370,Nov,CRIMINAL MISCHIEF & RELATED OF,2917
168,Jan,CRIMINAL MISCHIEF & RELATED OF,2903
126,Feb,CRIMINAL MISCHIEF & RELATED OF,2660
88,Dec,CRIMINAL MISCHIEF & RELATED OF,2543
153,Feb,PETIT LARCENY,2539
326,May,ASSAULT 3 & RELATED OFFENSES,2393
244,Jun,ASSAULT 3 & RELATED OFFENSES,2231
46,Aug,ASSAULT 3 & RELATED OFFENSES,2209
203,Jul,ASSAULT 3 & RELATED OFFENSES,2206
3,Apr,ASSAULT 3 & RELATED OFFENSES,2144
284,Mar,ASSAULT 3 & RELATED OFFENSES,2126
444,Sep,ASSAULT 3 & RELATED OFFENSES,2125
406,Oct,ASSAULT 3 & RELATED OFFENSES,2108
367,Nov,ASSAULT 3 & RELATED OFFENSES,1855
84,Dec,ASSAULT 3 & RELATED OFFENSES,1854
307,Mar,OFF. AGNST PUB ORD SENSBLTY &,1829
164,Jan,ASSAULT 3 & RELATED OFFENSES,1810
264,Jun,OFF. AGNST PUB ORD SENSBLTY &,1808
347,May,OFF. AGNST PUB ORD SENSBLTY &,1756
185,Jan,OFF. AGNST PUB ORD SENSBLTY &,1752
66,Aug,OFF. AGNST PUB ORD SENSBLTY &,1740
24,Apr,OFF. AGNST PUB ORD SENSBLTY &,1738
467,Sep,OFF. AGNST PUB ORD SENSBLTY &,1722
122,Feb,ASSAULT 3 & RELATED OFFENSES,1712
424,Oct,OFF. AGNST PUB ORD SENSBLTY &,1711
224,Jul,OFF. AGNST PUB ORD SENSBLTY &,1675
145,Feb,OFF. AGNST PUB ORD SENSBLTY &,1572
387,Nov,OFF. AGNST PUB ORD SENSBLTY &,1497
104,Dec,OFF. AGNST PUB ORD SENSBLTY &,1497
416,Oct,GRAND LARCENY,1141
57,Aug,GRAND LARCENY,1132
290,Mar,DANGEROUS DRUGS,1115
459,Sep,GRAND LARCENY,1114
217,Jul,GRAND LARCENY,1109
8,Apr,DANGEROUS DRUGS,1095
96,Dec,GRAND LARCENY,1064
170,Jan,DANGEROUS DRUGS,1061
450,Sep,DANGEROUS DRUGS,1060
257,Jun,GRAND LARCENY,1054
379,Nov,GRAND LARCENY,1047
340,May,GRAND LARCENY,1031
411,Oct,DANGEROUS DRUGS,1020
332,May,DANGEROUS DRUGS,1019
128,Feb,DANGEROUS DRUGS,1012
16,Apr,GRAND LARCENY,943
250,Jun,DANGEROUS DRUGS,941
298,Mar,GRAND LARCENY,933
51,Aug,DANGEROUS DRUGS,916
209,Jul,DANGEROUS DRUGS,907
372,Nov,DANGEROUS DRUGS,853
178,Jan,GRAND LARCENY,836
137,Feb,GRAND LARCENY,808
408,Oct,BURGLARY,758
48,Aug,BURGLARY,723
90,Dec,DANGEROUS DRUGS,715
369,Nov,BURGLARY,695
86,Dec,BURGLARY,633
446,Sep,BURGLARY,619
205,Jul,BURGLARY,609
328,May,BURGLARY,584
246,Jun,BURGLARY,578
335,May,FELONY ASSAULT,568
413,Oct,FELONY ASSAULT,551
286,Mar,BURGLARY,548
213,Jul,FELONY ASSAULT,535
166,Jan,BURGLARY,531
124,Feb,BURGLARY,526
253,Jun,FELONY ASSAULT,524
54,Aug,FELONY ASSAULT,520
5,Apr,BURGLARY,509
294,Mar,FELONY ASSAULT,493
454,Sep,FELONY ASSAULT,492
174,Jan,FELONY ASSAULT,481
92,Dec,FELONY ASSAULT,481
375,Nov,FELONY ASSAULT,472
398,Nov,ROBBERY,467
11,Apr,FELONY ASSAULT,463
435,Oct,ROBBERY,456
78,Aug,ROBBERY,446
132,Feb,FELONY ASSAULT,437
114,Dec,ROBBERY,435
195,Jan,ROBBERY,415
480,Sep,ROBBERY,410
236,Jul,ROBBERY,401
276,Jun,ROBBERY,380
359,May,ROBBERY,361
319,Mar,ROBBERY,352
37,Apr,ROBBERY,341
157,Feb,ROBBERY,273
