,OFNS_DESC,PARKS_NM,COUNT
0,ASSAULT 3 & RELATED OFFENSES, BLOOMINGDALE PARK,1
80,MISCELLANEOUS PENAL LAW, LONG POND PARK,1
79,MISCELLANEOUS PENAL LAW, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,1
78,MISCELLANEOUS PENAL LAW, CONFERENCE HOUSE PARK,1
77,MISCELLANEOUS PENAL LAW, BLOOMINGDALE PARK,1
75,HARRASSMENT 2," ""WOLFES POND PARK""",1
74,HARRASSMENT 2, TOMPKINSVILLE PARK,1
73,HARRASSMENT 2, SOBEL COURT PARK,1
72,HARRASSMENT 2, SILVER LAKE PARK,1
71,HARRASSMENT 2, SEASIDE WILDLIFE NATURE PARK,1
