ADMINISTRATIVE CODE, P.O. SERRANO PLAYGROUND,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, JOYCE KILMER PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, MACOMBS DAM PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, WILLIAMSBRIDGE OVAL,1
ARSON, RICHMAN ECHO PARK,1
ARSON, VAN CORTLANDT PARK,1
ASSAULT 3 & RELATED OFFENSES, AQUEDUCT WALK,2
ASSAULT 3 & RELATED OFFENSES, ARCILLA PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, BARRETTO PARK,1
ASSAULT 3 & RELATED OFFENSES, BATHGATE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BENJAMIN GLADSTONE SQUARE,1
ASSAULT 3 & RELATED OFFENSES, BRONX PARK,6
ASSAULT 3 & RELATED OFFENSES, BUFANO PARK,2
ASSAULT 3 & RELATED OFFENSES, BURNS PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, CASTLE HILL PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, CEDAR PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, CLAREMONT PARK,10
ASSAULT 3 & RELATED OFFENSES, CLEOPATRA PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, COLGATE CLOSE,1
ASSAULT 3 & RELATED OFFENSES, CROTONA PARK,10
ASSAULT 3 & RELATED OFFENSES, CROTONA PARKWAY MALLS,1
ASSAULT 3 & RELATED OFFENSES, "DAURIA-MURPHY TRIANGLE",1
ASSAULT 3 & RELATED OFFENSES, DAWSON PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, DEVOE PARK,2
ASSAULT 3 & RELATED OFFENSES, DREW PLAYGROUND,4
ASSAULT 3 & RELATED OFFENSES, EASTCHESTER PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, ECHO TRIANGLE,2
ASSAULT 3 & RELATED OFFENSES, EDENWALD PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, EWEN PARK,1
ASSAULT 3 & RELATED OFFENSES, FERRY POINT PARK,2
ASSAULT 3 & RELATED OFFENSES, FLYNN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, FOX PLAYGROUND BRONX,3
ASSAULT 3 & RELATED OFFENSES, FRANZ SIGEL PARK,4
ASSAULT 3 & RELATED OFFENSES, GALILEO PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, GOBLE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, GOUVERNEUR PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, HAFFEN PARK,1
ASSAULT 3 & RELATED OFFENSES, HARRIS PARK,1
ASSAULT 3 & RELATED OFFENSES, HINES PARK,2
ASSAULT 3 & RELATED OFFENSES, JEROME PARK,2
ASSAULT 3 & RELATED OFFENSES, JEROME SLOPE,1
ASSAULT 3 & RELATED OFFENSES, JOSEPH RODMAN DRAKE PARK,1
ASSAULT 3 & RELATED OFFENSES, JOYCE KILMER PARK,6
ASSAULT 3 & RELATED OFFENSES, LYONS SQUARE PLAYGROUND,1
