ADMINISTRATIVE CODE, BELT PARKWAY/SHORE PARKWAY,1
ADMINISTRATIVE CODE, CALVERT VAUX PARK,1
ADMINISTRATIVE CODE, CANARSIE PARK,1
ADMINISTRATIVE CODE, CONEY ISLAND BEACH & BOARDWALK,2
ADMINISTRATIVE CODE, GRACE PLAYGROUND,1
ADMINISTRATIVE CODE, JESSE OWENS PLAYGROUND,1
ADMINISTRATIVE CODE, LINDEN PARK,1
ADMINISTRATIVE CODE, LINWOOD PLAYGROUND,1
ADMINISTRATIVE CODE, MARION HOPKINSON PLAYGROUND,1
ADMINISTRATIVE CODE, ORACLE PLAYGROUND,1
ADMINISTRATIVE CODE, PARADE GROUND,1
ADMINISTRATIVE CODE, PARKSIDE PLAYGROUND BROOKLYN,1
ADMINISTRATIVE CODE, PROSPECT PARK,1
ADMINISTRATIVE CODE, RODNEY PLAYGROUND SOUTH,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, AMERSFORT PARK,1
ALCOHOLIC BEVERAGE CONTROL LAW, CONEY ISLAND BEACH & BOARDWALK,6
ARSON, BROOKLYN BOTANIC GARDEN,1
ASSAULT 3 & RELATED OFFENSES, 100% PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, ALBEMARLE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, AMERICAN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, ASSER LEVY PARK,4
ASSAULT 3 & RELATED OFFENSES, BARTLETT PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BATH BEACH PARK,1
ASSAULT 3 & RELATED OFFENSES, BAYVIEW PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, BELT PARKWAY/SHORE PARKWAY,2
ASSAULT 3 & RELATED OFFENSES, BENSONHURST PARK,2
ASSAULT 3 & RELATED OFFENSES, BETSY HEAD PARK,7
ASSAULT 3 & RELATED OFFENSES, BILDERSEE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BRIGHTON PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BROOKLYN BRIDGE PARK,3
ASSAULT 3 & RELATED OFFENSES, BROOKLYN HEIGHTS PROMENADE,1
ASSAULT 3 & RELATED OFFENSES, BROOKLYN MUSEUM,2
ASSAULT 3 & RELATED OFFENSES, BROWER PARK,2
ASSAULT 3 & RELATED OFFENSES, BROWNSVILLE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, CADMAN PLAZA PARK,1
ASSAULT 3 & RELATED OFFENSES, CALLAHAN-KELLY PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, CALVERT VAUX PARK,2
ASSAULT 3 & RELATED OFFENSES, CANARSIE PARK,1
ASSAULT 3 & RELATED OFFENSES, CARROLL PARK,1
ASSAULT 3 & RELATED OFFENSES, CHESTER PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, CONEY ISLAND BEACH & BOARDWALK,36
ASSAULT 3 & RELATED OFFENSES, DEAN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, DI GILIO PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, DR. GREEN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, DYKER BEACH PARK,8
ASSAULT 3 & RELATED OFFENSES, ELTON PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, FISH PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, FLOYD PATTERSON BALLFIELDS,2
ASSAULT 3 & RELATED OFFENSES, FORT GREENE PARK,9
ASSAULT 3 & RELATED OFFENSES, FORT HAMILTON ATHLETIC FIELD,1
ASSAULT 3 & RELATED OFFENSES, FOX PLAYGROUND BROOKLYN,1
ASSAULT 3 & RELATED OFFENSES, FRIENDS FIELD,4
ASSAULT 3 & RELATED OFFENSES, FULTON PARK,2
ASSAULT 3 & RELATED OFFENSES, GARDEN BEAUTIFUL,2
