ADMINISTRATIVE CODE, ABRAHAM LINCOLN PLAYGROUND,1
ADMINISTRATIVE CODE, BATTERY PARK,4
ADMINISTRATIVE CODE, CENTRAL PARK,5
ADMINISTRATIVE CODE, HARLEM RIVER PARK,2
ADMINISTRATIVE CODE, "RANDALLS ISLAND PARK",1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, CENTRAL PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, HIGHBRIDGE PARK MANHATTAN SIDE,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, MORNINGSIDE PARK,2
ASSAULT 3 & RELATED OFFENSES, ALFRED E. SMITH PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, ASPHALT GREEN,2
ASSAULT 3 & RELATED OFFENSES, BATTERY PARK,4
ASSAULT 3 & RELATED OFFENSES, BATTERY PARK CITY,1
ASSAULT 3 & RELATED OFFENSES, BELLEVUE SOUTH PARK,1
ASSAULT 3 & RELATED OFFENSES, BLAKE HOBBS PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BOOKER T. WASHINGTON PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BRYANT PARK,7
ASSAULT 3 & RELATED OFFENSES, CARL SCHURZ PARK,1
ASSAULT 3 & RELATED OFFENSES, CARMANSVILLE PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, CENTRAL PARK,65
ASSAULT 3 & RELATED OFFENSES, CHELSEA PARK,2
ASSAULT 3 & RELATED OFFENSES, CHERRY TREE PARK,2
ASSAULT 3 & RELATED OFFENSES, CITY HALL PARK,1
ASSAULT 3 & RELATED OFFENSES, COL. YOUNG PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, COLUMBUS PARK AT MANHATTAN,3
ASSAULT 3 & RELATED OFFENSES, COOPER TRIANGLE,1
ASSAULT 3 & RELATED OFFENSES, CORLEARS HOOK PARK,1
ASSAULT 3 & RELATED OFFENSES, DE WITT CLINTON PARK,1
ASSAULT 3 & RELATED OFFENSES, DR. GERTRUDE B. KELLY PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, EAST RIVER PARK,2
ASSAULT 3 & RELATED OFFENSES, FREDERICK DOUGLASS PLAYGROUND,4
ASSAULT 3 & RELATED OFFENSES, GORMAN PARK,2
ASSAULT 3 & RELATED OFFENSES, HAMILTON FISH PARK,1
ASSAULT 3 & RELATED OFFENSES, HAPPY WARRIOR PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, HARLEM ART PARK,1
ASSAULT 3 & RELATED OFFENSES, HARLEM RIVER PARK,1
ASSAULT 3 & RELATED OFFENSES, "HELLS KITCHEN PARK",1
ASSAULT 3 & RELATED OFFENSES, HERALD SQUARE,1
ASSAULT 3 & RELATED OFFENSES, HIGHBRIDGE PARK MANHATTAN SIDE,6
ASSAULT 3 & RELATED OFFENSES, HOWARD BENNETT PLAYGROUND,1
