,OFNS_DESC,PARKS_NM,COUNT
0,ADMINISTRATIVE CODE, ABRAHAM LINCOLN PLAYGROUND,1
1,ADMINISTRATIVE CODE, BATTERY PARK,4
2,ADMINISTRATIVE CODE, BELT PARKWAY/SHORE PARKWAY,1
3,ADMINISTRATIVE CODE, CALVERT VAUX PARK,1
4,ADMINISTRATIVE CODE, CANARSIE PARK,1
5,ADMINISTRATIVE CODE, CENTRAL PARK,5
6,ADMINISTRATIVE CODE, CONEY ISLAND BEACH & BOARDWALK,2
7,ADMINISTRATIVE CODE, DUTCH KILLS PLAYGROUND,1
8,ADMINISTRATIVE CODE, FLUSHING MEADOWS CORONA PARK,2
9,ADMINISTRATIVE CODE, GRACE PLAYGROUND,1
10,ADMINISTRATIVE CODE, HARLEM RIVER PARK,2
11,ADMINISTRATIVE CODE, JESSE OWENS PLAYGROUND,1
12,ADMINISTRATIVE CODE, JUNIPER VALLEY PARK,1
13,ADMINISTRATIVE CODE, LINDEN PARK,1
14,ADMINISTRATIVE CODE, LINWOOD PLAYGROUND,1
15,ADMINISTRATIVE CODE, MARION HOPKINSON PLAYGROUND,1
16,ADMINISTRATIVE CODE, ORACLE PLAYGROUND,1
17,ADMINISTRATIVE CODE, P.O. SERRANO PLAYGROUND,1
18,ADMINISTRATIVE CODE, PARADE GROUND,1
19,ADMINISTRATIVE CODE, PARKSIDE PLAYGROUND BROOKLYN,1
20,ADMINISTRATIVE CODE," PHIL ""SCOOTER"" RIZZUTO PARK",1
21,ADMINISTRATIVE CODE, PROSPECT PARK,1
22,ADMINISTRATIVE CODE," ""RANDALLS ISLAND PARK""",1
23,ADMINISTRATIVE CODE, ROCKAWAY BEACH AND BOARDWALK,1
24,ADMINISTRATIVE CODE, RODNEY PLAYGROUND SOUTH,1
25,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, AMERSFORT PARK,1
26,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, CENTRAL PARK,1
27,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, HIGHBRIDGE PARK MANHATTAN SIDE,1
28,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, JOYCE KILMER PARK,1
29,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, MACOMBS DAM PARK,1
30,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, MORNINGSIDE PARK,2
31,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, SPRINGFIELD PARK,1
32,AGRICULTURE & MRKTS LAW-UNCLASSIFIED, WILLIAMSBRIDGE OVAL,1
33,ALCOHOLIC BEVERAGE CONTROL LAW, CONEY ISLAND BEACH & BOARDWALK,6
34,ARSON, BROOKLYN BOTANIC GARDEN,1
35,ARSON, RICHMAN ECHO PARK,1
36,ARSON, VAN CORTLANDT PARK,1
37,ASSAULT 3 & RELATED OFFENSES, 100% PLAYGROUND,1
38,ASSAULT 3 & RELATED OFFENSES, ALBEMARLE PLAYGROUND,1
