ADMINISTRATIVE CODE, ABRAHAM LINCOLN PLAYGROUND,1
ADMINISTRATIVE CODE, BATTERY PARK,4
ADMINISTRATIVE CODE, BELT PARKWAY/SHORE PARKWAY,1
ADMINISTRATIVE CODE, CALVERT VAUX PARK,1
ADMINISTRATIVE CODE, CANARSIE PARK,1
ADMINISTRATIVE CODE, CENTRAL PARK,5
ADMINISTRATIVE CODE, CONEY ISLAND BEACH & BOARDWALK,2
ADMINISTRATIVE CODE, DUTCH KILLS PLAYGROUND,1
ADMINISTRATIVE CODE, FLUSHING MEADOWS CORONA PARK,2
ADMINISTRATIVE CODE, GRACE PLAYGROUND,1
ADMINISTRATIVE CODE, HARLEM RIVER PARK,2
ADMINISTRATIVE CODE, JESSE OWENS PLAYGROUND,1
ADMINISTRATIVE CODE, JUNIPER VALLEY PARK,1
ADMINISTRATIVE CODE, LINDEN PARK,1
ADMINISTRATIVE CODE, LINWOOD PLAYGROUND,1
ADMINISTRATIVE CODE, MARION HOPKINSON PLAYGROUND,1
ADMINISTRATIVE CODE, ORACLE PLAYGROUND,1
ADMINISTRATIVE CODE, P.O. SERRANO PLAYGROUND,1
ADMINISTRATIVE CODE, PARADE GROUND,1
ADMINISTRATIVE CODE, PARKSIDE PLAYGROUND BROOKLYN,1
ADMINISTRATIVE CODE, PHIL "SCOOTER" RIZZUTO PARK,1
ADMINISTRATIVE CODE, PROSPECT PARK,1
ADMINISTRATIVE CODE, "RANDALLS ISLAND PARK",1
ADMINISTRATIVE CODE, ROCKAWAY BEACH AND BOARDWALK,1
ADMINISTRATIVE CODE, RODNEY PLAYGROUND SOUTH,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, AMERSFORT PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, CENTRAL PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, HIGHBRIDGE PARK MANHATTAN SIDE,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, JOYCE KILMER PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, MACOMBS DAM PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, MORNINGSIDE PARK,2
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, SPRINGFIELD PARK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, WILLIAMSBRIDGE OVAL,1
ALCOHOLIC BEVERAGE CONTROL LAW, CONEY ISLAND BEACH & BOARDWALK,6
ARSON, BROOKLYN BOTANIC GARDEN,1
ARSON, RICHMAN ECHO PARK,1
ARSON, VAN CORTLANDT PARK,1
ASSAULT 3 & RELATED OFFENSES, 100% PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, ALBEMARLE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, ALFRED E. SMITH PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, ALLEY POND PARK,1
ASSAULT 3 & RELATED OFFENSES, AMERICAN PLAYGROUND,1
