ADMINISTRATIVE CODE, DUTCH KILLS PLAYGROUND,1
ADMINISTRATIVE CODE, FLUSHING MEADOWS CORONA PARK,2
ADMINISTRATIVE CODE, JUNIPER VALLEY PARK,1
ADMINISTRATIVE CODE, PHIL "SCOOTER" RIZZUTO PARK,1
ADMINISTRATIVE CODE, ROCKAWAY BEACH AND BOARDWALK,1
AGRICULTURE & MRKTS LAW-UNCLASSIFIED, SPRINGFIELD PARK,1
ASSAULT 3 & RELATED OFFENSES, ALLEY POND PARK,1
ASSAULT 3 & RELATED OFFENSES, AMERICAN TRIANGLE,1
ASSAULT 3 & RELATED OFFENSES, ASTORIA HEIGHTS PLAYGROUND,3
ASSAULT 3 & RELATED OFFENSES, ASTORIA PARK,6
ASSAULT 3 & RELATED OFFENSES, BAISLEY POND PARK,5
ASSAULT 3 & RELATED OFFENSES, BAY TERRACE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BEACH 17 PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BEACH CHANNEL PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, BLAND PLAYGROUND,4
ASSAULT 3 & RELATED OFFENSES, BOWNE PARK,5
ASSAULT 3 & RELATED OFFENSES, BOWNE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, CAMBRIA PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, CAPTAIN TILLY PARK,5
ASSAULT 3 & RELATED OFFENSES, CENTREVILLE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, CORONA PLAZA,1
ASSAULT 3 & RELATED OFFENSES, CUNNINGHAM PARK,2
ASSAULT 3 & RELATED OFFENSES, DETECTIVE KEITH L WILLIAMS PARK,2
ASSAULT 3 & RELATED OFFENSES, DITMARS PARK,5
ASSAULT 3 & RELATED OFFENSES, DOUGHBOY PLAZA,1
ASSAULT 3 & RELATED OFFENSES, DUTCH KILLS PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, EAST ELMHURST PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, EHRENREICH-AUSTIN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, ELMHURST PARK,3
ASSAULT 3 & RELATED OFFENSES, EMERALD PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, FLUSHING FIELDS,1
ASSAULT 3 & RELATED OFFENSES, FLUSHING MEADOWS CORONA PARK,45
ASSAULT 3 & RELATED OFFENSES, FOREST PARK,1
ASSAULT 3 & RELATED OFFENSES, FRANCIS LEWIS PARK,1
ASSAULT 3 & RELATED OFFENSES, "FRANK D. OCONNOR PLAYGROUND",1
ASSAULT 3 & RELATED OFFENSES, FRONTERA PARK,1
ASSAULT 3 & RELATED OFFENSES, GROVER CLEVELAND PLAYGROUND,6
ASSAULT 3 & RELATED OFFENSES, HAGGERTY PARK,1
ASSAULT 3 & RELATED OFFENSES, HAROLD SCHNEIDERMAN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, HART PLAYGROUND ON BROADWAY,4
ASSAULT 3 & RELATED OFFENSES, HARVEY PARK,1
ASSAULT 3 & RELATED OFFENSES, HILLSIDE PARK QUEENS,1
ASSAULT 3 & RELATED OFFENSES, HINTON PARK,1
ASSAULT 3 & RELATED OFFENSES, HOFFMAN PARK,5
ASSAULT 3 & RELATED OFFENSES, HORACE HARDING PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, HOYT PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, "HUNTERS POINT SOUTH PARK",3
ASSAULT 3 & RELATED OFFENSES, IDLEWILD PARK,2
ASSAULT 3 & RELATED OFFENSES, JAMAICA PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, JUDGE MOSES WEINSTEIN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, JUNCTION PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, JUNIPER VALLEY PARK,2
ASSAULT 3 & RELATED OFFENSES, KENNEDY PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, KISSENA CORRIDOR PARK,3
ASSAULT 3 & RELATED OFFENSES, KISSENA PARK,1
ASSAULT 3 & RELATED OFFENSES, L/CPL THOMAS P. NOONAN JR. PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, LEFFERTS PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, LOUIS ARMSTRONG PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, MACDONALD PARK,1
ASSAULT 3 & RELATED OFFENSES, MAFERA PARK,3
ASSAULT 3 & RELATED OFFENSES, MAJOR MARK PARK,1
ASSAULT 3 & RELATED OFFENSES, MAPLE PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, MARCONI PARK,1
ASSAULT 3 & RELATED OFFENSES, MARIE CURIE PARK,3
ASSAULT 3 & RELATED OFFENSES, MAURICE A FITZGERALD PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, MIDDLE VILLAGE PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, MOORE HOMESTEAD PLAYGROUND,6
ASSAULT 3 & RELATED OFFENSES, MURRAY PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, NORTHERN PLAYGROUND,6
ASSAULT 3 & RELATED OFFENSES, PARK OF THE AMERICAS,5
ASSAULT 3 & RELATED OFFENSES, PAUL RAIMONDA PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, PETERS FIELD,1
ASSAULT 3 & RELATED OFFENSES, PLAYGROUND NINETY,1
ASSAULT 3 & RELATED OFFENSES, PLAYGROUND THIRTY FIVE XXXV,2
ASSAULT 3 & RELATED OFFENSES, POPPENHUSEN PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, QUEENSBRIDGE PARK,3
ASSAULT 3 & RELATED OFFENSES, REDFERN PLAYGROUND,2
ASSAULT 3 & RELATED OFFENSES, ROCKAWAY BEACH AND BOARDWALK,11
ASSAULT 3 & RELATED OFFENSES, ROCKAWAY COMMUNITY PARK,1
ASSAULT 3 & RELATED OFFENSES, "ROSEMARYS PLAYGROUND",1
ASSAULT 3 & RELATED OFFENSES, ROY WILKINS RECREATION CENTER,4
ASSAULT 3 & RELATED OFFENSES, RUFUS KING PARK,6
ASSAULT 3 & RELATED OFFENSES, SIMEONE PARK,2
ASSAULT 3 & RELATED OFFENSES, SPRINGFIELD PARK,1
ASSAULT 3 & RELATED OFFENSES, "ST. MICHAELS PARK",2
ASSAULT 3 & RELATED OFFENSES, "ST. MICHAELS PLAYGROUND",1
ASSAULT 3 & RELATED OFFENSES, "THE PAINTERS PLAYGROUND",1
ASSAULT 3 & RELATED OFFENSES, THURSBY BASIN PARK,1
ASSAULT 3 & RELATED OFFENSES, TORSNEY PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, TRAVERS PARK,2
ASSAULT 3 & RELATED OFFENSES, VETERNS CIRCLE,1
ASSAULT 3 & RELATED OFFENSES, WAYANDA PARK,1
BURGLARY, FLUSHING MEADOWS CORONA PARK,13
BURGLARY, FOREST PARK,3
BURGLARY, SITTING AREA AT HOYT AVENUE,1
CRIMINAL MISCHIEF & RELATED OF, "UNCLE" VITO E. MARANZANO GLENDALE PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, ALLEY ATHLETIC PLAYGROUND,2
CRIMINAL MISCHIEF & RELATED OF, ALLEY PARK,7
CRIMINAL MISCHIEF & RELATED OF, ALLEY POND PARK,18
CRIMINAL MISCHIEF & RELATED OF, ALMEDA PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, ANNADALE PLAYGROUND,2
CRIMINAL MISCHIEF & RELATED OF, ASTORIA HEIGHTS PLAYGROUND,2
CRIMINAL MISCHIEF & RELATED OF, ASTORIA PARK,5
CRIMINAL MISCHIEF & RELATED OF, BAISLEY POND PARK,2
CRIMINAL MISCHIEF & RELATED OF, BAYSWATER PARK,2
CRIMINAL MISCHIEF & RELATED OF, BEACH 9 PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, BIG BUSH PARK,1
CRIMINAL MISCHIEF & RELATED OF, BOWNE PARK,1
CRIMINAL MISCHIEF & RELATED OF, BROAD CHANNEL AMERICAN PARK,1
CRIMINAL MISCHIEF & RELATED OF, BROOKVILLE PARK,1
CRIMINAL MISCHIEF & RELATED OF, BULOVA PARK,1
CRIMINAL MISCHIEF & RELATED OF, CAPTAIN DERMODY TRIANGLE,1
CRIMINAL MISCHIEF & RELATED OF, CAPTAIN TILLY PARK,1
CRIMINAL MISCHIEF & RELATED OF, CENTREVILLE PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, CLINTONVILLE PLAYGROUND,2
CRIMINAL MISCHIEF & RELATED OF, CORONA GOLF PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, CORONA MAC PARK,1
CRIMINAL MISCHIEF & RELATED OF, CROWLEY PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, CUNNINGHAM PARK,1
CRIMINAL MISCHIEF & RELATED OF, "DANIEL M. OCONNELL PLAYGROUND",1
CRIMINAL MISCHIEF & RELATED OF, DITMARS PARK,1
CRIMINAL MISCHIEF & RELATED OF, DOUGHBOY PLAZA,1
CRIMINAL MISCHIEF & RELATED OF, DUTCH KILLS PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, EAST ELMHURST PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, EHRENREICH-AUSTIN PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, EQUITY PARK,1
CRIMINAL MISCHIEF & RELATED OF, EVERGREEN PARK,2
CRIMINAL MISCHIEF & RELATED OF, FLUSHING FIELDS,1
CRIMINAL MISCHIEF & RELATED OF, FLUSHING MEADOWS CORONA PARK,52
CRIMINAL MISCHIEF & RELATED OF, FOREST PARK,23
CRIMINAL MISCHIEF & RELATED OF, FRANCIS LEWIS PARK,1
CRIMINAL MISCHIEF & RELATED OF, "FRANK D. OCONNOR PLAYGROUND",1
CRIMINAL MISCHIEF & RELATED OF, FRONTERA PARK,1
CRIMINAL MISCHIEF & RELATED OF, GRAND CENTRAL PARKWAY,2
CRIMINAL MISCHIEF & RELATED OF, GROVER CLEVELAND PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, HAROLD SCHNEIDERMAN PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, HARVEY PARK,1
CRIMINAL MISCHIEF & RELATED OF, HOFFMAN PARK,1
CRIMINAL MISCHIEF & RELATED OF, HORACE HARDING PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, IDLEWILD PARK,2
CRIMINAL MISCHIEF & RELATED OF, JOHN VINCENT DANIELS JR. SQUARE,1
CRIMINAL MISCHIEF & RELATED OF, JUNIPER VALLEY PARK,1
CRIMINAL MISCHIEF & RELATED OF, KISSENA CORRIDOR PARK,1
CRIMINAL MISCHIEF & RELATED OF, KISSENA PARK,3
CRIMINAL MISCHIEF & RELATED OF, L/CPL THOMAS P. NOONAN JR. PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, LAWRENCE VIRGILIO PLAYGROUND,2
CRIMINAL MISCHIEF & RELATED OF, LITTLE BAY PARK,1
CRIMINAL MISCHIEF & RELATED OF, LONDON PLANETREE PLAYGROUND,4
CRIMINAL MISCHIEF & RELATED OF, LOUIS PASTEUR PARK,1
CRIMINAL MISCHIEF & RELATED OF, MACNEIL PARK,1
CRIMINAL MISCHIEF & RELATED OF, MAFERA PARK,1
CRIMINAL MISCHIEF & RELATED OF, MAPLE PLAYGROUND,4
CRIMINAL MISCHIEF & RELATED OF, MARIE CURIE PARK,1
CRIMINAL MISCHIEF & RELATED OF, MIDDLE VILLAGE PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, MOORE HOMESTEAD PLAYGROUND,4
CRIMINAL MISCHIEF & RELATED OF, MURRAY PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, NAUTILUS PLAYGROUND QUEENS,1
CRIMINAL MISCHIEF & RELATED OF, OAKLAND GARDENS,1
CRIMINAL MISCHIEF & RELATED OF, PLAYGROUND TWENTY ONE,2
CRIMINAL MISCHIEF & RELATED OF, REAL GOOD PARK,1
CRIMINAL MISCHIEF & RELATED OF, REIFF PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, ROCKAWAY BEACH AND BOARDWALK,5
CRIMINAL MISCHIEF & RELATED OF, ROCKAWAY COMMUNITY PARK,1
CRIMINAL MISCHIEF & RELATED OF, "ROSEMARYS PLAYGROUND",2
CRIMINAL MISCHIEF & RELATED OF, ROY WILKINS RECREATION CENTER,1
CRIMINAL MISCHIEF & RELATED OF, RUFUS KING PARK,1
CRIMINAL MISCHIEF & RELATED OF, "ST. MICHAELS PARK",1
CRIMINAL MISCHIEF & RELATED OF, TRAVERS PARK,1
CRIMINAL MISCHIEF & RELATED OF, TWO COVES COMMUNITY GARDEN,1
CRIMINAL MISCHIEF & RELATED OF, VAN ALST PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, YELLOWSTONE PARK,1
CRIMINAL TRESPASS, COLLEGE POINT PARK,1
