ASSAULT 3 & RELATED OFFENSES, BLOOMINGDALE PARK,1
ASSAULT 3 & RELATED OFFENSES, CLOVE LAKES PARK,3
ASSAULT 3 & RELATED OFFENSES, CPL. THOMPSON PARK,3
ASSAULT 3 & RELATED OFFENSES, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,1
ASSAULT 3 & RELATED OFFENSES, GREAT KILLS PARK,1
ASSAULT 3 & RELATED OFFENSES, LOPEZ PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, MANOR PARK,1
ASSAULT 3 & RELATED OFFENSES, MIDLAND PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, TOAD HALL PLAYGROUND,1
ASSAULT 3 & RELATED OFFENSES, TOMPKINSVILLE PARK,2
ASSAULT 3 & RELATED OFFENSES, "WOLFES POND PARK",1
BURGLARY, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,2
BURGLARY, OCEAN BREEZE PARK,1
CRIMINAL MISCHIEF & RELATED OF, ALICE AUSTEN PARK,1
CRIMINAL MISCHIEF & RELATED OF, ARROCHAR PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, BLUE HERON PARK,1
CRIMINAL MISCHIEF & RELATED OF, CLOVE LAKES PARK,1
CRIMINAL MISCHIEF & RELATED OF, DONGAN PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, DUGAN PLAYGROUND,2
CRIMINAL MISCHIEF & RELATED OF, FABER POOL AND PARK,1
CRIMINAL MISCHIEF & RELATED OF, GEN. DOUGLAS MACARTHUR PARK,1
CRIMINAL MISCHIEF & RELATED OF, GREAT KILLS PARK,1
CRIMINAL MISCHIEF & RELATED OF, GREENCROFT PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, LT. LIA PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, MIDLAND FIELD,1
CRIMINAL MISCHIEF & RELATED OF, OLD TOWN PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, SILVER LAKE PARK,1
CRIMINAL MISCHIEF & RELATED OF, STAPLETON PLAYGROUND,1
CRIMINAL MISCHIEF & RELATED OF, TAPPEN PARK,1
CRIMINAL MISCHIEF & RELATED OF, TOMPKINSVILLE PARK,1
CRIMINAL MISCHIEF & RELATED OF, "WOLFES POND PARK",1
DANGEROUS DRUGS, CLOVE LAKES PARK,1
DANGEROUS DRUGS, CONFERENCE HOUSE PARK,1
DANGEROUS DRUGS, CPL. THOMPSON PARK,5
DANGEROUS DRUGS, DE MATTI PLAYGROUND,2
DANGEROUS DRUGS, LEVY PLAYGROUND,1
DANGEROUS DRUGS, LOPEZ PLAYGROUND,1
DANGEROUS DRUGS, LT. LIA PLAYGROUND,1
DANGEROUS DRUGS, MARINERS HARBOR PLAYGROUND,1
DANGEROUS DRUGS, SEASIDE WILDLIFE NATURE PARK,1
DANGEROUS DRUGS, SKYLINE PLAYGROUND,1
DANGEROUS DRUGS, TAPPEN PARK,2
DANGEROUS DRUGS, TOMPKINSVILLE PARK,6
DANGEROUS DRUGS, VETERANS PARK STATEN ISLAND,1
DANGEROUS DRUGS, WILLOWBROOK PARK,1
DANGEROUS WEAPONS, CPL. THOMPSON PARK,1
DANGEROUS WEAPONS, GREAT KILLS PARK,1
DANGEROUS WEAPONS, MARKHAM PLAYGROUND,1
DANGEROUS WEAPONS, STAPLETON PLAYGROUND,1
DANGEROUS WEAPONS, TAPPEN PARK,2
DANGEROUS WEAPONS, TOMPKINSVILLE PARK,1
DANGEROUS WEAPONS, VETERANS PARK STATEN ISLAND,1
FELONY ASSAULT, NORTHERLEIGH PARK,1
FELONY ASSAULT, TAPPEN PARK,1
FELONY ASSAULT, VON BRIESEN PARK,1
FRAUDS, TOMPKINSVILLE PARK,1
FRAUDS, VETERANS PARK STATEN ISLAND,1
GRAND LARCENY, CLOVE LAKES PARK,1
GRAND LARCENY, CPL. THOMPSON PARK,2
GRAND LARCENY, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,2
GRAND LARCENY, GREAT KILLS PARK,1
GRAND LARCENY, LYONS POOL,1
GRAND LARCENY, SOUTH BEACH WETLANDS,1
HARRASSMENT 2, DONGAN PLAYGROUND,1
HARRASSMENT 2, DUGAN PLAYGROUND,1
HARRASSMENT 2, FABER POOL AND PARK,2
HARRASSMENT 2, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,2
HARRASSMENT 2, HIGH ROCK PARK,1
HARRASSMENT 2, LATOURETTE PARK & GOLF COURSE,1
HARRASSMENT 2, LIEUTENANT JOHN H. MARTINSON PLAYGROUND,1
HARRASSMENT 2, LOPEZ PLAYGROUND,1
HARRASSMENT 2, SEASIDE WILDLIFE NATURE PARK,1
HARRASSMENT 2, SILVER LAKE PARK,1
HARRASSMENT 2, SOBEL COURT PARK,1
HARRASSMENT 2, TOMPKINSVILLE PARK,1
HARRASSMENT 2, "WOLFES POND PARK",1
INTOXICATED & IMPAIRED DRIVING, CONFERENCE HOUSE PARK,3
MISCELLANEOUS PENAL LAW, BLOOMINGDALE PARK,1
MISCELLANEOUS PENAL LAW, CONFERENCE HOUSE PARK,1
MISCELLANEOUS PENAL LAW, FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,1
MISCELLANEOUS PENAL LAW, LONG POND PARK,1
MISCELLANEOUS PENAL LAW, MARINERS HARBOR PLAYGROUND,1
