101, ASSAULT 3,93994
104, VEHICULAR ASSAULT INTOX DRIVE,70
105, STRANGULATION 1ST,2049
106, ASSAULT 2 1 PEACE OFFICER,4540
107, END WELFARE VULNERABLE ELDERLY PERSON,6
109, ASSAULT 2 1 UNCLASSIFIED,29411
110, MENACING 1ST DEGREE VICT PEAC,160
111, MENACING PEACE OFFICER,195
112, MENACING 1ST DEGREE VICT NOT,146
113, MENACING UNCLASSIFIED,11477
114, OBSTR BREATH/CIRCUL,1957
115, RECKLESS ENDANGERMENT 2,2550
117, RECKLESS ENDANGERMENT 1,2827
121, HOMICIDE NEGLIGENT VEHICLE,1
122, HOMICIDE  NEGLIGENT  VEHICLE ,12
125, HOMICIDE NEGLIGENT UNCLASSIFIE,5
168, SODOMY 1,1
175, SEXUAL ABUSE 3 2,5
181, IMPRISONMENT 2 UNLAWFUL,395
183, IMPRISONMENT 1 UNLAWFUL,200
184, LABOR TRAFFICKING,2
185, KIDNAPPING 2,58
187, KIDNAPPING 1,33
191, CUSTODIAL INTERFERENCE 2,194
193, CUSTODIAL INTERFERENCE 1,129
195, COERCION 2,26
197, COERCION 1,207
198, CRIMINAL CONTEMPT 1,7578
199, AGGRAVATED CRIMINAL CONTEMPT,218
201, TRESPASS 4 CRIMINAL SUB 2,441
203, TRESPASS 3  CRIMINAL,1547
204, TRESPASS 1 CRIMINAL,759
205, TRESPASS 2  CRIMINAL,22348
209, BURGLARS TOOLS UNCLASSIFIED,975
211, BURGLARY COMMERCIAL DAY,5269
213, BURGLARY COMMERCIAL NIGHT,8005
214, BURGLARY COMMERCIAL UNKNOWN TI,1776
221, BURGLARY RESIDENCE DAY,10697
223, BURGLARY RESIDENCE NIGHT,5833
224, BURGLARY RESIDENCE UNKNOWN TIM,2288
231, BURGLARY TRUCK DAY,1734
233, BURGLARY TRUCK NIGHT,421
234, BURGLARY UNKNOWN TIME,83
241, BURGLARY UNCLASSIFIED DAY,319
243, BURGLARY UNCLASSIFIED NIGHT,461
244, BURGLARY UNCLASSIFIED UNKNOWN,237
254, MISCHIEF  CRIMINAL 4  OF MOTOR,31449
256, MISCHIEF  CRIMINAL 4  BY FIRE,1303
258, CRIMINAL MISCHIEF 4TH  GRAFFIT,22424
259, CRIMINAL MISCHIEF UNCLASSIFIED 4,28129
261, ARSON 1,23
263, ARSON 2 3 4,1824
264, ARSON  MOTOR VEHICLE 1 2 3 & 4,330
265, MISCHIEF 1 CRIMINAL EXPLOSIVE,6
266, MISCHIEF  CRIMINAL 3&2  BY FIR,87
267, MISCHIEF  CRIMINAL 3 & 2  OF M,4886
268, CRIMINAL MIS 2 & 3,686
269, MISCHIEF CRIMINAL     UNCL 2ND,6773
271, TAMPERING 3 2  CRIMINAL,379
273, TAMPERING 1 CRIMINAL,1732
275, POSTING ADVERTISEMENTS,11
277, RECKLESS ENDANGERMENT OF PROPE,211
281, SOLICITATION 5 CRIMINAL,6
283, SOLICITATION 4  CRIMINAL,8
285, SOLICITATION 3 2 1  CRIMINAL,10
289, CONSPIRACY 6  5,9
291, CONSPIRACY 4  3,12
293, CONSPIRACY 2  1,19
