101, ASSAULT 3,472361
104, VEHICULAR ASSAULT INTOX DRIVE,213
105, STRANGULATION 1ST,14368
106, ASSAULT 2 1 PEACE OFFICER,19553
107, END WELFARE VULNERABLE ELDERLY PERSON,53
109, ASSAULT 2 1 UNCLASSIFIED,167073
110, MENACING 1ST DEGREE VICT PEAC,855
111, MENACING PEACE OFFICER,873
112, MENACING 1ST DEGREE VICT NOT,771
113, MENACING UNCLASSIFIED,76269
114, OBSTR BREATH/CIRCUL,15032
115, RECKLESS ENDANGERMENT 2,10190
117, RECKLESS ENDANGERMENT 1,18995
119, PROMOTING SUICIDE ATTEMPT,3
121, HOMICIDE NEGLIGENT VEHICLE,14
122, HOMICIDE  NEGLIGENT  VEHICLE ,70
125, HOMICIDE NEGLIGENT UNCLASSIFIE,33
143, ABORTION 1,4
146, ABORTION 2  1  SELF,1
164, SODOMY 3,1
168, SODOMY 1,17
170, SEXUAL MISCONDUCT INTERCOURSE,1
174, SEXUAL MISCONDUCT DEVIATE,4
175, SEXUAL ABUSE 3 2,43
177, SEXUAL ABUSE,1
179, AGGRAVATED SEXUAL ASBUSE,9
181, IMPRISONMENT 2 UNLAWFUL,1724
183, IMPRISONMENT 1 UNLAWFUL,1030
184, LABOR TRAFFICKING,2
185, KIDNAPPING 2,325
186, LURING A CHILD,9
187, KIDNAPPING 1,180
191, CUSTODIAL INTERFERENCE 2,1048
193, CUSTODIAL INTERFERENCE 1,848
195, COERCION 2,94
197, COERCION 1,1377
198, CRIMINAL CONTEMPT 1,61245
199, AGGRAVATED CRIMINAL CONTEMPT,1400
201, TRESPASS 4 CRIMINAL SUB 2,1864
203, TRESPASS 3  CRIMINAL,6087
204, TRESPASS 1 CRIMINAL,2541
205, TRESPASS 2  CRIMINAL,62740
209, BURGLARS TOOLS UNCLASSIFIED,2684
211, BURGLARY COMMERCIAL DAY,13045
213, BURGLARY COMMERCIAL NIGHT,25290
214, BURGLARY COMMERCIAL UNKNOWN TI,4619
221, BURGLARY RESIDENCE DAY,85740
223, BURGLARY RESIDENCE NIGHT,43495
224, BURGLARY RESIDENCE UNKNOWN TIM,15097
231, BURGLARY TRUCK DAY,5317
233, BURGLARY TRUCK NIGHT,2816
234, BURGLARY UNKNOWN TIME,667
241, BURGLARY UNCLASSIFIED DAY,1505
243, BURGLARY UNCLASSIFIED NIGHT,2639
244, BURGLARY UNCLASSIFIED UNKNOWN,1414
248, RADIO DEVICES UNLAWFUL POSSESS,14
254, MISCHIEF  CRIMINAL 4  OF MOTOR,198169
256, MISCHIEF  CRIMINAL 4  BY FIRE,6791
258, CRIMINAL MISCHIEF 4TH  GRAFFIT,96928
259, CRIMINAL MISCHIEF UNCLASSIFIED 4,157486
261, ARSON 1,171
263, ARSON 2 3 4,9618
264, ARSON  MOTOR VEHICLE 1 2 3 & 4,4673
265, MISCHIEF 1 CRIMINAL EXPLOSIVE,34
266, MISCHIEF  CRIMINAL 3&2  BY FIR,459
267, MISCHIEF  CRIMINAL 3 & 2  OF M,37686
268, CRIMINAL MIS 2 & 3,3916
269, MISCHIEF CRIMINAL     UNCL 2ND,34449
271, TAMPERING 3 2  CRIMINAL,886
273, TAMPERING 1 CRIMINAL,3934
275, POSTING ADVERTISEMENTS,20
277, RECKLESS ENDANGERMENT OF PROPE,1483
281, SOLICITATION 5 CRIMINAL,15
283, SOLICITATION 4  CRIMINAL,20
285, SOLICITATION 3 2 1  CRIMINAL,21
289, CONSPIRACY 6  5,27
291, CONSPIRACY 4  3,40
293, CONSPIRACY 2  1,104
297, FACILITATION 4  CRIMINAL,49
299, FACILITATION 3 2 1  CRIMINAL,15
301, LARCENY PETIT BY ACQUIRING LOS,8556
303, LARCENY PETIT BY CHECK USE,5482
305, LARCENY PETIT BY CREDIT CARD U,6869
307, LARCENY PETIT BY DISHONEST EMP,5392
313, LARCENY PETIT BY FALSE PROMISE,7836
321, LARCENY PETIT FROM AUTO,184877
323, LARCENY PETIT FROM BOAT,131
327, LARCENY PETIT FROM PARKING MET,68
329, LARCENY PETIT FROM COIN MACHIN,286
331, LARCENY PETIT FROM PIER,93
333, LARCENY PETIT FROM STORE-SHOPL,237312
335, LARCENY PETIT FROM TRUCK,2293
338, LARCENY PETIT FROM BUILDING UN,235732
339, LARCENY PETIT FROM OPEN AREAS ,80721
341, LARCENY PETIT OF AUTO,462
342, LARCENY  PETIT OF AUTO - ATTEM,16
343, LARCENY PETIT OF BICYCLE,30010
344, PETIT LARCENY OF ANIMAL,103
345, LARCENY PETIT OF BOAT,22
347, PETIT LARCENY-CHECK FROM MAILB,1400
349, LARCENY PETIT OF LICENSE PLATE,38723
350, LARCENY  PETIT OF MOPED,233
351, LARCENY PETIT OF MOTORCYCLE,194
355, LARCENY PETIT OF TRUCK,4
357, LARCENY PETIT OF VEHICLE ACCES,34540
360, ROBBERY ATM LOCATION,466
361, ROBBERY BANK,3249
363, ROBBERY BAR/RESTAURANT,389
365, ROBBERY LIQUOR STORE,204
366, ROBBERY BICYCLE,1558
367, ROBBERY  CHAIN STORE,3040
371, ROBBERY CHECK CASHING BUSINESS,240
373, ROBBERY DOCTOR/DENTIST OFFICE,60
375, ROBBERY PHARMACY,1015
377, ROBBERY BODEGA/CONVENIENCE STORE,2438
379, ROBBERY GAS STATION,833
380, ROBBERY CAR JACKING,1823
381, ROBBERY HIJACKING,30
382, ROBBERY NECKCHAIN/JEWELRY,5415
383, ROBBERY DELIVERY PERSON,253
384, ROBBERY POCKETBOOK/CARRIED BAG,8976
385, ROBBERY  PAYROLL,192
386, ROBBERY PERSONAL ELECTRONIC DEVICE,25522
387, ROBBERY CLOTHING,153
388, ROBBERY RESIDENTIAL COMMON AREA,18196
389, ROBBERY DWELLING,7225
390, ROBBERY HOME INVASION,3195
391, ROBBERY LICENSED MEDALLION CAB,1595
392, ROBBERY UNLICENSED FOR HIRE VEHICLE,1746
393, ROBBERY OF TRUCK DRIVER,186
394, ROBBERY LICENSED FOR HIRE VEHICLE,238
395, ROBBERY ON BUS/ OR BUS DRIVER,585
396, ROBBERY BEGIN AS SHOPLIFTING,678
397, ROBBERY OPEN AREA UNCLASSIFIED,99975
398, ROBBERY PUBLIC PLACE INSIDE,6811
399, ROBBERY COMMERCIAL UNCLASSIFIED,12027
401, LARCENY GRAND BY ACQUIRING LOS,7854
402, LARCENY GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT,3719
403, LARCENY GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK,16028
404, LARCENY GRAND FROM PERSON PERSONAL ELECTRONIC DEVICESNATCH,7005
405, LARCENY GRAND BY THEFT OF CREDIT CARD,42838
406, LARCENY GRAND FROM PERSON  BAG OPEN/DIP,5105
407, LARCENY GRAND BY DISHONEST EMP,7155
408, LARCENY GRAND FROM PERSON LUSH WORKERSLEEPING/UNCON VICTIM,2090
409, LARCENY GRAND BY EXTORTION,2573
410, LARCENY GRAND FROM RETAIL STORE  UNATTENDED,4137
411, LARCENY GRAND FROM EATERY  UNATTENDED,4211
412, LARCENY GRAND FROM RESIDENCE  UNATTENDED,9177
413, LARCENY GRAND BY FALSE PROMISE,3192
414, LARCENY GRAND PERSON NECK CHAI,3176
415, LARCENY GRAND FROM PERSON PICK,14405
416, LARCENY GRAND FROM NIGHT CLUB  UNATTENDED,3360
417, LARCENY GRAND FROM PERSON PURS,8844
418, LARCENY GRAND BY ACQUIRING LOST CREDIT CARD,3373
419, LARCENY GRAND FROM PERSON UNCL,48231
420, LARCENY GRAND BY OPEN/COMPROMISE CELL PHONE ACCT,4041
421, LARCENY GRAND FROM VEHICLE/MOTORCYCLE,51817
422, LARCENY GRAND BY OPEN CREDIT CARD NEW ACCT,5622
423, LARCENY GRAND FROM BOAT  UNATTENDED,106
424, LARCENY GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT,6074
425, LARCENY GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION,4782
426, LARCENY GRAND BY BANK ACCT COMPROMISE-TELLER,678
427, LARCENY GRAND FROM PARKING MET,4
