101, ASSAULT 3,95110
104, VEHICULAR ASSAULT INTOX DRIVE,45
105, STRANGULATION 1ST,3410
106, ASSAULT 2 1 PEACE OFFICER,2984
107, END WELFARE VULNERABLE ELDERLY PERSON,16
109, ASSAULT 2 1 UNCLASSIFIED,31701
110, MENACING 1ST DEGREE VICT PEAC,141
111, MENACING PEACE OFFICER,122
112, MENACING 1ST DEGREE VICT NOT,128
113, MENACING UNCLASSIFIED,14805
114, OBSTR BREATH/CIRCUL,2821
115, RECKLESS ENDANGERMENT 2,1626
117, RECKLESS ENDANGERMENT 1,3854
119, PROMOTING SUICIDE ATTEMPT,2
121, HOMICIDE NEGLIGENT VEHICLE,1
122, HOMICIDE  NEGLIGENT  VEHICLE ,22
125, HOMICIDE NEGLIGENT UNCLASSIFIE,5
143, ABORTION 1,3
146, ABORTION 2  1  SELF,1
181, IMPRISONMENT 2 UNLAWFUL,318
183, IMPRISONMENT 1 UNLAWFUL,188
185, KIDNAPPING 2,74
186, LURING A CHILD,4
187, KIDNAPPING 1,44
191, CUSTODIAL INTERFERENCE 2,174
193, CUSTODIAL INTERFERENCE 1,137
195, COERCION 2,36
197, COERCION 1,286
198, CRIMINAL CONTEMPT 1,17246
199, AGGRAVATED CRIMINAL CONTEMPT,536
201, TRESPASS 4 CRIMINAL SUB 2,514
203, TRESPASS 3  CRIMINAL,1669
204, TRESPASS 1 CRIMINAL,424
205, TRESPASS 2  CRIMINAL,7089
209, BURGLARS TOOLS UNCLASSIFIED,569
211, BURGLARY COMMERCIAL DAY,1646
213, BURGLARY COMMERCIAL NIGHT,5304
214, BURGLARY COMMERCIAL UNKNOWN TI,921
221, BURGLARY RESIDENCE DAY,24527
223, BURGLARY RESIDENCE NIGHT,11950
224, BURGLARY RESIDENCE UNKNOWN TIM,4409
231, BURGLARY TRUCK DAY,752
233, BURGLARY TRUCK NIGHT,741
234, BURGLARY UNKNOWN TIME,167
241, BURGLARY UNCLASSIFIED DAY,391
243, BURGLARY UNCLASSIFIED NIGHT,784
244, BURGLARY UNCLASSIFIED UNKNOWN,432
248, RADIO DEVICES UNLAWFUL POSSESS,4
254, MISCHIEF  CRIMINAL 4  OF MOTOR,46485
256, MISCHIEF  CRIMINAL 4  BY FIRE,1196
258, CRIMINAL MISCHIEF 4TH  GRAFFIT,23410
259, CRIMINAL MISCHIEF UNCLASSIFIED 4,30366
261, ARSON 1,53
263, ARSON 2 3 4,1142
264, ARSON  MOTOR VEHICLE 1 2 3 & 4,1261
265, MISCHIEF 1 CRIMINAL EXPLOSIVE,13
266, MISCHIEF  CRIMINAL 3&2  BY FIR,105
267, MISCHIEF  CRIMINAL 3 & 2  OF M,12347
268, CRIMINAL MIS 2 & 3,1638
269, MISCHIEF CRIMINAL     UNCL 2ND,9356
271, TAMPERING 3 2  CRIMINAL,97
273, TAMPERING 1 CRIMINAL,225
275, POSTING ADVERTISEMENTS,7
277, RECKLESS ENDANGERMENT OF PROPE,231
