102, HOMICIDE-NEGLIGENT-VEHICLE,3
103, HOMICIDE-NEGLIGENT UNCLASSIFIE,2
105, ROBBERY,8499
106, FELONY ASSAULT,8988
107, BURGLARY,5418
109, GRAND LARCENY,9723
110, GRAND LARCENY OF MOTOR VEHICLE,3561
111, POSSESSION OF STOLEN PROPERTY,498
112, THEFT-FRAUD,1368
113, FORGERY,1987
114, ARSON,690
115, PROSTITUTION & RELATED OFFENSES,3
117, DANGEROUS DRUGS,2002
118, DANGEROUS WEAPONS,2910
119, INTOXICATED/IMPAIRED DRIVING,1
120, CHILD ABANDONMENT/NON SUPPORT,15
120, ENDAN WELFARE INCOMP,3
121, CRIMINAL MISCHIEF & RELATED OF,2809
122, GAMBLING,1
124, KIDNAPPING & RELATED OFFENSES,140
125, NYS LAWS-UNCLASSIFIED FELONY,339
126, MISCELLANEOUS PENAL LAW,6626
230, JOSTLING,8
231, "BURGLARS TOOLS",43
232, POSSESSION OF STOLEN PROPERTY,621
234, PROSTITUTION & RELATED OFFENSES,3
235, DANGEROUS DRUGS,18988
236, DANGEROUS WEAPONS,2550
237, ESCAPE 3,8
238, FRAUDULENT ACCOSTING,12
340, FRAUDS,1430
341, PETIT LARCENY,19536
342, PETIT LARCENY OF MOTOR VEHICLE,26
343, OTHER OFFENSES RELATED TO THEF,282
343, THEFT OF SERVICES,11
344, ASSAULT 3 & RELATED OFFENSES,23401
345, ENDAN WELFARE INCOMP,8
345, OFFENSES RELATED TO CHILDREN,5
346, ALCOHOLIC BEVERAGE CONTROL LAW,26
347, INTOXICATED & IMPAIRED DRIVING,2002
348, VEHICLE AND TRAFFIC LAWS,1812
350, GAMBLING,45
351, CRIMINAL MISCHIEF & RELATED OF,13662
352, CRIMINAL TRESPASS,1200
353, UNAUTHORIZED USE OF A VEHICLE,392
354, ANTICIPATORY OFFENSES,1
355, OFFENSES AGAINST THE PERSON,485
356, PROSTITUTION & RELATED OFFENSES,35
358, OFFENSES INVOLVING FRAUD,184
359, OFFENSES AGAINST PUBLIC ADMINI,3363
360, LOITERING FOR DRUG PURPOSES,1
361, OFF. AGNST PUB ORD SENSBLTY &,9236
363, OFFENSES AGAINST PUBLIC SAFETY,20
364, AGRICULTURE & MRKTS LAW-UNCLASSIFIED,13
364, OTHER STATE LAWS NON PENAL LA,57
364, OTHER STATE LAWS NON PENAL LAW,1
365, ADMINISTRATIVE CODE,599
366, NEW YORK CITY HEALTH CODE,4
455, UNLAWFUL POSS. WEAP. ON SCHOOL,2
571, LOITERING/GAMBLING CARDS  DIC,8
572, DISORDERLY CONDUCT,41
578, HARRASSMENT 2,18688
672, LOITERING,1
675, ADMINISTRATIVE CODE,37
676, NEW YORK CITY HEALTH CODE,2
677, OTHER STATE LAWS,5
678, MISCELLANEOUS PENAL LAW,459
