,YEAR,OFNS_DESC,COUNT
116,2008,DANGEROUS DRUGS,15435
64,2007,DANGEROUS DRUGS,15354
166,2009,DANGEROUS DRUGS,15211
22,2006,HARRASSMENT 2,15088
554,2016,PETIT LARCENY,14906
503,2015,PETIT LARCENY,14786
535,2016,HARRASSMENT 2,14553
217,2010,DANGEROUS DRUGS,14528
453,2014,PETIT LARCENY,14374
76,2007,HARRASSMENT 2,14231
269,2011,DANGEROUS DRUGS,13961
517,2016,ASSAULT 3 & RELATED OFFENSES,13506
400,2013,PETIT LARCENY,13496
415,2014,ASSAULT 3 & RELATED OFFENSES,13325
351,2012,PETIT LARCENY,13319
312,2012,ASSAULT 3 & RELATED OFFENSES,13291
11,2006,DANGEROUS DRUGS,13252
487,2015,HARRASSMENT 2,13240
468,2015,ASSAULT 3 & RELATED OFFENSES,13239
44,2006,PETIT LARCENY,13186
366,2013,ASSAULT 3 & RELATED OFFENSES,13075
146,2008,PETIT LARCENY,12962
96,2007,PETIT LARCENY,12848
298,2011,PETIT LARCENY,12682
434,2014,HARRASSMENT 2,12679
128,2008,HARRASSMENT 2,12619
211,2010,ASSAULT 3 & RELATED OFFENSES,12612
318,2012,DANGEROUS DRUGS,12378
197,2009,PETIT LARCENY,12295
178,2009,HARRASSMENT 2,12262
249,2010,PETIT LARCENY,12257
263,2011,ASSAULT 3 & RELATED OFFENSES,12256
384,2013,HARRASSMENT 2,12128
229,2010,HARRASSMENT 2,12027
332,2012,HARRASSMENT 2,11843
160,2009,ASSAULT 3 & RELATED OFFENSES,11725
110,2008,ASSAULT 3 & RELATED OFFENSES,11531
58,2007,ASSAULT 3 & RELATED OFFENSES,11525
5,2006,ASSAULT 3 & RELATED OFFENSES,11463
281,2011,HARRASSMENT 2,11399
62,2007,CRIMINAL MISCHIEF & RELATED OF,11027
164,2009,CRIMINAL MISCHIEF & RELATED OF,10884
114,2008,CRIMINAL MISCHIEF & RELATED OF,10830
521,2016,CRIMINAL MISCHIEF & RELATED OF,10562
9,2006,CRIMINAL MISCHIEF & RELATED OF,10433
421,2014,DANGEROUS DRUGS,10366
372,2013,DANGEROUS DRUGS,10194
472,2015,CRIMINAL MISCHIEF & RELATED OF,10150
215,2010,CRIMINAL MISCHIEF & RELATED OF,10119
419,2014,CRIMINAL MISCHIEF & RELATED OF,9860
267,2011,CRIMINAL MISCHIEF & RELATED OF,9529
316,2012,CRIMINAL MISCHIEF & RELATED OF,9339
474,2015,DANGEROUS DRUGS,9086
370,2013,CRIMINAL MISCHIEF & RELATED OF,8689
523,2016,DANGEROUS DRUGS,7744
35,2006,OFF. AGNST PUB ORD SENSBLTY &,7189
87,2007,OFF. AGNST PUB ORD SENSBLTY &,7069
240,2010,OFF. AGNST PUB ORD SENSBLTY &,6740
189,2009,OFF. AGNST PUB ORD SENSBLTY &,6731
137,2008,OFF. AGNST PUB ORD SENSBLTY &,6693
485,2015,GRAND LARCENY,6327
289,2011,OFF. AGNST PUB ORD SENSBLTY &,6257
533,2016,GRAND LARCENY,6210
528,2016,FELONY ASSAULT,5915
382,2013,GRAND LARCENY,5819
341,2012,OFF. AGNST PUB ORD SENSBLTY &,5792
432,2014,GRAND LARCENY,5785
391,2013,OFF. AGNST PUB ORD SENSBLTY &,5776
480,2015,FELONY ASSAULT,5759
377,2013,FELONY ASSAULT,5427
427,2014,FELONY ASSAULT,5407
330,2012,GRAND LARCENY,5384
545,2016,OFF. AGNST PUB ORD SENSBLTY &,5098
74,2007,GRAND LARCENY,5065
126,2008,GRAND LARCENY,5028
20,2006,GRAND LARCENY,4966
324,2012,FELONY ASSAULT,4817
279,2011,GRAND LARCENY,4759
495,2015,OFF. AGNST PUB ORD SENSBLTY &,4685
150,2008,ROBBERY,4682
48,2006,ROBBERY,4647
355,2012,ROBBERY,4589
176,2009,GRAND LARCENY,4584
227,2010,GRAND LARCENY,4488
253,2010,ROBBERY,4480
302,2011,ROBBERY,4439
222,2010,FELONY ASSAULT,4396
274,2011,FELONY ASSAULT,4380
100,2007,ROBBERY,4378
507,2015,ROBBERY,4350
558,2016,ROBBERY,4286
404,2013,ROBBERY,4285
171,2009,FELONY ASSAULT,4262
444,2014,OFF. AGNST PUB ORD SENSBLTY &,4245
69,2007,FELONY ASSAULT,4227
15,2006,FELONY ASSAULT,4207
121,2008,FELONY ASSAULT,4023
201,2009,ROBBERY,3965
457,2014,ROBBERY,3859
7,2006,BURGLARY,3820
60,2007,BURGLARY,3797
162,2009,BURGLARY,3588
265,2011,BURGLARY,3526
112,2008,BURGLARY,3523
213,2010,BURGLARY,3310
314,2012,BURGLARY,3103
368,2013,BURGLARY,2927
417,2014,BURGLARY,2825
470,2015,BURGLARY,2683
519,2016,BURGLARY,2571
