,YEAR,OFNS_DESC,COUNT
459,2014,PETIT LARCENY,23378
352,2012,PETIT LARCENY,23208
299,2011,PETIT LARCENY,23059
405,2013,PETIT LARCENY,23026
516,2015,PETIT LARCENY,22684
141,2008,PETIT LARCENY,22532
245,2010,PETIT LARCENY,22425
571,2016,PETIT LARCENY,22386
191,2009,PETIT LARCENY,21929
42,2006,PETIT LARCENY,21592
90,2007,PETIT LARCENY,20955
22,2006,HARRASSMENT 2,20183
549,2016,HARRASSMENT 2,19775
492,2015,HARRASSMENT 2,19574
438,2014,HARRASSMENT 2,19270
72,2007,HARRASSMENT 2,18419
121,2008,HARRASSMENT 2,17782
332,2012,HARRASSMENT 2,17647
385,2013,HARRASSMENT 2,17548
107,2008,CRIMINAL MISCHIEF & RELATED OF,17487
314,2012,ASSAULT 3 & RELATED OFFENSES,17377
173,2009,HARRASSMENT 2,17011
4,2006,ASSAULT 3 & RELATED OFFENSES,16998
225,2010,HARRASSMENT 2,16971
206,2010,ASSAULT 3 & RELATED OFFENSES,16896
366,2013,ASSAULT 3 & RELATED OFFENSES,16762
419,2014,ASSAULT 3 & RELATED OFFENSES,16730
55,2007,ASSAULT 3 & RELATED OFFENSES,16499
59,2007,CRIMINAL MISCHIEF & RELATED OF,16443
154,2009,ASSAULT 3 & RELATED OFFENSES,16329
259,2011,ASSAULT 3 & RELATED OFFENSES,16274
278,2011,HARRASSMENT 2,16257
103,2008,ASSAULT 3 & RELATED OFFENSES,16071
158,2009,CRIMINAL MISCHIEF & RELATED OF,16069
8,2006,CRIMINAL MISCHIEF & RELATED OF,16068
473,2015,ASSAULT 3 & RELATED OFFENSES,16066
210,2010,CRIMINAL MISCHIEF & RELATED OF,15945
530,2016,ASSAULT 3 & RELATED OFFENSES,15731
263,2011,CRIMINAL MISCHIEF & RELATED OF,15668
318,2012,CRIMINAL MISCHIEF & RELATED OF,15268
477,2015,CRIMINAL MISCHIEF & RELATED OF,14625
423,2014,CRIMINAL MISCHIEF & RELATED OF,14557
534,2016,CRIMINAL MISCHIEF & RELATED OF,14412
370,2013,CRIMINAL MISCHIEF & RELATED OF,13780
383,2013,GRAND LARCENY,12470
436,2014,GRAND LARCENY,12339
265,2011,DANGEROUS DRUGS,12077
212,2010,DANGEROUS DRUGS,12024
490,2015,GRAND LARCENY,11825
160,2009,DANGEROUS DRUGS,11711
330,2012,GRAND LARCENY,11703
61,2007,DANGEROUS DRUGS,11473
20,2006,GRAND LARCENY,11396
109,2008,DANGEROUS DRUGS,11124
119,2008,GRAND LARCENY,11001
10,2006,DANGEROUS DRUGS,10915
547,2016,GRAND LARCENY,10891
70,2007,GRAND LARCENY,10864
320,2012,DANGEROUS DRUGS,10633
276,2011,GRAND LARCENY,10377
33,2006,OFF. AGNST PUB ORD SENSBLTY &,10144
81,2007,OFF. AGNST PUB ORD SENSBLTY &,9721
171,2009,GRAND LARCENY,9714
223,2010,GRAND LARCENY,9652
132,2008,OFF. AGNST PUB ORD SENSBLTY &,9110
182,2009,OFF. AGNST PUB ORD SENSBLTY &,8956
236,2010,OFF. AGNST PUB ORD SENSBLTY &,8879
372,2013,DANGEROUS DRUGS,8878
425,2014,DANGEROUS DRUGS,8349
290,2011,OFF. AGNST PUB ORD SENSBLTY &,8323
342,2012,OFF. AGNST PUB ORD SENSBLTY &,8250
46,2006,ROBBERY,7944
395,2013,OFF. AGNST PUB ORD SENSBLTY &,7906
145,2008,ROBBERY,7758
6,2006,BURGLARY,7513
94,2007,ROBBERY,7322
356,2012,ROBBERY,7150
303,2011,ROBBERY,6985
57,2007,BURGLARY,6982
105,2008,BURGLARY,6979
561,2016,OFF. AGNST PUB ORD SENSBLTY &,6863
378,2013,FELONY ASSAULT,6814
316,2012,BURGLARY,6808
409,2013,ROBBERY,6727
325,2012,FELONY ASSAULT,6652
208,2010,BURGLARY,6650
431,2014,FELONY ASSAULT,6610
271,2011,FELONY ASSAULT,6574
249,2010,ROBBERY,6539
156,2009,BURGLARY,6511
505,2015,OFF. AGNST PUB ORD SENSBLTY &,6468
542,2016,FELONY ASSAULT,6444
485,2015,FELONY ASSAULT,6405
479,2015,DANGEROUS DRUGS,6352
261,2011,BURGLARY,6309
195,2009,ROBBERY,6193
421,2014,BURGLARY,6091
368,2013,BURGLARY,5987
536,2016,DANGEROUS DRUGS,5913
65,2007,FELONY ASSAULT,5877
449,2014,OFF. AGNST PUB ORD SENSBLTY &,5861
463,2014,ROBBERY,5856
15,2006,FELONY ASSAULT,5840
218,2010,FELONY ASSAULT,5693
520,2015,ROBBERY,5683
166,2009,FELONY ASSAULT,5655
475,2015,BURGLARY,5527
114,2008,FELONY ASSAULT,5498
575,2016,ROBBERY,4876
532,2016,BURGLARY,4154
