,YEAR,OFNS_DESC,COUNT
413,2013,PETIT LARCENY,27000
199,2009,PETIT LARCENY,26114
361,2012,PETIT LARCENY,26066
254,2010,PETIT LARCENY,25975
147,2008,PETIT LARCENY,25860
465,2014,PETIT LARCENY,25148
307,2011,PETIT LARCENY,24772
520,2015,PETIT LARCENY,24676
94,2007,PETIT LARCENY,24505
576,2016,PETIT LARCENY,24262
43,2006,PETIT LARCENY,24069
21,2006,GRAND LARCENY,18449
73,2007,GRAND LARCENY,17843
123,2008,GRAND LARCENY,17437
392,2013,GRAND LARCENY,16556
498,2015,GRAND LARCENY,16142
339,2012,GRAND LARCENY,15867
553,2016,GRAND LARCENY,15801
177,2009,GRAND LARCENY,15617
444,2014,GRAND LARCENY,15538
232,2010,GRAND LARCENY,15248
285,2011,GRAND LARCENY,14626
23,2006,HARRASSMENT 2,13387
75,2007,HARRASSMENT 2,13037
555,2016,HARRASSMENT 2,13002
500,2015,HARRASSMENT 2,12413
125,2008,HARRASSMENT 2,12280
446,2014,HARRASSMENT 2,11843
179,2009,HARRASSMENT 2,11776
234,2010,HARRASSMENT 2,11432
341,2012,HARRASSMENT 2,11400
394,2013,HARRASSMENT 2,11047
287,2011,HARRASSMENT 2,10747
536,2016,ASSAULT 3 & RELATED OFFENSES,10338
480,2015,ASSAULT 3 & RELATED OFFENSES,10022
321,2012,ASSAULT 3 & RELATED OFFENSES,9993
214,2010,ASSAULT 3 & RELATED OFFENSES,9892
484,2015,CRIMINAL MISCHIEF & RELATED OF,9812
540,2016,CRIMINAL MISCHIEF & RELATED OF,9773
375,2013,ASSAULT 3 & RELATED OFFENSES,9750
111,2008,CRIMINAL MISCHIEF & RELATED OF,9738
428,2014,ASSAULT 3 & RELATED OFFENSES,9710
57,2007,ASSAULT 3 & RELATED OFFENSES,9688
4,2006,ASSAULT 3 & RELATED OFFENSES,9664
107,2008,ASSAULT 3 & RELATED OFFENSES,9652
268,2011,ASSAULT 3 & RELATED OFFENSES,9514
161,2009,ASSAULT 3 & RELATED OFFENSES,9400
61,2007,CRIMINAL MISCHIEF & RELATED OF,9377
8,2006,CRIMINAL MISCHIEF & RELATED OF,8973
165,2009,CRIMINAL MISCHIEF & RELATED OF,8944
432,2014,CRIMINAL MISCHIEF & RELATED OF,8738
218,2010,CRIMINAL MISCHIEF & RELATED OF,8699
167,2009,DANGEROUS DRUGS,8661
63,2007,DANGEROUS DRUGS,8573
274,2011,DANGEROUS DRUGS,8466
325,2012,CRIMINAL MISCHIEF & RELATED OF,8359
220,2010,DANGEROUS DRUGS,8148
327,2012,DANGEROUS DRUGS,7918
272,2011,CRIMINAL MISCHIEF & RELATED OF,7914
113,2008,DANGEROUS DRUGS,7791
379,2013,CRIMINAL MISCHIEF & RELATED OF,7780
10,2006,DANGEROUS DRUGS,7598
34,2006,OFF. AGNST PUB ORD SENSBLTY &,6824
85,2007,OFF. AGNST PUB ORD SENSBLTY &,6815
381,2013,DANGEROUS DRUGS,6756
542,2016,DANGEROUS DRUGS,6593
189,2009,OFF. AGNST PUB ORD SENSBLTY &,6429
434,2014,DANGEROUS DRUGS,6423
137,2008,OFF. AGNST PUB ORD SENSBLTY &,6353
245,2010,OFF. AGNST PUB ORD SENSBLTY &,6286
352,2012,OFF. AGNST PUB ORD SENSBLTY &,5904
486,2015,DANGEROUS DRUGS,5898
298,2011,OFF. AGNST PUB ORD SENSBLTY &,5772
404,2013,OFF. AGNST PUB ORD SENSBLTY &,5564
47,2006,ROBBERY,4897
6,2006,BURGLARY,4829
566,2016,OFF. AGNST PUB ORD SENSBLTY &,4546
98,2007,ROBBERY,4495
151,2008,ROBBERY,4407
109,2008,BURGLARY,4076
59,2007,BURGLARY,4009
511,2015,OFF. AGNST PUB ORD SENSBLTY &,3821
163,2009,BURGLARY,3766
548,2016,FELONY ASSAULT,3751
456,2014,OFF. AGNST PUB ORD SENSBLTY &,3679
203,2009,ROBBERY,3664
258,2010,ROBBERY,3661
311,2011,ROBBERY,3571
492,2015,FELONY ASSAULT,3552
365,2012,ROBBERY,3483
439,2014,FELONY ASSAULT,3339
387,2013,FELONY ASSAULT,3292
333,2012,FELONY ASSAULT,3289
67,2007,FELONY ASSAULT,3259
323,2012,BURGLARY,3223
15,2006,FELONY ASSAULT,3221
417,2013,ROBBERY,3220
270,2011,BURGLARY,3203
216,2010,BURGLARY,3143
524,2015,ROBBERY,3143
280,2011,FELONY ASSAULT,3110
118,2008,FELONY ASSAULT,3087
172,2009,FELONY ASSAULT,3053
226,2010,FELONY ASSAULT,3047
580,2016,ROBBERY,2907
377,2013,BURGLARY,2902
430,2014,BURGLARY,2815
469,2014,ROBBERY,2811
482,2015,BURGLARY,2770
538,2016,BURGLARY,2387
