,YEAR,OFNS_DESC,COUNT
449,2013,PETIT LARCENY,82371
506,2014,PETIT LARCENY,82272
161,2008,PETIT LARCENY,81186
570,2015,PETIT LARCENY,81046
392,2012,PETIT LARCENY,80599
631,2016,PETIT LARCENY,79774
276,2010,PETIT LARCENY,79354
332,2011,PETIT LARCENY,78975
218,2009,PETIT LARCENY,78855
47,2006,PETIT LARCENY,78255
104,2007,PETIT LARCENY,77759
24,2006,HARRASSMENT 2,67425
607,2016,HARRASSMENT 2,64944
82,2007,HARRASSMENT 2,63879
545,2015,HARRASSMENT 2,61993
483,2014,HARRASSMENT 2,61050
137,2008,HARRASSMENT 2,60122
194,2009,HARRASSMENT 2,57735
427,2013,HARRASSMENT 2,56657
254,2010,HARRASSMENT 2,56540
367,2012,HARRASSMENT 2,56169
123,2008,CRIMINAL MISCHIEF & RELATED OF,54994
67,2007,CRIMINAL MISCHIEF & RELATED OF,54576
347,2012,ASSAULT 3 & RELATED OFFENSES,53638
310,2011,HARRASSMENT 2,53513
464,2014,ASSAULT 3 & RELATED OFFENSES,52868
408,2013,ASSAULT 3 & RELATED OFFENSES,52632
588,2016,ASSAULT 3 & RELATED OFFENSES,52181
9,2006,CRIMINAL MISCHIEF & RELATED OF,52082
525,2015,ASSAULT 3 & RELATED OFFENSES,52016
234,2010,ASSAULT 3 & RELATED OFFENSES,51878
179,2009,CRIMINAL MISCHIEF & RELATED OF,51067
5,2006,ASSAULT 3 & RELATED OFFENSES,50561
291,2011,ASSAULT 3 & RELATED OFFENSES,50075
63,2007,ASSAULT 3 & RELATED OFFENSES,49878
238,2010,CRIMINAL MISCHIEF & RELATED OF,49853
119,2008,ASSAULT 3 & RELATED OFFENSES,49418
175,2009,ASSAULT 3 & RELATED OFFENSES,49390
295,2011,CRIMINAL MISCHIEF & RELATED OF,48204
529,2015,CRIMINAL MISCHIEF & RELATED OF,48057
592,2016,CRIMINAL MISCHIEF & RELATED OF,47940
351,2012,CRIMINAL MISCHIEF & RELATED OF,46632
468,2014,CRIMINAL MISCHIEF & RELATED OF,46217
22,2006,GRAND LARCENY,44240
425,2013,GRAND LARCENY,44118
543,2015,GRAND LARCENY,43681
80,2007,GRAND LARCENY,42904
481,2014,GRAND LARCENY,42800
412,2013,CRIMINAL MISCHIEF & RELATED OF,42739
135,2008,GRAND LARCENY,42576
605,2016,GRAND LARCENY,42101
365,2012,GRAND LARCENY,41532
69,2007,DANGEROUS DRUGS,38981
181,2009,DANGEROUS DRUGS,38679
240,2010,DANGEROUS DRUGS,37961
192,2009,GRAND LARCENY,37808
125,2008,DANGEROUS DRUGS,37765
308,2011,GRAND LARCENY,37662
297,2011,DANGEROUS DRUGS,37650
252,2010,GRAND LARCENY,36904
11,2006,DANGEROUS DRUGS,35230
353,2012,DANGEROUS DRUGS,34038
38,2006,OFF. AGNST PUB ORD SENSBLTY &,33284
94,2007,OFF. AGNST PUB ORD SENSBLTY &,32686
151,2008,OFF. AGNST PUB ORD SENSBLTY &,30837
208,2009,OFF. AGNST PUB ORD SENSBLTY &,30575
267,2010,OFF. AGNST PUB ORD SENSBLTY &,29942
414,2013,DANGEROUS DRUGS,28780
470,2014,DANGEROUS DRUGS,28142
322,2011,OFF. AGNST PUB ORD SENSBLTY &,27699
380,2012,OFF. AGNST PUB ORD SENSBLTY &,27048
439,2013,OFF. AGNST PUB ORD SENSBLTY &,26625
531,2015,DANGEROUS DRUGS,23590
51,2006,ROBBERY,22632
594,2016,DANGEROUS DRUGS,22613
7,2006,BURGLARY,22555
621,2016,OFF. AGNST PUB ORD SENSBLTY &,22003
165,2008,ROBBERY,21799
65,2007,BURGLARY,21262
108,2007,ROBBERY,20850
559,2015,OFF. AGNST PUB ORD SENSBLTY &,20755
600,2016,FELONY ASSAULT,20668
121,2008,BURGLARY,20545
537,2015,FELONY ASSAULT,20358
420,2013,FELONY ASSAULT,20061
476,2014,FELONY ASSAULT,19894
396,2012,ROBBERY,19616
496,2014,OFF. AGNST PUB ORD SENSBLTY &,19444
336,2011,ROBBERY,19308
177,2009,BURGLARY,19257
359,2012,FELONY ASSAULT,19220
349,2012,BURGLARY,19066
280,2010,ROBBERY,19057
293,2011,BURGLARY,18649
453,2013,ROBBERY,18559
236,2010,BURGLARY,18516
303,2011,FELONY ASSAULT,18240
222,2009,ROBBERY,18074
410,2013,BURGLARY,17231
574,2015,ROBBERY,16881
246,2010,FELONY ASSAULT,16794
74,2007,FELONY ASSAULT,16778
466,2014,BURGLARY,16624
16,2006,FELONY ASSAULT,16532
187,2009,FELONY ASSAULT,16473
510,2014,ROBBERY,16079
130,2008,FELONY ASSAULT,15976
635,2016,ROBBERY,15458
527,2015,BURGLARY,15103
590,2016,BURGLARY,12836
