,YEAR,OFNS_DESC,COUNT
96,2007,PETIT LARCENY,16074
150,2008,PETIT LARCENY,15817
456,2014,PETIT LARCENY,15627
42,2006,PETIT LARCENY,15611
510,2015,PETIT LARCENY,15568
408,2013,PETIT LARCENY,15185
304,2011,PETIT LARCENY,15054
252,2010,PETIT LARCENY,15006
561,2016,PETIT LARCENY,14934
202,2009,PETIT LARCENY,14720
356,2012,PETIT LARCENY,14493
24,2006,HARRASSMENT 2,13673
61,2007,CRIMINAL MISCHIEF & RELATED OF,13406
542,2016,HARRASSMENT 2,13330
76,2007,HARRASSMENT 2,13289
438,2014,HARRASSMENT 2,12984
128,2008,HARRASSMENT 2,12906
493,2015,HARRASSMENT 2,12439
182,2009,HARRASSMENT 2,12393
114,2008,CRIMINAL MISCHIEF & RELATED OF,12315
9,2006,CRIMINAL MISCHIEF & RELATED OF,12029
389,2013,HARRASSMENT 2,11981
219,2010,CRIMINAL MISCHIEF & RELATED OF,11977
271,2011,CRIMINAL MISCHIEF & RELATED OF,11973
233,2010,HARRASSMENT 2,11750
167,2009,CRIMINAL MISCHIEF & RELATED OF,11628
337,2012,HARRASSMENT 2,11250
285,2011,HARRASSMENT 2,11198
370,2013,ASSAULT 3 & RELATED OFFENSES,10858
421,2014,ASSAULT 3 & RELATED OFFENSES,10854
322,2012,CRIMINAL MISCHIEF & RELATED OF,10794
528,2016,CRIMINAL MISCHIEF & RELATED OF,10609
474,2015,ASSAULT 3 & RELATED OFFENSES,10498
425,2014,CRIMINAL MISCHIEF & RELATED OF,10461
524,2016,ASSAULT 3 & RELATED OFFENSES,10457
478,2015,CRIMINAL MISCHIEF & RELATED OF,10432
318,2012,ASSAULT 3 & RELATED OFFENSES,10410
215,2010,ASSAULT 3 & RELATED OFFENSES,10286
5,2006,ASSAULT 3 & RELATED OFFENSES,10030
57,2007,ASSAULT 3 & RELATED OFFENSES,9955
110,2008,ASSAULT 3 & RELATED OFFENSES,9909
374,2013,CRIMINAL MISCHIEF & RELATED OF,9871
267,2011,ASSAULT 3 & RELATED OFFENSES,9861
163,2009,ASSAULT 3 & RELATED OFFENSES,9740
22,2006,GRAND LARCENY,8340
491,2015,GRAND LARCENY,8108
540,2016,GRAND LARCENY,8058
387,2013,GRAND LARCENY,8035
74,2007,GRAND LARCENY,8024
126,2008,GRAND LARCENY,7970
436,2014,GRAND LARCENY,7903
335,2012,GRAND LARCENY,7436
86,2007,OFF. AGNST PUB ORD SENSBLTY &,6992
180,2009,GRAND LARCENY,6966
283,2011,GRAND LARCENY,6940
33,2006,OFF. AGNST PUB ORD SENSBLTY &,6773
231,2010,GRAND LARCENY,6563
141,2008,OFF. AGNST PUB ORD SENSBLTY &,6456
193,2009,OFF. AGNST PUB ORD SENSBLTY &,6436
243,2010,OFF. AGNST PUB ORD SENSBLTY &,5955
7,2006,BURGLARY,5726
399,2013,OFF. AGNST PUB ORD SENSBLTY &,5712
59,2007,BURGLARY,5675
294,2011,OFF. AGNST PUB ORD SENSBLTY &,5537
346,2012,OFF. AGNST PUB ORD SENSBLTY &,5354
320,2012,BURGLARY,5190
112,2008,BURGLARY,5182
269,2011,BURGLARY,4892
217,2010,BURGLARY,4790
165,2009,BURGLARY,4767
372,2013,BURGLARY,4740
46,2006,ROBBERY,4714
154,2008,ROBBERY,4499
501,2015,OFF. AGNST PUB ORD SENSBLTY &,4323
423,2014,BURGLARY,4277
100,2007,ROBBERY,4213
447,2014,OFF. AGNST PUB ORD SENSBLTY &,4202
551,2016,OFF. AGNST PUB ORD SENSBLTY &,4112
256,2010,ROBBERY,3964
360,2012,ROBBERY,3963
486,2015,FELONY ASSAULT,3961
308,2011,ROBBERY,3921
431,2014,FELONY ASSAULT,3905
535,2016,FELONY ASSAULT,3902
382,2013,FELONY ASSAULT,3882
206,2009,ROBBERY,3861
412,2013,ROBBERY,3824
330,2012,FELONY ASSAULT,3782
278,2011,FELONY ASSAULT,3626
476,2015,BURGLARY,3555
514,2015,ROBBERY,3249
526,2016,BURGLARY,3230
226,2010,FELONY ASSAULT,3188
460,2014,ROBBERY,3147
175,2009,FELONY ASSAULT,3056
68,2007,FELONY ASSAULT,2974
565,2016,ROBBERY,2969
121,2008,FELONY ASSAULT,2946
16,2006,FELONY ASSAULT,2873
63,2007,DANGEROUS DRUGS,2317
11,2006,DANGEROUS DRUGS,2261
427,2014,DANGEROUS DRUGS,2124
376,2013,DANGEROUS DRUGS,2103
116,2008,DANGEROUS DRUGS,2012
221,2010,DANGEROUS DRUGS,2007
169,2009,DANGEROUS DRUGS,1982
324,2012,DANGEROUS DRUGS,1981
273,2011,DANGEROUS DRUGS,1891
480,2015,DANGEROUS DRUGS,1640
530,2016,DANGEROUS DRUGS,1614
