,YEAR,OFNS_DESC,COUNT
15,2006,HARRASSMENT 2,5094
56,2007,HARRASSMENT 2,4903
86,2008,CRIMINAL MISCHIEF & RELATED OF,4624
6,2006,CRIMINAL MISCHIEF & RELATED OF,4579
100,2008,HARRASSMENT 2,4535
180,2010,HARRASSMENT 2,4360
371,2015,HARRASSMENT 2,4327
44,2007,CRIMINAL MISCHIEF & RELATED OF,4323
139,2009,HARRASSMENT 2,4293
409,2016,HARRASSMENT 2,4284
336,2014,HARRASSMENT 2,4274
259,2012,HARRASSMENT 2,4029
112,2008,PETIT LARCENY,4015
298,2013,HARRASSMENT 2,3953
221,2011,HARRASSMENT 2,3912
154,2009,PETIT LARCENY,3797
28,2006,PETIT LARCENY,3797
349,2014,PETIT LARCENY,3745
195,2010,PETIT LARCENY,3691
312,2013,PETIT LARCENY,3664
125,2009,CRIMINAL MISCHIEF & RELATED OF,3542
273,2012,PETIT LARCENY,3513
234,2011,PETIT LARCENY,3408
72,2007,PETIT LARCENY,3377
383,2015,PETIT LARCENY,3332
422,2016,PETIT LARCENY,3286
210,2011,CRIMINAL MISCHIEF & RELATED OF,3120
168,2010,CRIMINAL MISCHIEF & RELATED OF,3113
361,2015,CRIMINAL MISCHIEF & RELATED OF,3038
248,2012,CRIMINAL MISCHIEF & RELATED OF,2872
287,2013,CRIMINAL MISCHIEF & RELATED OF,2619
326,2014,CRIMINAL MISCHIEF & RELATED OF,2601
397,2016,CRIMINAL MISCHIEF & RELATED OF,2584
245,2012,ASSAULT 3 & RELATED OFFENSES,2567
3,2006,ASSAULT 3 & RELATED OFFENSES,2406
20,2006,OFF. AGNST PUB ORD SENSBLTY &,2354
83,2008,ASSAULT 3 & RELATED OFFENSES,2255
323,2014,ASSAULT 3 & RELATED OFFENSES,2249
105,2008,OFF. AGNST PUB ORD SENSBLTY &,2225
40,2007,ASSAULT 3 & RELATED OFFENSES,2211
122,2009,ASSAULT 3 & RELATED OFFENSES,2196
165,2010,ASSAULT 3 & RELATED OFFENSES,2192
358,2015,ASSAULT 3 & RELATED OFFENSES,2191
283,2013,ASSAULT 3 & RELATED OFFENSES,2187
206,2011,ASSAULT 3 & RELATED OFFENSES,2170
394,2016,ASSAULT 3 & RELATED OFFENSES,2149
63,2007,OFF. AGNST PUB ORD SENSBLTY &,2089
186,2010,OFF. AGNST PUB ORD SENSBLTY &,2082
145,2009,OFF. AGNST PUB ORD SENSBLTY &,2023
227,2011,OFF. AGNST PUB ORD SENSBLTY &,1810
265,2012,OFF. AGNST PUB ORD SENSBLTY &,1748
304,2013,OFF. AGNST PUB ORD SENSBLTY &,1667
376,2015,OFF. AGNST PUB ORD SENSBLTY &,1458
341,2014,OFF. AGNST PUB ORD SENSBLTY &,1457
88,2008,DANGEROUS DRUGS,1403
414,2016,OFF. AGNST PUB ORD SENSBLTY &,1384
369,2015,GRAND LARCENY,1279
46,2007,DANGEROUS DRUGS,1264
212,2011,DANGEROUS DRUGS,1255
170,2010,DANGEROUS DRUGS,1254
296,2013,GRAND LARCENY,1238
334,2014,GRAND LARCENY,1235
8,2006,DANGEROUS DRUGS,1204
257,2012,GRAND LARCENY,1142
407,2016,GRAND LARCENY,1141
98,2008,GRAND LARCENY,1140
250,2012,DANGEROUS DRUGS,1128
127,2009,DANGEROUS DRUGS,1114
54,2007,GRAND LARCENY,1108
13,2006,GRAND LARCENY,1089
219,2011,GRAND LARCENY,960
178,2010,GRAND LARCENY,953
137,2009,GRAND LARCENY,927
328,2014,DANGEROUS DRUGS,880
289,2013,DANGEROUS DRUGS,849
42,2007,BURGLARY,799
85,2008,BURGLARY,785
399,2016,DANGEROUS DRUGS,749
247,2012,BURGLARY,742
208,2011,BURGLARY,719
366,2015,FELONY ASSAULT,681
253,2012,FELONY ASSAULT,680
285,2013,BURGLARY,675
5,2006,BURGLARY,667
403,2016,FELONY ASSAULT,656
292,2013,FELONY ASSAULT,646
331,2014,FELONY ASSAULT,633
124,2009,BURGLARY,625
167,2010,BURGLARY,623
325,2014,BURGLARY,616
363,2015,DANGEROUS DRUGS,614
360,2015,BURGLARY,568
214,2011,FELONY ASSAULT,550
316,2013,ROBBERY,503
396,2016,BURGLARY,494
173,2010,FELONY ASSAULT,470
386,2015,ROBBERY,456
115,2008,ROBBERY,453
132,2009,FELONY ASSAULT,447
75,2007,ROBBERY,442
49,2007,FELONY ASSAULT,441
276,2012,ROBBERY,431
32,2006,ROBBERY,430
93,2008,FELONY ASSAULT,422
425,2016,ROBBERY,420
199,2010,ROBBERY,413
351,2014,ROBBERY,406
238,2011,ROBBERY,392
10,2006,FELONY ASSAULT,391
158,2009,ROBBERY,391
